key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
0,药品功效作用查询,用户输入某种药品或中药名称后，获得该药品或中药的功效与作用、主治及副作用等说明信息，即视为满足。,7361,32.071,3271,32.717,31.804,33.643,37.269,3687,36.877,35.937,37.828,44.964,222,23.173,20.612,25.949,18.553,48,4.81,3.647,6.319,6.234,133,13.3,11.335,15.546,13.3,29.51,1.0201,1.4754,33.26,1.1499,1.663,20.9,0.7226,1.045,4.34,0.15,0.2169,12.0,0.4147,0.5998,5,,,2026搜索,助手随机1k,32.068,7.67,1,1,1,6,2,查询中药材/食材/茶饮的功效与作用,45.4,4.0,,用户输入某种药品或中药名称后，获得该药品或中药的功效与作用、主治及副作用等说明信息，即视为满足。
2,疾病症状表现查询,用户输入某种疾病或身体状况名称后，希望获得该疾病或状况的典型症状、临床表现、相关感受或危害等信息。,1111,4.841,521,5.211,4.792,5.664,6.449,527,5.271,4.85,5.726,6.222,39,4.071,2.992,5.517,2.845,9,0.902,0.475,1.705,0.769,15,1.5,0.911,2.46,1.5,30.73,1.0765,1.5367,31.09,1.0889,1.5544,24.01,0.841,1.2005,5.32,0.1863,0.2659,8.85,0.3099,0.4424,5,,,2026搜索,助手随机1k,4.369,5.85,4,2,7,25,21,查询疾病的症状与早期征兆,96.2,4.0,,用户输入某种疾病或身体状况名称后，希望获得该疾病或状况的典型症状、临床表现、相关感受或危害等信息。
25,医疗健康信息查询,用户输入疾病、症状、检查、药物或医疗设备等词，获得该词对应的医学解释、治疗方法或用途信息后满足。,1082,4.714,564,5.641,5.206,6.111,5.161,362,3.621,3.272,4.005,2.643,112,11.691,9.808,13.88,13.811,20,2.004,1.301,3.075,2.135,24,2.4,1.618,3.546,2.4,22.25,1.1966,1.1123,14.28,0.768,0.714,46.11,2.48,2.3053,7.9,0.4251,0.3952,9.46,0.5091,0.4732,5,,,助手头部1k,助手随机1k,9.687,5.83,3,4,2,18,15,仅给出名称的裸实体查询,93.6,4.0,True,用户输入疾病、症状、检查、药物或医疗设备等词，获得该词对应的医学解释、治疗方法或用途信息后满足。
28,药品及医疗产品信息查询,用户输入药品名称或相关医疗产品、健康项目名称后，获得该药品或产品的功效、用途、用法、购买渠道或操作说明等具体信息即满意。,1037,4.518,593,5.931,5.485,6.411,5.242,348,3.481,3.139,3.858,2.759,41,4.28,3.17,5.754,3.405,27,2.705,1.866,3.908,3.587,28,2.8,1.944,4.017,2.8,30.9,1.3128,1.5448,18.13,0.7704,0.9066,22.29,0.9472,1.1147,14.09,0.5988,0.7046,14.59,0.6197,0.7293,5,,,2025搜索,助手随机1k,3.226,2.19,2,6,6,16,10,仅给出名称的裸实体查询,75.3,4.0,,用户输入药品名称或相关医疗产品、健康项目名称后，获得该药品或产品的功效、用途、用法、购买渠道或操作说明等具体信息即满意。
5,查询疾病最快最有效治疗方法,用户输入某个疾病、症状或健康问题后，获得针对该问题最快、最有效、最好或能彻底根除的治疗方法，即算满足。,1005,4.379,462,4.621,4.227,5.05,4.444,438,4.381,3.997,4.8,3.945,52,5.428,4.163,7.049,4.2,28,2.806,1.948,4.025,4.697,25,2.5,1.699,3.665,2.5,23.41,1.0553,1.1707,22.2,1.0005,1.1099,27.5,1.2396,1.3752,14.22,0.6407,0.7108,12.67,0.5709,0.6334,5,,,助手头部1k,助手语音1k,2.928,2.17,5,3,4,14,13,寻找疾病的治疗或缓解方案,86.9,4.0,True,用户输入某个疾病、症状或健康问题后，获得针对该问题最快、最有效、最好或能彻底根除的治疗方法，即算满足。
17,查询功效副作用与禁忌,用户在询问某种药物、食物、保健品或行为后，得到关于其功效、好处、坏处、副作用、禁忌或长期影响的明确信息即满意。,813,3.542,234,2.34,2.062,2.656,1.656,302,3.021,2.703,3.375,2.172,19,1.983,1.273,3.077,1.605,105,10.521,8.766,12.578,9.308,153,15.3,13.202,17.664,15.3,7.06,0.6607,0.3528,9.11,0.8528,0.4554,5.98,0.5599,0.299,31.72,2.9702,1.5861,46.13,4.3194,2.3066,5,,,助手语音1k,助手头部1k,13.317,7.71,13,7,15,2,1,对具体行为、搭配或说法给出是否可行的裁决,66.9,4.0,True,用户在询问某种药物、食物、保健品或行为后，得到关于其功效、好处、坏处、副作用、禁忌或长期影响的明确信息即满意。
4,查询病症用药推荐,用户输入某个疾病或症状（如慢性胃炎、咳嗽、过敏性鼻炎等），希望获得针对该病症最有效、见效最快的药品或用药方案推荐。,793,3.455,308,3.081,2.76,3.438,2.493,351,3.511,3.167,3.89,2.856,44,4.593,3.439,6.11,5.351,51,5.11,3.908,6.657,7.6,39,3.9,2.866,5.287,3.9,15.25,0.8916,0.7627,17.38,1.0161,0.8692,22.74,1.3293,1.1372,25.31,1.4791,1.2653,19.31,1.1288,0.9656,5,,,助手随机1k,2025搜索,2.03,1.66,7,5,5,5,8,寻找疾病的治疗或缓解方案,59.0,4.0,True,用户输入某个疾病或症状（如慢性胃炎、咳嗽、过敏性鼻炎等），希望获得针对该病症最有效、见效最快的药品或用药方案推荐。
11,检验指标异常原因查询,用户查询某个检验指标偏高或偏低的含义、原因或说明的问题，需要获得该指标异常的可能原因及其临床意义解释。,655,2.854,331,3.311,2.978,3.68,3.78,284,2.841,2.533,3.185,3.265,15,1.566,0.951,2.567,0.967,12,1.202,0.689,2.09,1.025,13,1.3,0.761,2.211,1.3,32.4,1.1601,1.6198,27.8,0.9954,1.3898,15.32,0.5487,0.7661,11.77,0.4213,0.5883,12.72,0.4555,0.636,5,,,2025搜索,助手随机1k,2.108,2.75,6,8,18,22,24,解读用户本人的检查数值或报告分级,82.6,4.0,,用户查询某个检验指标偏高或偏低的含义、原因或说明的问题，需要获得该指标异常的可能原因及其临床意义解释。
30,查询疾病治疗与手术方案,用户想了解特定疾病或症状是否需要治疗或手术、可选择哪些治疗方式、大致费用以及风险或预后。,653,2.845,180,1.8,1.558,2.08,1.484,205,2.05,1.79,2.347,1.445,33,3.445,2.463,4.798,4.557,152,15.23,13.135,17.593,13.749,83,8.3,6.746,10.174,8.3,5.84,0.6328,0.292,6.65,0.7207,0.3326,11.17,1.2108,0.5587,49.41,5.3533,2.4704,26.93,2.9173,1.3463,5,,,助手随机1k,2025搜索,13.43,8.46,17,17,9,1,3,对具体行为、搭配或说法给出是否可行的裁决,27.1,3.0,True,用户想了解特定疾病或症状是否需要治疗或手术、可选择哪些治疗方式、大致费用以及风险或预后。
6,查询症状原因与治疗方法,用户提出身体不适或健康相关疑问后，获得针对该问题的可能原因、应对方法或概念解释，即感到满足。,649,2.828,267,2.671,2.372,3.005,2.383,262,2.621,2.325,2.952,2.26,20,2.088,1.355,3.203,1.448,60,6.012,4.699,7.662,5.892,40,4.0,2.951,5.401,4.0,15.36,0.9444,0.7678,15.07,0.9268,0.7534,12.0,0.7383,0.6002,34.57,2.1262,1.7285,23.0,1.4146,1.15,5,,,助手随机1k,助手头部1k,3.924,2.88,9,10,14,4,6,解释自身症状的原因,75.8,4.0,True,用户提出身体不适或健康相关疑问后，获得针对该问题的可能原因、应对方法或概念解释，即感到满足。
