key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,146,41,0.5715,2.44,21.95,40,0.5474,5.0,17.5,2,0.4183,0.0,50.0,47,0.5361,4.26,29.79,16,0.4489,6.25,37.5,助手随机1k,0.0354,0.538
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,1405,438,0.5833,3.42,24.66,455,0.595,2.64,23.08,170,0.6683,1.76,29.41,195,0.5735,3.08,34.87,147,0.5159,4.08,27.21,助手语音1k,0.1524,0.589
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,163,68,0.618,0.0,14.71,73,0.6233,0.0,17.81,4,0.44,0.0,0.0,12,0.4858,0.0,25.0,6,0.5387,0.0,16.67,2025搜索,0.0053,0.6034
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,152,65,0.6578,3.08,9.23,65,0.6488,4.62,6.15,8,0.6818,12.5,25.0,6,0.5889,0.0,50.0,8,0.3965,75.0,12.5,2026搜索,0.009,0.6387
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,423,187,0.6427,2.67,10.7,168,0.6723,2.38,10.12,18,0.7485,0.0,27.78,38,0.5647,7.89,15.79,12,0.5107,0.0,8.33,助手随机1k,0.1076,0.6482
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,285,113,0.6813,2.65,26.55,127,0.6824,2.36,28.35,8,0.6345,0.0,25.0,27,0.4815,3.7,22.22,10,0.4356,0.0,20.0,助手随机1k,0.2009,0.653
DOSAGE_USAGE,查询药品用法用量与服用时机,293,102,0.7103,2.94,15.69,152,0.6879,1.97,17.76,3,0.5571,0.0,0.0,22,0.5071,0.0,27.27,14,0.6022,0.0,21.43,助手随机1k,0.2032,0.6767
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,363,151,0.7095,0.66,21.85,151,0.7038,1.99,17.88,3,0.7434,0.0,0.0,25,0.5392,0.0,48.0,33,0.6634,6.06,54.55,助手随机1k,0.1703,0.6915
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,1147,295,0.6972,3.73,22.71,374,0.7185,3.21,25.13,30,0.6506,3.33,16.67,188,0.6837,2.13,30.85,260,0.732,0.38,28.08,助手头部1k,0.0814,0.7086
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,381,133,0.7003,0.0,17.29,226,0.7547,0.44,12.39,6,0.5758,0.0,16.67,9,0.4817,22.22,0.0,7,0.5749,0.0,28.57,2025搜索,0.0544,0.7232
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,1183,552,0.7334,1.81,15.58,564,0.733,1.24,17.2,21,0.7559,4.76,14.29,25,0.5349,12.0,28.0,21,0.504,9.52,28.57,助手语音1k,0.2519,0.7254
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,909,428,0.7938,1.4,8.64,372,0.7841,1.61,13.98,15,0.6278,13.33,26.67,58,0.5702,8.62,22.41,36,0.5943,8.33,19.44,助手随机1k,0.2236,0.7649
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,1789,794,0.7924,1.13,9.57,777,0.7904,1.54,10.81,79,0.762,1.27,16.46,78,0.5402,7.69,29.49,61,0.5881,6.56,19.67,助手随机1k,0.2522,0.7722
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,474,162,0.8152,0.0,7.41,166,0.8083,0.6,6.02,73,0.7704,1.37,8.22,42,0.6715,2.38,33.33,31,0.6856,0.0,22.58,助手随机1k,0.1437,0.7847
