快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,20,12.36,2.5148,0.1048,仅给出名称的裸实体查询,18.56,46.83,64.7,88.5,90.62,0.0,90.62,90.62,4160.8
2026搜索,自上而下 L1 意图,9998,20,12.85,2.5531,0.1007,查询中药材/食材/茶饮的功效与作用,17.68,45.6,62.48,86.97,90.05,0.0,90.05,90.05,3375.0
助手头部1k,自上而下 L1 意图,958,20,10.42,2.3434,0.1293,仅给出名称的裸实体查询,22.13,56.26,72.13,91.65,90.21,0.0,90.21,90.21,313.5
助手随机1k,自上而下 L1 意图,998,20,13.26,2.585,0.1037,处理非健康或无法归入上述意图的残余,19.54,47.09,60.72,81.66,80.87,0.0,80.87,80.87,406.3
助手语音1k,自上而下 L1 意图,1000,20,11.37,2.4306,0.1256,对具体行为、搭配或说法给出是否可行的裁决,26.0,51.9,68.4,88.4,88.4,0.0,88.4,88.4,1000.0
2025搜索,自上而下 L2 子意图,9998,47,30.22,3.4086,0.0457,BARE_ENTITY_LOOKUP__2,10.31,26.63,38.48,58.77,61.84,0.0,61.84,61.84,4160.8
2026搜索,自上而下 L2 子意图,9998,47,32.02,3.4664,0.0412,HERB_FOOD_EFFICACY_LOOKUP__1,8.74,22.36,34.25,56.48,60.24,0.0,60.24,60.24,3375.0
助手头部1k,自上而下 L2 子意图,958,44,20.82,3.0361,0.0742,OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,15.14,37.68,52.61,73.7,73.93,0.0,73.93,73.93,313.5
助手随机1k,自上而下 L2 子意图,998,46,24.68,3.206,0.0658,OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,17.74,36.57,46.29,63.83,63.45,0.34,63.11,63.45,406.3
助手语音1k,自上而下 L2 子意图,1000,46,23.49,3.1566,0.067,FEASIBILITY_CLAIM_VERDICT__1,14.4,39.1,49.2,64.8,64.8,0.0,64.8,64.8,1000.0
2025搜索,自下而上 家族,9998,27,14.82,2.6963,0.1316,药品功效作用查询,32.72,44.85,56.19,72.66,76.12,0.0,76.12,76.12,4160.8
2026搜索,自下而上 家族,9998,27,13.61,2.6104,0.1568,药品功效作用查询,36.88,49.33,57.33,72.97,77.69,0.0,77.69,77.69,3375.0
助手头部1k,自下而上 家族,958,26,16.04,2.7749,0.0949,药品功效作用查询,23.17,43.42,55.11,75.78,74.61,0.0,74.61,74.61,313.5
助手随机1k,自下而上 家族,998,27,19.07,2.9481,0.0715,疾病治疗与手术方案查询,17.94,35.67,46.79,68.04,67.04,0.0,67.04,67.04,406.3
助手语音1k,自下而上 家族,1000,27,18.58,2.9219,0.0736,功效副作用与禁忌查询,15.3,39.8,51.0,69.6,69.6,0.0,69.6,69.6,1000.0
2025搜索,自下而上 叶,9998,30,16.2,2.7849,0.1284,药品功效作用查询,32.72,44.29,54.12,68.5,71.73,0.0,71.73,71.73,4160.8
2026搜索,自下而上 叶,9998,30,14.96,2.7051,0.1532,药品功效作用查询,36.88,46.53,53.66,68.41,73.85,0.0,73.85,73.85,3375.0
助手头部1k,自下而上 叶,958,29,17.55,2.865,0.0916,药品功效作用查询,23.17,43.42,53.44,71.71,71.4,0.0,71.4,71.4,313.5
助手随机1k,自下而上 叶,998,30,21.17,3.0526,0.0628,查询疾病治疗与手术方案,15.23,32.97,44.09,65.33,64.65,0.0,64.65,64.65,406.3
助手语音1k,自下而上 叶,1000,30,20.43,3.0172,0.0682,查询功效副作用与禁忌,15.3,36.9,48.1,66.7,66.7,0.0,66.7,66.7,1000.0
