key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
CARE_LOGISTICS_COST_DURATION__3,CARE_LOGISTICS_COST_DURATION__3,55,23,0.522,4.35,8.7,23,0.5676,4.35,8.7,0,,,,8,0.5147,12.5,12.5,1,0.3496,0.0,0.0,2025搜索,0.0456,0.5369
EPISODE_TRIAGE__1,EPISODE_TRIAGE__1,146,41,0.5715,2.44,21.95,40,0.5474,5.0,17.5,2,0.4183,0.0,50.0,47,0.5361,4.26,29.79,16,0.4489,6.25,37.5,助手随机1k,0.0354,0.538
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,1094,327,0.5456,3.98,25.38,314,0.5481,2.87,24.84,145,0.6621,2.07,31.03,177,0.5743,3.39,35.03,131,0.5144,3.82,25.19,助手语音1k,0.1477,0.5627
FOOD_THERAPY_PREPARATION__1,FOOD_THERAPY_PREPARATION__1,163,68,0.618,0.0,14.71,73,0.6233,0.0,17.81,4,0.44,0.0,0.0,12,0.4858,0.0,25.0,6,0.5387,0.0,16.67,2025搜索,0.0053,0.6034
OPTION_ADJUDICATION__3,OPTION_ADJUDICATION__3,192,72,0.6213,1.39,37.5,73,0.6103,4.11,32.88,1,0.3126,0.0,0.0,22,0.5424,0.0,50.0,24,0.6581,4.17,70.83,助手随机1k,0.1157,0.6111
CARE_LOGISTICS_COST_DURATION__1,CARE_LOGISTICS_COST_DURATION__1,248,121,0.6119,2.48,5.79,99,0.6213,3.03,3.03,5,0.7493,0.0,20.0,15,0.6276,0.0,6.67,8,0.5164,0.0,0.0,2025搜索,0.0094,0.6163
SYMPTOM_TO_PRODUCT__1,SYMPTOM_TO_PRODUCT__1,152,65,0.6578,3.08,9.23,65,0.6488,4.62,6.15,8,0.6818,12.5,25.0,6,0.5889,0.0,50.0,8,0.3965,75.0,12.5,2026搜索,0.009,0.6387
FEASIBILITY_CLAIM_VERDICT__2,FEASIBILITY_CLAIM_VERDICT__2,597,152,0.6396,3.95,28.95,208,0.6787,3.37,31.73,20,0.5753,5.0,15.0,101,0.6013,3.96,35.64,116,0.639,0.86,36.21,助手头部1k,0.1034,0.6444
PERSONAL_RESULT_INTERPRETATION__2,PERSONAL_RESULT_INTERPRETATION__2,358,141,0.6736,2.13,18.44,127,0.6763,1.57,32.28,8,0.5441,25.0,37.5,50,0.5442,10.0,24.0,32,0.5771,9.38,21.88,助手随机1k,0.1321,0.6449
PROGNOSIS_SEVERITY__1,PROGNOSIS_SEVERITY__1,285,113,0.6813,2.65,26.55,127,0.6824,2.36,28.35,8,0.6345,0.0,25.0,27,0.4815,3.7,22.22,10,0.4356,0.0,20.0,助手随机1k,0.2009,0.653
