层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9998,9998,0.9744,5,False,0.0899,0.0848,0.1079,0.0396,True,0.1225
自上而下 L1 意图,2025搜索,助手头部1k,9998,958,0.8465,3,True,0.242,0.2278,0.2816,0.1148,True,0.2283
自上而下 L1 意图,2025搜索,助手随机1k,9998,998,0.471,2,False,0.4568,0.4318,0.4916,0.1222,True,0.3696
自上而下 L1 意图,2025搜索,助手语音1k,9998,1000,0.7398,3,False,0.3963,0.3721,0.4313,0.118,True,0.3584
自上而下 L1 意图,2026搜索,助手头部1k,9998,958,0.8029,3,False,0.3083,0.2917,0.3466,0.1169,True,0.2479
自上而下 L1 意图,2026搜索,助手随机1k,9998,998,0.4394,2,False,0.4479,0.4307,0.484,0.1182,True,0.3523
自上而下 L1 意图,2026搜索,助手语音1k,9998,1000,0.7188,3,False,0.3908,0.3629,0.4258,0.118,True,0.3361
自上而下 L1 意图,助手头部1k,助手随机1k,958,998,0.52,2,False,0.3921,0.3635,0.4379,0.1283,True,0.485
自上而下 L1 意图,助手头部1k,助手语音1k,958,1000,0.6862,3,False,0.3733,0.3472,0.4194,0.1221,True,0.4431
自上而下 L1 意图,助手随机1k,助手语音1k,998,1000,0.8375,3,False,0.1962,0.1651,0.2422,0.1263,True,0.2261
自上而下 L2 子意图,2025搜索,2026搜索,9998,9998,0.9698,3,False,0.0955,0.094,0.1164,0.0584,True,0.1277
自上而下 L2 子意图,2025搜索,助手头部1k,9998,958,0.6751,4,False,0.2924,0.277,0.3335,0.1608,True,0.2765
自上而下 L2 子意图,2025搜索,助手随机1k,9998,998,0.3569,0,False,0.5034,0.4789,0.538,0.1664,True,0.4074
自上而下 L2 子意图,2025搜索,助手语音1k,9998,1000,0.5971,2,False,0.4341,0.4161,0.4723,0.1601,True,0.3855
自上而下 L2 子意图,2026搜索,助手头部1k,9998,958,0.6685,2,False,0.3207,0.3058,0.3607,0.1587,True,0.2862
自上而下 L2 子意图,2026搜索,助手随机1k,9998,998,0.3553,0,False,0.4894,0.4687,0.5227,0.1703,True,0.3905
自上而下 L2 子意图,2026搜索,助手语音1k,9998,1000,0.5771,1,False,0.4253,0.4086,0.4632,0.1641,True,0.3649
自上而下 L2 子意图,助手头部1k,助手随机1k,958,998,0.5233,1,True,0.4233,0.402,0.4774,0.1723,True,0.5096
自上而下 L2 子意图,助手头部1k,助手语音1k,958,1000,0.6493,3,False,0.4076,0.3805,0.4508,0.174,True,0.4779
自上而下 L2 子意图,助手随机1k,助手语音1k,998,1000,0.8013,3,False,0.2062,0.1922,0.2682,0.1743,True,0.2532
自下而上 家族,2025搜索,2026搜索,9998,9998,0.9623,4,True,0.0713,0.0669,0.0895,0.0438,True,0.0966
自下而上 家族,2025搜索,助手头部1k,9998,958,0.7455,3,True,0.2025,0.1829,0.2438,0.1399,True,0.1725
自下而上 家族,2025搜索,助手随机1k,9998,998,0.3882,1,False,0.4655,0.44,0.4908,0.1443,True,0.3066
自下而上 家族,2025搜索,助手语音1k,9998,1000,0.3413,2,False,0.3782,0.3545,0.4153,0.142,True,0.2947
自下而上 家族,2026搜索,助手头部1k,9998,958,0.7204,4,True,0.2323,0.2135,0.2735,0.1357,True,0.1982
自下而上 家族,2026搜索,助手随机1k,9998,998,0.4788,1,False,0.4554,0.4329,0.4811,0.1423,True,0.2894
自下而上 家族,2026搜索,助手语音1k,9998,1000,0.4562,2,False,0.3617,0.3383,0.3944,0.1381,True,0.2674
自下而上 家族,助手头部1k,助手随机1k,958,998,0.5132,1,False,0.4338,0.4089,0.4781,0.1463,True,0.4886
自下而上 家族,助手头部1k,助手语音1k,958,1000,0.4394,2,False,0.3759,0.3499,0.426,0.148,True,0.4359
自下而上 家族,助手随机1k,助手语音1k,998,1000,0.8035,3,False,0.2043,0.1824,0.2583,0.1503,True,0.238
自下而上 叶,2025搜索,2026搜索,9998,9998,0.9554,4,True,0.0736,0.0685,0.0925,0.0476,True,0.0983
自下而上 叶,2025搜索,助手头部1k,9998,958,0.6816,3,True,0.2201,0.1967,0.2604,0.1442,True,0.1784
自下而上 叶,2025搜索,助手随机1k,9998,998,0.346,0,False,0.4789,0.4564,0.5067,0.1483,True,0.3549
自下而上 叶,2025搜索,助手语音1k,9998,1000,0.3479,1,False,0.3883,0.3654,0.4267,0.1501,True,0.3126
自下而上 叶,2026搜索,助手头部1k,9998,958,0.6432,4,True,0.2496,0.23,0.2861,0.1503,True,0.2021
自下而上 叶,2026搜索,助手随机1k,9998,998,0.3898,1,False,0.4704,0.4455,0.4971,0.1483,True,0.3366
自下而上 叶,2026搜索,助手语音1k,9998,1000,0.406,1,False,0.3748,0.3514,0.4103,0.148,True,0.285
自下而上 叶,助手头部1k,助手随机1k,958,998,0.5134,1,False,0.4365,0.4122,0.4838,0.1567,True,0.4983
自下而上 叶,助手头部1k,助手语音1k,958,1000,0.4601,1,False,0.3817,0.3525,0.4314,0.16,True,0.4409
自下而上 叶,助手随机1k,助手语音1k,998,1000,0.8396,3,False,0.2103,0.1873,0.2624,0.154,True,0.2452
