key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
BARE_ENTITY_LOOKUP__1,BARE_ENTITY_LOOKUP__1,2025搜索,2026搜索,825,551,9998,9998,8.252,5.511,-2.741,-3.443,-2.041,True,共有
BARE_ENTITY_LOOKUP__2,BARE_ENTITY_LOOKUP__2,2025搜索,2026搜索,1031,581,9998,9998,10.312,5.811,-4.501,-5.255,-3.75,True,共有
CARE_LOGISTICS_COST_DURATION__1,CARE_LOGISTICS_COST_DURATION__1,2025搜索,2026搜索,121,99,9998,9998,1.21,0.99,-0.22,-0.513,0.07,False,共有
CARE_LOGISTICS_COST_DURATION__2,CARE_LOGISTICS_COST_DURATION__2,2025搜索,2026搜索,43,46,9998,9998,0.43,0.46,0.03,-0.158,0.219,False,共有
CARE_LOGISTICS_COST_DURATION__3,CARE_LOGISTICS_COST_DURATION__3,2025搜索,2026搜索,23,23,9998,9998,0.23,0.23,0.0,-0.138,0.138,False,共有
CARE_ROUTING_AND_NAVIGATION__1,CARE_ROUTING_AND_NAVIGATION__1,2025搜索,2026搜索,23,24,9998,9998,0.23,0.24,0.01,-0.129,0.15,False,共有
CARE_ROUTING_AND_NAVIGATION__2,CARE_ROUTING_AND_NAVIGATION__2,2025搜索,2026搜索,28,41,9998,9998,0.28,0.41,0.13,-0.034,0.299,False,共有
CARE_ROUTING_AND_NAVIGATION__3,CARE_ROUTING_AND_NAVIGATION__3,2025搜索,2026搜索,111,101,9998,9998,1.11,1.01,-0.1,-0.387,0.186,False,共有
DISEASE_DEFINITION_CAUSE__1,DISEASE_DEFINITION_CAUSE__1,2025搜索,2026搜索,138,142,9998,9998,1.38,1.42,0.04,-0.288,0.368,False,共有
DISEASE_DEFINITION_CAUSE__2,DISEASE_DEFINITION_CAUSE__2,2025搜索,2026搜索,66,83,9998,9998,0.66,0.83,0.17,-0.07,0.413,False,共有
DISEASE_DEFINITION_CAUSE__3,DISEASE_DEFINITION_CAUSE__3,2025搜索,2026搜索,77,74,9998,9998,0.77,0.74,-0.03,-0.273,0.213,False,共有
DISEASE_DEFINITION_CAUSE__4,DISEASE_DEFINITION_CAUSE__4,2025搜索,2026搜索,151,156,9998,9998,1.51,1.56,0.05,-0.293,0.393,False,共有
DISEASE_DEFINITION_CAUSE__5,DISEASE_DEFINITION_CAUSE__5,2025搜索,2026搜索,54,49,9998,9998,0.54,0.49,-0.05,-0.253,0.151,False,共有
DISEASE_DEFINITION_CAUSE__6,DISEASE_DEFINITION_CAUSE__6,2025搜索,2026搜索,66,60,9998,9998,0.66,0.6,-0.06,-0.283,0.162,False,共有
DISEASE_SYMPTOM_LIST__1,DISEASE_SYMPTOM_LIST__1,2025搜索,2026搜索,75,84,9998,9998,0.75,0.84,0.09,-0.158,0.34,False,共有
DISEASE_SYMPTOM_LIST__2,DISEASE_SYMPTOM_LIST__2,2025搜索,2026搜索,591,599,9998,9998,5.911,5.991,0.08,-0.576,0.737,False,共有
DOSAGE_USAGE__1,DOSAGE_USAGE__1,2025搜索,2026搜索,102,152,9998,9998,1.02,1.52,0.5,0.19,0.815,True,共有
