surface,own_intent,n,k,share,lo,hi
搜索top1000,查询标的实时行情与牌价,1000,820,0.82,0.7949772854898887,0.8425734994148213
搜索top1000,查找机构客服联系方式,1000,28,0.028,0.019442147463132154,0.040170444802420505
搜索top1000,进入官网或下载官方App,1000,25,0.025,0.016990011790561223,0.036645541866509784
搜索top1000,进入个股股吧讨论区,1000,24,0.024,0.016180052367186296,0.03546315508705749
搜索top1000,解析纯代码标的,1000,23,0.023,0.015374164302931469,0.0342766969484851
搜索top1000,查看价格走势图,1000,17,0.017,0.010640599663218203,0.027056184371235047
搜索top1000,计算金融金额或收益,1000,14,0.014,0.008357497449441328,0.023362247976530262
搜索top1000,离域或无法判定的兜底,1000,11,0.011,0.006153110089114165,0.01958959672837577
搜索top1000,获取每日答题答案,1000,8,0.008,0.004059147003819634,0.01570652120518864
搜索top1000,获取市场资讯与事件动态,1000,7,0.007,0.0033948250792319975,0.01437849692694906
搜索top1000,查询市场日历与未定状态,1000,6,0.006,0.0027526315709082315,0.013028344232445605
搜索top1000,识别陌生来电号码,1000,6,0.006,0.0027526315709082315,0.013028344232445605
搜索top1000,了解金融术语与规则,1000,4,0.004,0.0015565629678934295,0.010239720429805971
搜索top1000,获取枚举清单或榜单,1000,4,0.004,0.0015565629678934295,0.010239720429805971
搜索top1000,办理操作与账户问题求助,1000,2,0.002,0.000548632102457155,0.007262958889587807
搜索top1000,核验机构/平台正规性,1000,1,0.001,0.0001765418290572713,0.0056427029601604705
搜索top10k,查询标的实时行情与牌价,9999,5769,0.576957695769577,0.5672462469834841,0.5866100332159344
搜索top10k,进入个股股吧讨论区,9999,1406,0.1406140614061406,0.13393824296672283,0.147565924808962
搜索top10k,解析纯代码标的,9999,1056,0.10561056105610561,0.09973714298481667,0.1117869103401905
搜索top10k,计算金融金额或收益,9999,277,0.027702770277027704,0.024662753548349126,0.03110555932786397
搜索top10k,进入官网或下载官方App,9999,237,0.023702370237023703,0.02089855275459837,0.026872032755822985
