marker,surface,n,k,pct,lo,hi,pv_pct
小学段(小学/一至六年级/幼儿园/小升初),搜索头,1000,2,0.2,0.0548632102457155,0.7262958889587807,0.13549651807385887
小学段(小学/一至六年级/幼儿园/小升初),搜索top10k,9981,55,0.5510469892796312,0.42362663071665463,0.7165176455831316,0.3544755925966014
小学段(小学/一至六年级/幼儿园/小升初),助手头,859,14,1.629802095459837,0.9732740626754752,2.7170440675583936,0.8445828691465527
小学段(小学/一至六年级/幼儿园/小升初),助手尾,970,43,4.43298969072165,3.30755563489453,5.917928263102844,4.0033361134278564
初中段(初中/初一至初三/七八九年级/中考),搜索头,1000,15,1.5,0.9110896837196351,2.460119479160246,1.7332137421424143
初中段(初中/初一至初三/七八九年级/中考),搜索top10k,9981,196,1.9637310890692317,1.7094286843950792,2.2549967502557817,1.955162896417361
初中段(初中/初一至初三/七八九年级/中考),助手头,859,4,0.46565774155995343,0.18122680901120208,1.1911687732138552,0.2350994620933411
初中段(初中/初一至初三/七八九年级/中考),助手尾,970,36,3.711340206185567,2.6926681297957,5.095210309572673,3.336113427856547
高中段(高中/高一至高三/高考/选科),搜索头,1000,21,2.1,1.3775634089646442,3.1890534756115683,3.324966468527861
高中段(高中/高一至高三/高考/选科),搜索top10k,9981,208,2.0839595230938786,1.821596222661427,2.383193565891653,2.733419471804308
高中段(高中/高一至高三/高考/选科),助手头,859,18,2.0954598370197903,1.3295119118332848,3.2879752376041087,1.170262762907996
高中段(高中/高一至高三/高考/选科),助手尾,970,27,2.7835051546391756,1.9199248742454544,4.019603689742776,2.2518765638031693
大学与研究生(本科/专科/考研/四六级/专升本/保研),搜索头,1000,2,0.2,0.0548632102457155,0.7262958889587807,0.12246800672060319
大学与研究生(本科/专科/考研/四六级/专升本/保研),搜索top10k,9981,154,1.5429315699829675,1.3190985191869338,1.80405167680616,0.8549153046866544
大学与研究生(本科/专科/考研/四六级/专升本/保研),助手头,859,8,0.9313154831199069,0.4726468076388598,1.8269177937897223,0.5166270851421919
大学与研究生(本科/专科/考研/四六级/专升本/保研),助手尾,970,27,2.7835051546391756,1.9199248742454544,4.019603689742776,2.5020850708924103
成人与职业(考公/考编/教资/考证/自考/成考/在职/学历提升),搜索头,1000,11,1.0999999999999999,0.6153110089114164,1.958959672837577,1.2180528475581331
成人与职业(考公/考编/教资/考证/自考/成考/在职/学历提升),搜索top10k,9981,121,1.212303376415189,1.0155991930191741,1.4465490297428174,1.1392196125121765
成人与职业(考公/考编/教资/考证/自考/成考/在职/学历提升),助手头,859,5,0.5820721769499418,0.2488714512945107,1.3553163857314279,0.2820965956095801
成人与职业(考公/考编/教资/考证/自考/成考/在职/学历提升),助手尾,970,23,2.3711340206185567,1.5851180099382258,3.5329217205477175,2.168473728106756
家长视角(家长/孩子/儿子/女儿/宝宝),搜索头,1000,1,0.1,0.01765418290572713,0.5642702960160471,0.07603228359680297
家长视角(家长/孩子/儿子/女儿/宝宝),搜索top10k,9981,8,0.08015228934976455,0.04062007259757433,0.1580971509185203,0.08159703431107262
家长视角(家长/孩子/儿子/女儿/宝宝),助手头,859,5,0.5820721769499418,0.2488714512945107,1.3553163857314279,0.2174613127107332
家长视角(家长/孩子/儿子/女儿/宝宝),助手尾,970,12,1.2371134020618557,0.7090700633538872,2.149875375000769,1.084236864053378
教师视角(教案/课件/评语/班主任/学生们/说课),搜索头,1000,0,0.0,0.0,0.3826898586390522,0.0
教师视角(教案/课件/评语/班主任/学生们/说课),搜索top10k,9981,0,0.0,0.0,0.0384743209146152,0.0
教师视角(教案/课件/评语/班主任/学生们/说课),助手头,859,0,0.0,0.0,0.44522656302153246,0.0
教师视角(教案/课件/评语/班主任/学生们/说课),助手尾,970,8,0.8247422680412372,0.41848602596532863,1.6189705788870412,0.6672226855713094
字数要求(\d+字),搜索头,1000,0,0.0,0.0,0.3826898586390522,0.0
字数要求(\d+字),搜索top10k,9981,9,0.09017132551848511,0.047447328852063674,0.17130025748921585,0.046034473427860156
字数要求(\d+字),助手头,859,22,2.5611175785797435,1.6973008264004295,3.8473553422404883,1.6720965614712264
字数要求(\d+字),助手尾,970,54,5.567010309278351,4.2915873279492285,7.192990862179434,5.5045871559633035
