surface,own_intent,n,k,share,lo,hi,pv_share
search_top1000,返回裸片名作品枢纽页,1000,339,0.339,0.31032607732071144,0.3689061840241064,0.2909702523002839
search_top1000,获取指定作品的在线播放页,1000,258,0.258,0.231843571975014,0.28600864694079914,0.26900967633977574
search_top1000,观看电视频道直播或查节目单,1000,91,0.091,0.07470443222228819,0.11042597082137927,0.20244274970582418
search_top1000,导航到指定影视站点或平台,1000,68,0.068,0.05399222846448211,0.08531421191415932,0.05237203443380717
search_top1000,按条件浏览或求推荐片单,1000,59,0.059,0.04601408784574914,0.07536123670744732,0.04823367480197007
search_top1000,定位并播放指定集数或区间,1000,55,0.055,0.04249722594783333,0.07090871379405425,0.04177157212289582
search_top1000,非影视垂类或噪声,1000,38,0.038,0.027808845539615407,0.05172720875420944,0.03196292114355061
search_top1000,寻找成人或情色内容,1000,37,0.037,0.02696102468045289,0.05058268341054474,0.023863595813209473
search_top1000,通过网盘或离线渠道获取片源,1000,22,0.022,0.014572598673771597,0.03308591637481774,0.019651077293679327
search_top1000,查询指定作品的演员表或角色信息,1000,15,0.015,0.00911089683719635,0.02460119479160246,0.007064478436137376
search_top1000,由描述或别名定位标准片名,1000,8,0.008,0.004059147003819634,0.01570652120518864,0.00386404517201411
search_top1000,查询剧情简介或百科信息,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.0030387522040241696
search_top1000,下载安装看片或娱乐应用,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.003027444809267012
search_top1000,按影人列出其作品清单,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00033790019917168194
search_top1000,查询播出时间平台或集数,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.002389825224389375
search_top10k,返回裸片名作品枢纽页,9999,3817,0.38173817381738173,0.3722629044592679,0.3913042802895138,0.3325366625524858
search_top10k,获取指定作品的在线播放页,9999,2742,0.27422742274227424,0.2655709099873691,0.28305735180575975,0.27354395005371107
search_top10k,定位并播放指定集数或区间,9999,639,0.0639063906390639,0.05927774088504073,0.06887000465158757,0.050865518296769135
search_top10k,导航到指定影视站点或平台,9999,481,0.0481048104810481,0.044081208326331334,0.052475514115419605,0.05063002978613594
search_top10k,寻找成人或情色内容,9999,467,0.046704670467046704,0.04273997459420774,0.0510175432695161,0.03473547550795464
search_top10k,按条件浏览或求推荐片单,9999,418,0.041804180418041806,0.038053990692697576,0.04590631114793138,0.045422477030268235
search_top10k,观看电视频道直播或查节目单,9999,388,0.0388038803880388,0.03519210421052798,0.04276990210575717,0.12649893878138896
search_top10k,非影视垂类或噪声,9999,277,0.027702770277027704,0.024662753548349126,0.03110555932786397,0.030185658245598594
search_top10k,通过网盘或离线渠道获取片源,9999,202,0.020202020202020204,0.01762298860536199,0.0231495854599916,0.02000220045329338
search_top10k,由描述或别名定位标准片名,9999,138,0.013801380138013802,0.011694168573310843,0.016282041706775968,0.008322674470941014
search_top10k,查询指定作品的演员表或角色信息,9999,122,0.012201220122012201,0.010228973660372254,0.014548145673397858,0.009130840953236366
search_top10k,查询剧情简介或百科信息,9999,100,0.010001000100010001,0.008230130424858371,0.012148238857726286,0.005772789194574082
search_top10k,下载安装看片或娱乐应用,9999,84,0.0084008400840084,0.006791058902632435,0.01038821943363553,0.005433839370910408
search_top10k,按影人列出其作品清单,9999,77,0.007700770077007701,0.006166336010032551,0.00961334003722186,0.0035182447584202344
search_top10k,查询播出时间平台或集数,9999,47,0.0047004700470047005,0.003536837259326524,0.006244543263584086,0.0034007005443121283
assistant_top1k,按线索查找或获取影音书资源,955,523,0.5476439790575917,0.5159480592055482,0.5789581275931891,0.5388193451910748
assistant_top1k,残缺或不可独立解释输入,955,181,0.18952879581151832,0.16593368838151423,0.21561170973220967,0.2184986644425747
assistant_top1k,核验真伪、传闻与进展,955,42,0.04397905759162304,0.032699197637281394,0.05891301443194881,0.02634373243291901
assistant_top1k,枚举清单或建议推荐,955,41,0.04293193717277487,0.0318026360516363,0.057723725758281,0.05172850891535101
assistant_top1k,前往官方入口或话题聚合页,955,38,0.039790575916230364,0.02912531906248117,0.054143491969497415,0.03771158573102939
assistant_top1k,索取或生成成人、色情或暴力内容,955,31,0.032460732984293195,0.022961103068516196,0.04570675614827207,0.0234999320280265
assistant_top1k,解释含义或识别指称,955,28,0.02931937172774869,0.02036171462854499,0.042048593810304555,0.04194421889179964
assistant_top1k,核查人物或机构背景,955,22,0.023036649214659685,0.015261432404664254,0.034633774478307865,0.015736430405884537
assistant_top1k,无内容社交与情绪表达轮,955,17,0.01780104712041885,0.011143291932029611,0.028322663654377987,0.021626110055810503
assistant_top1k,生成或编辑非敏感图像,955,14,0.014659685863874346,0.008752185430454478,0.024456219378014406,0.01156258381679165
assistant_top1k,虚构续写与角色扮演,955,9,0.009424083769633508,0.004965797915294479,0.017813355596609882,0.007296883209452881
assistant_top1k,修改上一轮输出,955,3,0.0031413612565445027,0.0010688896461059595,0.009195162309920981,0.0014035293987970797
assistant_top1k,通用操作与生活指南,955,3,0.0031413612565445027,0.0010688896461059595,0.009195162309920981,0.002443316885340466
assistant_top1k,工具面板单步操作指令,955,2,0.0020942408376963353,0.0005744923418997891,0.007603709354814244,0.0008524052893217867
assistant_top1k,命理解梦与占卜,955,1,0.0010471204188481676,0.00018486163062708628,0.0059074898067740435,0.0005327533058261167
assistant_random1k,按线索查找或获取影音书资源,982,291,0.29633401221995925,0.2686112460235762,0.3256440582768305,0.31511254019292606
assistant_random1k,核验真伪、传闻与进展,982,166,0.1690427698574338,0.14690099579556898,0.19376387369259218,0.14308681672025725
assistant_random1k,虚构续写与角色扮演,982,114,0.11608961303462322,0.09753327284272137,0.13763797576354558,0.10048231511254019
assistant_random1k,枚举清单或建议推荐,982,81,0.0824847250509165,0.0668618001778078,0.10136157363802631,0.06752411575562701
assistant_random1k,解释含义或识别指称,982,79,0.08044806517311609,0.06502596545186852,0.09913996140696966,0.06591639871382636
assistant_random1k,核查人物或机构背景,982,48,0.048879837067209775,0.037063747828991966,0.06421175119640926,0.05064308681672026
assistant_random1k,无内容社交与情绪表达轮,982,47,0.04786150712830957,0.036181543470376464,0.06306523207652678,0.04180064308681672
assistant_random1k,残缺或不可独立解释输入,982,44,0.04480651731160896,0.03354481845784001,0.05961578665356935,0.04260450160771704
assistant_random1k,索取或生成成人、色情或暴力内容,982,25,0.025458248472505093,0.017302486907833606,0.037312372112114425,0.028135048231511254
assistant_random1k,生成或编辑非敏感图像,982,22,0.02240325865580448,0.014840533024862587,0.033688155559591544,0.08681672025723473
assistant_random1k,通用操作与生活指南,982,22,0.02240325865580448,0.014840533024862587,0.033688155559591544,0.01929260450160772
assistant_random1k,前往官方入口或话题聚合页,982,16,0.016293279022403257,0.01005354812936121,0.026302799584105127,0.016881028938906754
assistant_random1k,修改上一轮输出,982,11,0.01120162932790224,0.006266097516758682,0.019946632804217827,0.008842443729903537
assistant_random1k,数值事实与年度政策查询,982,4,0.004073319755600814,0.0015851146045958503,0.010426551366894903,0.003215434083601286
