surface,theme,k,n_low,share,nonpublic_or_private
助手top1k,T1 指代/识图(依赖图片或上文),50,291,0.1718213058419244,1
助手top1k,T2 虚构/动漫角色与创作,2,291,0.006872852233676976,0
助手top1k,T3 历史人物与历史讨论,6,291,0.020618556701030927,0
助手top1k,T4 教师/医生/学者等职业个人,1,291,0.003436426116838488,0
助手top1k,T5 查处与司法,2,291,0.006872852233676976,0
助手top1k,T6 干部/机构人事与任职,3,291,0.010309278350515464,0
助手top1k,T7 名人动态/关系/财富/生死,53,291,0.18213058419243985,0
助手top1k,T8 比较/清单/评判,3,291,0.010309278350515464,0
助手top1k,"T9a 裸名/短词(≤5字,无问词)",64,291,0.21993127147766323,0
助手top1k,"T9b 陈述式标题/话题串(≥6字,无问词)",79,291,0.27147766323024053,1
助手top1k,T9c 其他问句,28,291,0.09621993127147767,0
助手random1k,T1 指代/识图(依赖图片或上文),50,842,0.05938242280285035,0
助手random1k,T2 虚构/动漫角色与创作,26,842,0.030878859857482184,1
助手random1k,T3 历史人物与历史讨论,34,842,0.040380047505938245,3
助手random1k,T4 教师/医生/学者等职业个人,72,842,0.0855106888361045,49
助手random1k,T5 查处与司法,14,842,0.0166270783847981,0
助手random1k,T6 干部/机构人事与任职,141,842,0.167458432304038,31
助手random1k,T7 名人动态/关系/财富/生死,84,842,0.0997624703087886,10
助手random1k,T8 比较/清单/评判,65,842,0.07719714964370546,3
助手random1k,"T9a 裸名/短词(≤5字,无问词)",48,842,0.057007125890736345,0
助手random1k,"T9b 陈述式标题/话题串(≥6字,无问词)",134,842,0.15914489311163896,16
助手random1k,T9c 其他问句,174,842,0.20665083135391923,13
