view,surface,code,name,n,k,share,lo,hi,pv_share
all,search_top1000,U01,导航直达,1000,60,0.06,0.046896260125365796,0.07647141063065788,0.049545819852950826
all,search_top1000,U02,裸实体,1000,514,0.514,0.48302753849609636,0.5448653083434848,0.43245394057767717
all,search_top1000,U03,事实与数值,1000,401,0.401,0.3710579007277139,0.43169982519239153,0.5067461436446349
all,search_top1000,U04,解释与介绍,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.0007358399510803211
all,search_top1000,U05,核实与动态,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00025863544656822403
all,search_top1000,U06,办事与操作,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.0008297887244063854
all,search_top1000,U07,个案判断与建议,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0004769281845905498
all,search_top1000,U08,清单与推荐,1000,6,0.006,0.0027526315709082315,0.013028344232445605,0.0014868774978457407
all,search_top1000,U09,获取现成内容,1000,10,0.01,0.005440695309270557,0.01830966530539216,0.005800922273002148
all,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U12,违规或灰色内容,1000,0,0.0,0.0,0.003826898586390522,0.0
all,search_top1000,U13,无法判定,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.0016651038472437157
all,assistant_top1k,U01,导航直达,950,52,0.05473684210526316,0.041983600665608425,0.07107668104154295,0.0865287712312268
all,assistant_top1k,U02,裸实体,950,268,0.28210526315789475,0.2544096368465626,0.3115560329250221,0.2635929012118084
all,assistant_top1k,U03,事实与数值,950,315,0.33157894736842103,0.30237259970993957,0.3621419276497394,0.38430056780473415
all,assistant_top1k,U04,解释与介绍,950,34,0.035789473684210524,0.025722631233919012,0.04959553480119625,0.04782710222943244
all,assistant_top1k,U05,核实与动态,950,50,0.05263157894736842,0.040148268903027584,0.06871844439611977,0.05147727552048767
all,assistant_top1k,U06,办事与操作,950,35,0.03684210526315789,0.026608111340136204,0.05080683889898106,0.03090971658923875
all,assistant_top1k,U07,个案判断与建议,950,77,0.08105263157894736,0.06533799100419703,0.10014189580300449,0.054537521815008726
all,assistant_top1k,U08,清单与推荐,950,37,0.03894736842105263,0.028386554969322863,0.05322196367779841,0.024967431113733007
all,assistant_top1k,U09,获取现成内容,950,37,0.03894736842105263,0.028386554969322863,0.05322196367779841,0.02032175601602635
all,assistant_top1k,U10,生成与编辑,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,0.0009340510778457833
all,assistant_top1k,U11,会话与系统指令,950,0,0.0,0.0,0.0040275030990470535,0.0
all,assistant_top1k,U12,违规或灰色内容,950,0,0.0,0.0,0.0040275030990470535,0.0
all,assistant_top1k,U13,无法判定,950,44,0.04631578947368421,0.034680608598917806,0.06160539947621753,0.03460290539045793
all,assistant_random1k,U01,导航直达,987,8,0.008105369807497468,0.00411268319239232,0.015912313739508802,
all,assistant_random1k,U02,裸实体,987,23,0.02330293819655522,0.015577299553705456,0.03472498892509883,
all,assistant_random1k,U03,事实与数值,987,231,0.23404255319148937,0.2086900034079902,0.2614573945212045,
all,assistant_random1k,U04,解释与介绍,987,90,0.0911854103343465,0.07477568836410545,0.11076516902419961,
all,assistant_random1k,U05,核实与动态,987,107,0.10840932117527863,0.09050969039658971,0.12934543074487226,
all,assistant_random1k,U06,办事与操作,987,108,0.1094224924012158,0.09144028437556595,0.1304333228690229,
all,assistant_random1k,U07,个案判断与建议,987,241,0.24417426545086118,0.21839830407196045,0.271933954888503,
all,assistant_random1k,U08,清单与推荐,987,80,0.08105369807497467,0.0656069450196786,0.09974905133735769,
all,assistant_random1k,U09,获取现成内容,987,12,0.0121580547112462,0.0069683380428229875,0.021130603301585643,
all,assistant_random1k,U10,生成与编辑,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995,
all,assistant_random1k,U11,会话与系统指令,987,9,0.00911854103343465,0.004804558194385939,0.01723892484064206,
all,assistant_random1k,U12,违规或灰色内容,987,3,0.00303951367781155,0.0010342169923891007,0.008898349423877636,
all,assistant_random1k,U13,无法判定,987,74,0.07497467071935157,0.06014205530535263,0.0931030244329224,
interp,search_top1000,U01,导航直达,997,60,0.06018054162487462,0.04703823116816134,0.07669923138335531,0.049628456386612944
interp,search_top1000,U02,裸实体,997,514,0.5155466399197592,0.48452459801573344,0.5464493343228104,0.433175222306871
interp,search_top1000,U03,事实与数值,997,401,0.40220661985957873,0.3722006623727594,0.43296331162672275,0.5075913359309211
interp,search_top1000,U04,解释与介绍,997,2,0.0020060180541624875,0.000550283469083254,0.007284722589817577,0.0007370672445849568
interp,search_top1000,U05,核实与动态,997,1,0.0010030090270812437,0.00017707311405722268,0.005659614729453679,0.0002590668197264437
interp,search_top1000,U06,办事与操作,997,2,0.0020060180541624875,0.000550283469083254,0.007284722589817577,0.0008311727132890069
interp,search_top1000,U07,个案判断与建议,997,1,0.0010030090270812437,0.00017707311405722268,0.005659614729453679,0.00047772364406820707
interp,search_top1000,U08,清单与推荐,997,6,0.006018054162487462,0.002760922830428234,0.013067356090032305,0.0014893574326367452
interp,search_top1000,U09,获取现成内容,997,10,0.010030090270812437,0.005457093076134644,0.01836445870588561,0.005810597521289633
interp,search_top1000,U10,生成与编辑,997,0,0.0,2.168404344971009e-19,0.003838369628120973,0.0
interp,search_top1000,U11,会话与系统指令,997,0,0.0,2.168404344971009e-19,0.003838369628120973,0.0
interp,search_top1000,U12,违规或灰色内容,997,0,0.0,2.168404344971009e-19,0.003838369628120973,0.0
interp,assistant_top1k,U01,导航直达,906,52,0.05739514348785872,0.04403497725352479,0.07449290716064139,0.08963023787245147
interp,assistant_top1k,U02,裸实体,906,268,0.2958057395143488,0.2669986814002177,0.3263371256237742,0.2730409099878422
interp,assistant_top1k,U03,事实与数值,906,315,0.347682119205298,0.31737331464717494,0.3792771792409921,0.3980751236465713
interp,assistant_top1k,U04,解释与介绍,906,34,0.037527593818984545,0.02697754198964169,0.05198301554037233,0.049541377839733676
interp,assistant_top1k,U05,核实与动态,906,50,0.05518763796909492,0.042109656451968465,0.072021858308403,0.05332238496254002
interp,assistant_top1k,U06,办事与操作,906,35,0.03863134657836645,0.027906342055816113,0.05325240030109525,0.032017619238579
interp,assistant_top1k,U07,个案判断与建议,906,77,0.08498896247240618,0.06853633139549546,0.10494617369110425,0.05649232022711504
interp,assistant_top1k,U08,清单与推荐,906,37,0.04083885209713024,0.029771810552803545,0.0557833014579025,0.02586234333326968
interp,assistant_top1k,U09,获取现成内容,906,37,0.04083885209713024,0.029771810552803545,0.0557833014579025,0.021050152449697965
interp,assistant_top1k,U10,生成与编辑,906,1,0.0011037527593818985,0.00019486102983185243,0.006225597212569902,0.0009675304421996041
interp,assistant_top1k,U11,会话与系统指令,906,0,0.0,0.0,0.0042222734155044125,0.0
interp,assistant_top1k,U12,违规或灰色内容,906,0,0.0,0.0,0.0042222734155044125,0.0
interp,assistant_random1k,U01,导航直达,913,8,0.008762322015334063,0.00444650933615933,0.017194742544209097,
interp,assistant_random1k,U02,裸实体,913,23,0.025191675794085433,0.01684417091504395,0.03751810933052955,
interp,assistant_random1k,U03,事实与数值,913,231,0.25301204819277107,0.2258871220172629,0.2822067515591542,
interp,assistant_random1k,U04,解释与介绍,913,90,0.09857612267250822,0.08088928849885993,0.11962691844462955,
interp,assistant_random1k,U05,核实与动态,913,107,0.1171960569550931,0.0979175225681149,0.139682516522607,
interp,assistant_random1k,U06,办事与操作,913,108,0.11829134720700986,0.09892473466927151,0.14085670631246405,
interp,assistant_random1k,U07,个案判断与建议,913,241,0.26396495071193865,0.2364048711051805,0.2935030213813733,
interp,assistant_random1k,U08,清单与推荐,913,80,0.08762322015334063,0.07096741439564397,0.10773477363770878,
interp,assistant_random1k,U09,获取现成内容,913,12,0.013143483023001095,0.007534297365920858,0.022832562078502254,
