view,domain,frm,to,code,name,p_from,p_to,diff,lo,hi,sig
all,金融,search_top1000,assistant_top1k,U01,导航直达,0.06,0.05473684210526316,-0.005263157894736838,-0.026094685332298303,0.015681968869397187,False
all,金融,search_top1000,assistant_top1k,U02,裸实体,0.514,0.28210526315789475,-0.23189473684210526,-0.2733641831359171,-0.18915551350467041,True
all,金融,search_top1000,assistant_top1k,U03,事实与数值,0.401,0.33157894736842103,-0.069421052631579,-0.11179427543078889,-0.026635248063852403,True
all,金融,search_top1000,assistant_top1k,U04,解释与介绍,0.002,0.035789473684210524,0.03378947368421052,0.022429893885974914,0.047671613012857356,True
all,金融,search_top1000,assistant_top1k,U05,核实与动态,0.001,0.05263157894736842,0.05163157894736842,0.03831288079629436,0.06773950629155277,True
all,金融,search_top1000,assistant_top1k,U06,办事与操作,0.002,0.03684210526315789,0.03484210526315789,0.023334135507812853,0.04888205733905576,True
all,金融,search_top1000,assistant_top1k,U07,个案判断与建议,0.001,0.08105263157894736,0.08005263157894736,0.0636665210224464,0.09915964840458395,True
all,金融,search_top1000,assistant_top1k,U08,清单与推荐,0.006,0.03894736842105263,0.032947368421052635,0.020261612495133682,0.04758668095471251,True
all,金融,search_top1000,assistant_top1k,U09,获取现成内容,0.01,0.03894736842105263,0.02894736842105263,0.01550931356739637,0.04393240525807164,True
all,金融,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.0010526315789473684,0.0010526315789473684,-0.002871204502879681,0.005938452589884022,False
all,金融,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
all,金融,search_top1000,assistant_top1k,U12,违规或灰色内容,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
all,金融,search_top1000,assistant_top1k,U13,无法判定,0.003,0.04631578947368421,0.04331578947368421,0.030322617807975943,0.058732972861380316,True
all,金融,search_top10k,assistant_top1k,U01,导航直达,0.17211721172117211,0.05473684210526316,-0.11738036961590895,-0.13218795990490823,-0.0994950900001492,True
all,金融,search_top10k,assistant_top1k,U02,裸实体,0.39973997399739974,0.28210526315789475,-0.117634710839505,-0.1469594812821812,-0.08667080047382245,True
all,金融,search_top10k,assistant_top1k,U03,事实与数值,0.35963596359635963,0.33157894736842103,-0.028057016227938603,-0.058756798619924236,0.0039044251915503966,False
all,金融,search_top10k,assistant_top1k,U04,解释与介绍,0.0125012501250125,0.035789473684210524,0.023288223559198025,0.012945552050786978,0.037238140776082784,True
all,金融,search_top10k,assistant_top1k,U05,核实与动态,0.014801480148014802,0.05263157894736842,0.03783009879935362,0.025086961680405466,0.05406501123157657,True
all,金融,search_top10k,assistant_top1k,U06,办事与操作,0.010901090109010901,0.03684210526315789,0.02594101515414699,0.015466576706214505,0.0400285117346181,True
all,金融,search_top10k,assistant_top1k,U07,个案判断与建议,0.0032003200320032004,0.08105263157894736,0.07785231154694416,0.062082831905753255,0.09696433305906177,True
all,金融,search_top10k,assistant_top1k,U08,清单与推荐,0.0121012101210121,0.03894736842105263,0.026846158300040533,0.016029582936427193,0.041255164863081985,True
all,金融,search_top10k,assistant_top1k,U09,获取现成内容,0.0067006700670067,0.03894736842105263,0.032246698354045936,0.021533680625026645,0.046591801325713215,True
all,金融,search_top10k,assistant_top1k,U10,生成与编辑,0.0,0.0010526315789473684,0.0010526315789473684,0.00010456413629229887,0.005938452589884022,True
all,金融,search_top10k,assistant_top1k,U11,会话与系统指令,0.0,0.0,0.0,-0.00038405086810531917,0.0040275030990470535,False
all,金融,search_top10k,assistant_top1k,U12,违规或灰色内容,0.00030003000300030005,0.0,-0.00030003000300030005,-0.0008818398630935808,0.0037323366759345993,False
all,金融,search_top10k,assistant_top1k,U13,无法判定,0.008000800080008,0.04631578947368421,0.03831498939367621,0.026518354101280978,0.05368470235149946,True
all,金融,assistant_top1k,assistant_random1k,U01,导航直达,0.05473684210526316,0.008105369807497468,-0.046631472297765694,-0.063452051445643,-0.03167842776577505,True
all,金融,assistant_top1k,assistant_random1k,U02,裸实体,0.28210526315789475,0.02330293819655522,-0.25880232496133954,-0.28924954704014727,-0.22884383768940977,True
all,金融,assistant_top1k,assistant_random1k,U03,事实与数值,0.33157894736842103,0.23404255319148937,-0.09753639417693166,-0.13724593388971426,-0.05747913180565196,True
