view,frm,to,code,name,p_from,p_to,diff,lo,hi,sig
all,search_top1000,assistant_top1k,U01,导航直达,0.001,0.010438413361169102,0.009438413361169101,0.0027900487475466806,0.018146843841728752,True
all,search_top1000,assistant_top1k,U02,裸实体,0.044,0.21189979123173278,0.16789979123173276,0.1392308291566196,0.19708028039722597,True
all,search_top1000,assistant_top1k,U03,事实与数值,0.033,0.04697286012526096,0.013972860125260958,-0.0034924145723411078,0.031935889227603334,False
all,search_top1000,assistant_top1k,U04,解释与介绍,0.784,0.36012526096033404,-0.423874739039666,-0.46237304332612894,-0.383123101708385,True
all,search_top1000,assistant_top1k,U05,核实与动态,0.007,0.015657620041753653,0.008657620041753654,-0.0009454962470629678,0.01930201592873542,False
all,search_top1000,assistant_top1k,U06,办事与操作,0.04,0.08768267223382047,0.047682672233820465,0.026186635016272625,0.06991026386088597,True
all,search_top1000,assistant_top1k,U07,个案判断与建议,0.057,0.081419624217119,0.024419624217118997,0.001910507687436211,0.04732905727043131,True
all,search_top1000,assistant_top1k,U08,清单与推荐,0.012,0.024008350730688934,0.012008350730688934,0.00010103537628239172,0.024835721658294486,True
all,search_top1000,assistant_top1k,U09,获取现成内容,0.02,0.022964509394572025,0.002964509394572025,-0.010240018526243743,0.016488574445061622,False
all,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.013569937369519834,0.013569937369519834,0.006768442938651506,0.023078282619999377,True
all,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.0020876826722338203,0.0020876826722338203,-0.0020281826501090386,0.0075800010310645705,False
all,search_top1000,assistant_top1k,U12,违规或灰色内容,0.0,0.003131524008350731,0.003131524008350731,-0.0012174344983912119,0.009166497572646707,False
all,search_top1000,assistant_top1k,U13,无法判定,0.002,0.12004175365344467,0.11804175365344467,0.09825066738691224,0.14020291995366738,True
all,assistant_top1k,assistant_random1k,U01,导航直达,0.010438413361169102,0.001002004008016032,-0.00943640935315307,-0.01814499602692659,-0.0027815754944409566,True
all,assistant_top1k,assistant_random1k,U02,裸实体,0.21189979123173278,0.01903807615230461,-0.19286171507942818,-0.22071135545915627,-0.16601944197167628,True
all,assistant_top1k,assistant_random1k,U03,事实与数值,0.04697286012526096,0.0871743486973948,0.040201488572133834,0.01809290691811246,0.0626111043180118,True
all,assistant_top1k,assistant_random1k,U04,解释与介绍,0.36012526096033404,0.22545090180360722,-0.13467435915672682,-0.17432496479591744,-0.0945069069961738,True
all,assistant_top1k,assistant_random1k,U05,核实与动态,0.015657620041753653,0.09418837675350701,0.07853075671175336,0.05914518211762519,0.09917708420383976,True
all,assistant_top1k,assistant_random1k,U06,办事与操作,0.08768267223382047,0.05110220440881764,-0.03658046782500283,-0.05957159889313564,-0.014108640898006435,True
all,assistant_top1k,assistant_random1k,U07,个案判断与建议,0.081419624217119,0.3366733466933868,0.25525372247626776,0.22086142895192462,0.28901816894849935,True
all,assistant_top1k,assistant_random1k,U08,清单与推荐,0.024008350730688934,0.045090180360721446,0.021081829630032512,0.0048259733001972185,0.03780779313048028,True
all,assistant_top1k,assistant_random1k,U09,获取现成内容,0.022964509394572025,0.009018036072144289,-0.013946473322427736,-0.026270163096671323,-0.0027845038706869607,True
all,assistant_top1k,assistant_random1k,U10,生成与编辑,0.013569937369519834,0.01002004008016032,-0.0035498972893595136,-0.01409878947351317,0.006496963444449177,False
all,assistant_top1k,assistant_random1k,U11,会话与系统指令,0.0020876826722338203,0.008016032064128256,0.005928349391894436,-0.0008361243933991741,0.013797366262048524,False
all,assistant_top1k,assistant_random1k,U12,违规或灰色内容,0.003131524008350731,0.001002004008016032,-0.0021295200003346986,-0.008220637278874728,0.0029605723102744614,False
all,assistant_top1k,assistant_random1k,U13,无法判定,0.12004175365344467,0.11222444889779559,-0.007817304755649082,-0.036403555059293914,0.020621058075693026,False
all,search_top10k,assistant_top1k,U01,导航直达,0.0030006001200240046,0.010438413361169102,0.0074378132411450975,0.0025099671873676233,0.016153598464321454,True
all,search_top10k,assistant_top1k,U02,裸实体,0.1229245849169834,0.21189979123173278,0.08897520631474938,0.06341229025056956,0.11670103757839115,True
all,search_top10k,assistant_top1k,U03,事实与数值,0.047309461892378474,0.04697286012526096,-0.0003366017671175142,-0.012799965257601723,0.015477898290747132,False
all,search_top10k,assistant_top1k,U04,解释与介绍,0.6071214242848569,0.36012526096033404,-0.2469961633245229,-0.2782677352017102,-0.21463428420147437,True
all,search_top10k,assistant_top1k,U05,核实与动态,0.02590518103620724,0.015657620041753653,-0.010247560994453588,-0.017224080955268957,0.00018932562310358843,False
all,search_top10k,assistant_top1k,U06,办事与操作,0.05891178235647129,0.08768267223382047,0.028770889877349173,0.011779195717019127,0.04886640785446518,True
all,search_top10k,assistant_top1k,U07,个案判断与建议,0.08111622324464893,0.081419624217119,0.00030340097247007203,-0.0163293254454607,0.020034594865709625,False
all,search_top10k,assistant_top1k,U08,清单与推荐,0.022704540908181636,0.024008350730688934,0.001303809822507298,-0.007239701431258072,0.013379386729466433,False
all,search_top10k,assistant_top1k,U09,获取现成内容,0.028005601120224044,0.022964509394572025,-0.005041091725652019,-0.013513024970693116,0.006917884515882627,False
all,search_top10k,assistant_top1k,U10,生成与编辑,0.0,0.013569937369519834,0.013569937369519834,0.007934096858383604,0.023078282619999377,True
all,search_top10k,assistant_top1k,U11,会话与系统指令,0.0,0.0020876826722338203,0.0020876826722338203,0.0005247626085402581,0.0075800010310645705,True
all,search_top10k,assistant_top1k,U12,违规或灰色内容,0.000600120024004801,0.003131524008350731,0.00253140398434593,0.0003472520489204798,0.008575125260095604,True
all,search_top10k,assistant_top1k,U13,无法判定,0.002400480096019204,0.12004175365344467,0.11764127355742547,0.09852701178871369,0.13976885502555564,True
interpretable,search_top1000,assistant_top1k,U01,导航直达,0.001002004008016032,0.011862396204033215,0.010860392196017183,0.0037280155167823273,0.02073018440847477,True
interpretable,search_top1000,assistant_top1k,U02,裸实体,0.04408817635270541,0.24080664294187426,0.19671846658916886,0.16546296720957676,0.2286986264433457,True
interpretable,search_top1000,assistant_top1k,U03,事实与数值,0.033066132264529056,0.05338078291814947,0.02031465065362041,0.0017480126552704006,0.04001700413967542,True
interpretable,search_top1000,assistant_top1k,U04,解释与介绍,0.7855711422845691,0.4092526690391459,-0.3763184732454232,-0.41709125820029747,-0.3335588977058065,True
interpretable,search_top1000,assistant_top1k,U05,核实与动态,0.0070140280561122245,0.017793594306049824,0.0107795662499376,0.0006110964640075392,0.022696568008585237,True
interpretable,search_top1000,assistant_top1k,U06,办事与操作,0.04008016032064128,0.099644128113879,0.05956396779323772,0.03638973065384363,0.08401008796068435,True
interpretable,search_top1000,assistant_top1k,U07,个案判断与建议,0.05711422845691383,0.09252669039145907,0.03541246193454524,0.01139843273154616,0.060378965883133975,True
interpretable,search_top1000,assistant_top1k,U08,清单与推荐,0.012024048096192385,0.027283511269276393,0.015259463173084008,0.0025943438293395907,0.0295381854867204,True
interpretable,search_top1000,assistant_top1k,U09,获取现成内容,0.02004008016032064,0.02609727164887307,0.006057191488552431,-0.007805996592415668,0.020924998902431685,False
interpretable,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.01542111506524318,0.01542111506524318,0.007971290108667886,0.026204779287368432,True
