domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,u_qw,p_qw,sim,nn_query,nn_rank,nn_pv,u_nn,core,u_core
教育,assistant_random1k,不是啦，要按元素周期表的正式排列，从0到200，小位数之间创意的就不弄了,1.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,解答专业技术与安全问题,K12,U11,0,,,0.578615,生肖还需自己查打准确生肖,5448,730,U13,元素周期表,U02
教育,assistant_random1k,写一篇国防教育日记初一作文，字数要求是500-600，作文体裁是日记,1.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,,,0.5143949,作文,1424,2064,,500,U13
教育,assistant_random1k,写一篇暑假趣事作文400浙江板，字数要求是400-500,1.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,,,0.5538569,暑假计划表模板小学生,9183,506,,500,U13
教育,assistant_random1k,写一篇班级里的一件趣事作文500字，以课堂小插曲为选材，字数要求是500-600，作文体裁是周记,1.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,,,0.55215555,难忘的小学生活,9942,478,,500,U13
教育,assistant_random1k,在《简·爱》原文中找500字左右的片段（不包括标点符号）设计2道题目，一道情境概括，一道人物形象分析+理由，并给出答案,1.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,,,0.51572406,答题,8524,531,,500,U13
教育,assistant_random1k,感遇二首其二。里面最有名的是哪句诗？它的翻译是什么？,1.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,生成与修改作文类文本,K12,U10,0,,,0.5373981,李清照最有名的十首诗,6662,632,,翻译,U01
教育,assistant_random1k,戒之在少年人之色翻译一下,1.0,,,user,ai04,ADULT_OR_VIOLENT_CONTENT_REQUEST,索取或生成成人、色情或暴力内容,查询字词翻译与语言知识,K12,U10,0,,,0.5171911,少年中国说全文原文,7238,597,,翻译,U01
教育,assistant_random1k,把这篇游记精简成500字以内,1.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,生成与修改作文类文本,K12,U10,0,,,0.5088849,小石潭记原文,8720,523,,500,U13
教育,assistant_random1k,文琴 南昌大学红谷滩附属小学,1.0,,,user,ai04,ENTITY_BACKGROUND_LOOKUP,核查人物或机构背景,查询学校和教育信息,K12,U02,0,,,0.5573587,南昌大学,40,15344,U02,南昌大学,U02
教育,assistant_random1k,结合你之前的甲乙两筐苹果分数移重应用题，我为你设计了10道难度相当或略有提升的同类型小学分数应用题，全部围绕“两/多个总量固定的容器间转移部分量，结合转移后的分率关系反推原始量”的核心考点，适配六年级分数除法的知识范围：10道同类型进阶分数应用题两筐橘子基础变式‌：甲乙两筐橘子共重72千克，从甲筐取出1991​ 放入乙筐后，乙筐的重量比甲筐多1551​ ，求甲筐原来重多少千克？两筐梨分率升级‌：A、B两筐梨总重90千克，从A筐拿出2772​ 倒入B筐后，此时B筐重量比A筐多2332​ ，求A筐原来的重量。糖果盒场景迁移‌：两个糖果盒一共装有120颗奶糖，从第一个盒子取出1661​ 放到第二个盒子后，第二个盒子的糖果数比第一个盒子多1221​ ，求第一个盒子原来有多少颗奶糖？油桶双转移变式‌：甲乙两个油桶共装油48升，先从甲桶倒出1551​ 给乙桶，乙桶调整后比甲桶多1331​ ，求甲桶原来装油多少升？书架书本进阶题‌：上下两层书架共有140本书，从上层书架取出1771​ 放到下层书架后，下层的书本数比上层多1441​ ，求上层书架原来有多少本书？三筐苹果提升题‌：甲、乙、丙三筐苹果总重120千克，先从甲筐取出110101​ 放入乙筐，再从乙筐取出此时总重量的1881​ 放入丙筐，最终三筐苹果重量相等，求甲筐原来重多少千克？重量差前置变式‌：甲乙两筐水果总重85千克，从甲筐取出1881​ 放入乙筐后，乙筐比甲筐的3223​ 还多5千克，求甲筐原来的重量。反向分率设定题‌：两筐草莓总重62千克，把甲筐重量的1551​ 转移到乙筐后，甲筐剩余重量比乙筐少3773​ ，求甲筐原来重多少千克？带初始差的综合题‌：甲乙两筐苹果原本重量相差10千克，两筐总重70千克，从甲筐取出它的1441​ 放入乙筐后，乙筐比甲筐多2552​ ，求甲筐原来的重量。两次转移复杂题‌：A、B两筐蔬菜共重110千克，第一次从A筐取出1661​ 放入B筐，第二次又从B筐取出此时总重量的1551​ 放回A筐，最终A筐的重量比B筐多1441​ ，求A筐原来的重量。需要我为你提供这10道题的‌详细分步解题过程和最终答案‌吗？方便你直接对照批改讲解。,1.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,,,0.5296819,中考各科分数满分多少,2869,1146,,17,U13
