new strings 43,701 + anchors 1,000 = 44,701
  ds: 20/1789 batches, 500 labelled
  ds: 40/1789 batches, 1,000 labelled
  ds: 60/1789 batches, 1,500 labelled
  ds: 80/1789 batches, 2,000 labelled
  ds: 100/1789 batches, 2,500 labelled
  ds: 120/1789 batches, 3,000 labelled
  ds: 140/1789 batches, 3,500 labelled
  ds: 160/1789 batches, 4,000 labelled
  ds: 180/1789 batches, 4,500 labelled
  ds: 200/1789 batches, 5,000 labelled
  ds: 220/1789 batches, 5,500 labelled
  ds: 240/1789 batches, 6,000 labelled
  ds: 260/1789 batches, 6,500 labelled
  ds: 280/1789 batches, 7,000 labelled
  ds: 300/1789 batches, 7,500 labelled
  ds: 320/1789 batches, 8,000 labelled
  ds: 340/1789 batches, 8,500 labelled
  ds: 360/1789 batches, 9,000 labelled
  ds: 380/1789 batches, 9,500 labelled
  ds: 400/1789 batches, 10,000 labelled
  ds: 420/1789 batches, 10,500 labelled
  ds: 440/1789 batches, 11,000 labelled
  ds: 460/1789 batches, 11,500 labelled
  ds: 480/1789 batches, 12,000 labelled
  ds: 500/1789 batches, 12,500 labelled
  ds: 520/1789 batches, 13,000 labelled
  ds: 540/1789 batches, 13,500 labelled
  ds: 560/1789 batches, 14,000 labelled
  ds: 580/1789 batches, 14,500 labelled
  ds: 600/1789 batches, 15,000 labelled
  ds: 620/1789 batches, 15,500 labelled
  ds: 640/1789 batches, 16,000 labelled
  ds: 660/1789 batches, 16,500 labelled
  ds: 680/1789 batches, 17,000 labelled
  ds: 700/1789 batches, 17,500 labelled
  ds: 720/1789 batches, 18,000 labelled
  ds: 740/1789 batches, 18,500 labelled
  ds: 760/1789 batches, 19,000 labelled
  ds: 780/1789 batches, 19,500 labelled
  ds: 800/1789 batches, 20,000 labelled
  ds: 820/1789 batches, 20,500 labelled
  ds: 840/1789 batches, 21,000 labelled
  ds: 860/1789 batches, 21,500 labelled
  ds: 880/1789 batches, 22,000 labelled
  ds: 900/1789 batches, 22,500 labelled
  ds: 920/1789 batches, 23,000 labelled
  ds: 940/1789 batches, 23,500 labelled
  ds: 960/1789 batches, 24,000 labelled
  ds: 980/1789 batches, 24,500 labelled
  ds: 1000/1789 batches, 25,000 labelled
  ds: 1020/1789 batches, 25,500 labelled
  ds: 1040/1789 batches, 26,000 labelled
  ds: 1060/1789 batches, 26,500 labelled
  ds: 1080/1789 batches, 27,000 labelled
  ds: 1100/1789 batches, 27,500 labelled
  ds: 1120/1789 batches, 28,000 labelled
  ds: 1140/1789 batches, 28,500 labelled
  ds: 1160/1789 batches, 29,000 labelled
  ds: 1180/1789 batches, 29,500 labelled
  ds: 1200/1789 batches, 30,000 labelled
  ds: 1220/1789 batches, 30,500 labelled
  ds: 1240/1789 batches, 31,000 labelled
  ds: 1260/1789 batches, 31,500 labelled
  ds: 1280/1789 batches, 32,000 labelled
  ds: 1300/1789 batches, 32,500 labelled
  ds: 1320/1789 batches, 33,000 labelled
  ds: 1340/1789 batches, 33,500 labelled
  ds: 1360/1789 batches, 34,000 labelled
  ds: 1380/1789 batches, 34,500 labelled
  ds: 1400/1789 batches, 35,000 labelled
  ds: 1420/1789 batches, 35,500 labelled
  ds: 1440/1789 batches, 36,000 labelled
  ds: 1460/1789 batches, 36,500 labelled
  ds: 1480/1789 batches, 37,000 labelled
  ds: 1500/1789 batches, 37,500 labelled
  ds: 1520/1789 batches, 38,000 labelled
  ds: 1540/1789 batches, 38,500 labelled
  ds: 1560/1789 batches, 39,000 labelled
  ds: 1580/1789 batches, 39,500 labelled
  ds: 1600/1789 batches, 40,000 labelled
  ds: 1620/1789 batches, 40,500 labelled
  ds: 1640/1789 batches, 41,000 labelled
  ds: 1660/1789 batches, 41,500 labelled
  ds: 1680/1789 batches, 42,000 labelled
  ds: 1700/1789 batches, 42,500 labelled
  ds: 1720/1789 batches, 43,000 labelled
  ds: 1740/1789 batches, 43,500 labelled
  ds: 1760/1789 batches, 44,000 labelled
  ds: 1780/1789 batches, 44,500 labelled
  ds: 1789/1789 batches, 44,701 labelled
deepseek labelled 44,701/44,701 in 2071s
  qw: 20/175 batches, 500 labelled
  qw: 40/175 batches, 1,000 labelled
  qw: 60/175 batches, 1,500 labelled
  qw: 80/175 batches, 2,000 labelled
  qw: 100/175 batches, 2,500 labelled
  qw: 120/175 batches, 3,000 labelled
  qw: 140/175 batches, 3,500 labelled
  qw: 160/175 batches, 4,000 labelled
  qw: 175/175 batches, 4,370 labelled
qwen labelled 4,370/4,370 in 2741s
