query,pv,l2,u_ds,p_ds,own_intent,own_leaf,bucket
价格,24821.0,K12,U13,0,残缺或不可独立解释输入,查询价格费用,H 属性词短答(价格/年龄/地址…)
我,24102.0,K12,U13,0,残缺或不可独立解释输入,归集含“我”字杂项查询,N 其余1–2字碎片(疑似语音截断/未打完)
答案,19353.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
这是谁,13558.0,K12,U13,0,残缺或不可独立解释输入,人物身份查询,D 识图/指代识别(这是谁/这是什么字…)
你,11103.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
怎么读,10383.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
这个,10162.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,M 指代词单独(这个/那个/这/那/他)
拼音,9099.0,K12,U01,0,残缺或不可独立解释输入,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
怎么写,7938.0,K12,U13,0,生成或改写文本,操作与制作方法查询,E 字词/诗文工具短指令(无对象)
换,6455.0,K12,U11,0,残缺或不可独立解释输入,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
组词,5829.0,K12,U01,0,生成或改写文本,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
一,5134.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
有,4597.0,K12,U11,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
批注,4007.0,K12,U02,0,残缺或不可独立解释输入,整理生成表格与总结,N 其余1–2字碎片(疑似语音截断/未打完)
怎么读？,3958.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
那个,3838.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,M 指代词单独(这个/那个/这/那/他)
简写,3733.0,K12,U02,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
解答,3711.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
怎么写？,3605.0,K12,U13,0,生成或改写文本,操作与制作方法查询,E 字词/诗文工具短指令(无对象)
简化,3604.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
缩短,3549.0,K12,U02,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
人生感悟的句子,3461.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
不要,3420.0,K12,U13,0,无内容社交与情绪表达轮,检索极短通用词,L 是非/拒绝/情绪回应
读音,3389.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
不知道,3208.0,K12,U13,0,无内容社交与情绪表达轮,确认性问题解答,L 是非/拒绝/情绪回应
脱式计算,3189.0,K12,U02,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
简洁,3134.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
简单,3026.0,K12,U13,0,残缺或不可独立解释输入,文本缩短请求,I 改写/缩短/重做指令碎片
作文,2984.0,K12,U02,0,生成或改写文本,生成与修改作文类文本,N 其余1–2字碎片(疑似语音截断/未打完)
妈妈,2979.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
为什么？,2874.0,K12,U13,0,无内容社交与情绪表达轮,确认性问题解答,L 是非/拒绝/情绪回应
不,2851.0,K12,U13,0,无内容社交与情绪表达轮,确认性问题解答,L 是非/拒绝/情绪回应
裸,2787.0,K12,U13,0,索取或生成成人、色情或暴力内容,查询双腿张开姿势,J 图像编辑/绘图指令碎片
竖式计算,2667.0,K12,U02,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
不行,2568.0,K12,U13,0,无内容社交与情绪表达轮,确认性问题解答,L 是非/拒绝/情绪回应
涂色,2541.0,K12,U01,0,工具面板单步操作指令,按描述生成图片与Logo设计,J 图像编辑/绘图指令碎片
读后感,2525.0,K12,U02,0,生成或改写文本,生成与修改作文类文本,O 其他
上色,2415.0,K12,U13,0,工具面板单步操作指令,图片视频修改生成,J 图像编辑/绘图指令碎片
那,2346.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,M 指代词单独(这个/那个/这/那/他)
