surface,tier,rows,row_share,pv,pv_share,N,PV
search_top1000,S5_headline,2,0.001996007984031936,3590,0.000857134739432233,1002,4188373
search_top1000,user,1000,0.998003992015968,4184783,0.9991428652605677,1002,4188373
search_top10k,S5_headline,18,0.0018,10639,0.001364891811252102,10000,7794757
search_top10k,user,9982,0.9982,7784118,0.9986351081887479,10000,7794757
assistant_top1k,C1_content_free,2,0.002,2177,0.006007754612062423,1000,362365
assistant_top1k,S1_system_repeated,30,0.03,93579,0.2582451395692189,1000,362365
assistant_top1k,S2_system_template,4,0.004,5200,0.014350171788114194,1000,362365
assistant_top1k,S3_card_passage,60,0.06,15837,0.043704552040070094,1000,362365
assistant_top1k,S5_headline,15,0.015,4328,0.011943758365184276,1000,362365
assistant_top1k,user,889,0.889,241244,0.6657486236253501,1000,362365
assistant_random1k,S3_card_passage,21,0.021,67,0.05161787365177196,1000,1298
assistant_random1k,S4_suggested_chip,29,0.029,29,0.02234206471494607,1000,1298
assistant_random1k,user,950,0.95,1202,0.926040061633282,1000,1298
