view,pair,code,name,p1,p2,diff,lo,hi,sig
all,search_top1000→assistant_top1k,U01,导航直达,0.025,0.0011248593925759281,-0.023875140607424072,-0.03555746162805532,-0.014314775942330034,True
all,search_top1000→assistant_top1k,U02,裸实体,0.541,0.5793025871766029,0.03830258717660284,-0.006548358367484207,0.0828756225899474,False
all,search_top1000→assistant_top1k,U03,事实与数值,0.038,0.048368953880764905,0.010368953880764906,-0.008038242632214879,0.02946538616661056,False
all,search_top1000→assistant_top1k,U04,解释与介绍,0.345,0.09786276715410573,-0.24713723284589423,-0.28204455626371594,-0.21130211495013673,True
all,search_top1000→assistant_top1k,U05,核实与动态,0.002,0.11023622047244094,0.10823622047244094,0.0885838654419929,0.1305719996090732,True
all,search_top1000→assistant_top1k,U06,办事与操作,0.0,0.0,0.0,-0.003826898586390522,0.004302666900825409,False
all,search_top1000→assistant_top1k,U07,个案判断与建议,0.0,0.0011248593925759281,0.0011248593925759281,-0.002812542270319081,0.006344118096092205,False
all,search_top1000→assistant_top1k,U08,清单与推荐,0.023,0.02249718785151856,-0.0005028121484814407,-0.01426414874032318,0.013712243050338392,False
all,search_top1000→assistant_top1k,U09,获取现成内容,0.01,0.021372328458942633,0.011372328458942633,7.884055336168823e-05,0.02399153379841351,True
all,search_top1000→assistant_top1k,U10,生成与编辑,0.0,0.0,0.0,-0.003826898586390522,0.004302666900825409,False
all,search_top1000→assistant_top1k,U11,会话与系统指令,0.0,0.0044994375703037125,0.0044994375703037125,-0.0002121128582911599,0.011511758400524937,False
all,search_top1000→assistant_top1k,U12,违规或灰色内容,0.006,0.015748031496062992,0.009748031496062992,0.00027963486615115857,0.02074987534359688,True
all,search_top1000→assistant_top1k,U13,无法判定,0.01,0.09786276715410573,0.08786276715410574,0.0681856061201891,0.1096423405634436,True
all,assistant_top1k→assistant_random1k,U01,导航直达,0.0011248593925759281,0.002105263157894737,0.0009804037653188087,-0.004457856047794555,0.006595619731056392,False
all,assistant_top1k→assistant_random1k,U02,裸实体,0.5793025871766029,0.11368421052631579,-0.4656183766502871,-0.5026929151371775,-0.4263186803233203,True
all,assistant_top1k→assistant_random1k,U03,事实与数值,0.048368953880764905,0.2094736842105263,0.16110473032976141,0.13160918774638336,0.19077890400557634,True
all,assistant_top1k→assistant_random1k,U04,解释与介绍,0.09786276715410573,0.15368421052631578,0.05582144337221005,0.0255340335286418,0.08598490834550053,True
all,assistant_top1k→assistant_random1k,U05,核实与动态,0.11023622047244094,0.1631578947368421,0.05292167426440117,0.021510948964874148,0.08416002568249172,True
all,assistant_top1k→assistant_random1k,U06,办事与操作,0.0,0.0010526315789473684,0.0010526315789473684,-0.0033364775864743127,0.005938452589884022,False
all,assistant_top1k→assistant_random1k,U07,个案判断与建议,0.0011248593925759281,0.021052631578947368,0.01992777218637144,0.010885678264120858,0.031207477312757317,True
all,assistant_top1k→assistant_random1k,U08,清单与推荐,0.02249718785151856,0.15052631578947367,0.12802912793795512,0.10355749085314464,0.15342926342216512,True
all,assistant_top1k→assistant_random1k,U09,获取现成内容,0.021372328458942633,0.03368421052631579,0.012311882067373155,-0.0029532278901426533,0.02781097239418874,False
all,assistant_top1k→assistant_random1k,U10,生成与编辑,0.0,0.009473684210526316,0.009473684210526316,0.0032609017858867776,0.017906586554107352,True
all,assistant_top1k→assistant_random1k,U11,会话与系统指令,0.0044994375703037125,0.009473684210526316,0.004974246640222604,-0.0033479145227449762,0.013843710918692262,False
all,assistant_top1k→assistant_random1k,U12,违规或灰色内容,0.015748031496062992,0.04,0.02425196850393701,0.009237710194336014,0.040011461930464565,True
all,assistant_top1k→assistant_random1k,U13,无法判定,0.09786276715410573,0.09263157894736843,-0.0052311882067373056,-0.032376154800681345,0.021650996382431564,False
interpretable,search_top1000→assistant_top1k,U01,导航直达,0.025252525252525252,0.0012468827930174563,-0.024005642459507797,-0.03581088340758197,-0.014061526141174178,True
interpretable,search_top1000→assistant_top1k,U02,裸实体,0.5464646464646464,0.64214463840399,0.09567999193934362,0.04998303117246907,0.14063238081909096,True
interpretable,search_top1000→assistant_top1k,U03,事实与数值,0.03838383838383838,0.05361596009975062,0.01523212171591224,-0.004165852570275047,0.035816154048127394,False
interpretable,search_top1000→assistant_top1k,U04,解释与介绍,0.3484848484848485,0.1084788029925187,-0.2400060454923298,-0.27606931931225714,-0.20269578952907197,True
interpretable,search_top1000→assistant_top1k,U05,核实与动态,0.00202020202020202,0.12219451371571072,0.1201743116955087,0.0986249278894471,0.14470374134000058,True
interpretable,search_top1000→assistant_top1k,U06,办事与操作,0.0,0.0,0.0,-0.0038654047083559384,0.0047671899787749845,False
interpretable,search_top1000→assistant_top1k,U07,个案判断与建议,0.0,0.0012468827930174563,0.0012468827930174563,-0.0027525630795335065,0.007028933624169316,False
interpretable,search_top1000→assistant_top1k,U08,清单与推荐,0.023232323232323233,0.02493765586034913,0.0017053326280258956,-0.012648516328204322,0.017045985936335703,False
interpretable,search_top1000→assistant_top1k,U09,获取现成内容,0.010101010101010102,0.02369077306733167,0.013589762966321568,0.0016641050509305436,0.02739453787632402,True
interpretable,search_top1000→assistant_top1k,U10,生成与编辑,0.0,0.0,0.0,-0.0038654047083559384,0.0047671899787749845,False
interpretable,search_top1000→assistant_top1k,U11,会话与系统指令,0.0,0.004987531172069825,0.004987531172069825,6.598604047378543e-05,0.01275351888867688,True
interpretable,search_top1000→assistant_top1k,U12,违规或灰色内容,0.006060606060606061,0.017456359102244388,0.011395753041638326,0.0014051067462229876,0.023480242848662694,True
interpretable,assistant_top1k→assistant_random1k,U01,导航直达,0.0012468827930174563,0.002320185614849188,0.0010733028218317315,-0.0049488996375534385,0.007259051361938556,False
interpretable,assistant_top1k→assistant_random1k,U02,裸实体,0.64214463840399,0.12529002320185614,-0.5168546152021339,-0.555192218481507,-0.4755440738144129,True
interpretable,assistant_top1k→assistant_random1k,U03,事实与数值,0.05361596009975062,0.2308584686774942,0.1772425085777436,0.14497279058902923,0.20952106036671453,True
interpretable,assistant_top1k→assistant_random1k,U04,解释与介绍,0.1084788029925187,0.16937354988399073,0.06089474689147202,0.02767514483084993,0.09390209186296267,True
interpretable,assistant_top1k→assistant_random1k,U05,核实与动态,0.12219451371571072,0.17981438515081208,0.05761987143510136,0.023194024464538276,0.09178558346751081,True
interpretable,assistant_top1k→assistant_random1k,U06,办事与操作,0.0,0.001160092807424594,0.001160092807424594,-0.0037018684763810783,0.0065419216210456654,False
