own_intent,k,surface,n
查询院校实体信息（裸校名）,718,search_top1000,1000
进入政府或公共教育服务平台,74,search_top1000,1000
其他或意图不可辨,35,search_top1000,1000
猜解生肖谜语谜底,30,search_top1000,1000
查询汉字或字词读音与拼音,24,search_top1000,1000
查询词语、成语或概念含义,23,search_top1000,1000
获取古诗文全篇原文,21,search_top1000,1000
查询考试成绩与位次,13,search_top1000,1000
翻译词句或启动翻译工具,10,search_top1000,1000
访问院校官网或校内办事系统,10,search_top1000,1000
志愿填报与升学报考决策咨询,9,search_top1000,1000
咨询专业内容与就业前景,9,search_top1000,1000
查询录取分数线,7,search_top1000,1000
获取教材与学习辅助材料,6,search_top1000,1000
查询升学与考试时间节点,6,search_top1000,1000
查询汉字书写与词语运用,3,search_top1000,1000
办理学历证书或官方报名事务,2,search_top1000,1000
残缺或不可独立解释输入,345,assistant_top1k,859
生成或改写文本,136,assistant_top1k,859
修改上一轮输出,107,assistant_top1k,859
解释含义或识别指称,103,assistant_top1k,859
无内容社交与情绪表达轮,36,assistant_top1k,859
枚举清单或建议推荐,23,assistant_top1k,859
按线索查找或获取影音书资源,21,assistant_top1k,859
命理解梦与占卜,19,assistant_top1k,859
价格或费用查询,14,assistant_top1k,859
通用操作与生活指南,12,assistant_top1k,859
工具面板单步操作指令,9,assistant_top1k,859
前往官方入口或话题聚合页,9,assistant_top1k,859
生成或编辑非敏感图像,7,assistant_top1k,859
索取或生成成人、色情或暴力内容,6,assistant_top1k,859
数值事实与年度政策查询,5,assistant_top1k,859
核验真伪、传闻与进展,4,assistant_top1k,859
核查人物或机构背景,3,assistant_top1k,859
解释含义或识别指称,215,assistant_random1k,970
生成或改写文本,179,assistant_random1k,970
通用操作与生活指南,87,assistant_random1k,970
枚举清单或建议推荐,86,assistant_random1k,970
修改上一轮输出,68,assistant_random1k,970
数值事实与年度政策查询,61,assistant_random1k,970
残缺或不可独立解释输入,54,assistant_random1k,970
按线索查找或获取影音书资源,39,assistant_random1k,970
核验真伪、传闻与进展,37,assistant_random1k,970
核查人物或机构背景,29,assistant_random1k,970
生成或编辑非敏感图像,27,assistant_random1k,970
无内容社交与情绪表达轮,21,assistant_random1k,970
虚构续写与角色扮演,19,assistant_random1k,970
命理解梦与占卜,13,assistant_random1k,970
价格或费用查询,10,assistant_random1k,970
索取或生成成人、色情或暴力内容,8,assistant_random1k,970
法律咨询与案件结果预测,7,assistant_random1k,970
前往官方入口或话题聚合页,5,assistant_random1k,970
投资理财与创业加盟建议,3,assistant_random1k,970
工具面板单步操作指令,1,assistant_random1k,970
医疗咨询与用药剂量,1,assistant_random1k,970
