group,search_query,search_rank,search_pv,search_u,assistant_query,assistant_surface,assistant_pv,assistant_u,cos
取现成内容→让助手生成,拼豆图纸,15,19711,U09,帮我画 拼豆图纸,assistant_top1k,1789.0,U10,0.874
取现成内容→让助手生成,防溺水手抄报,3523,983,,帮我画 防溺水手抄报,assistant_top1k,311.0,U10,0.847
取现成内容→让助手生成,作文,1424,2064,,帮我写一篇作文,assistant_top1k,924.0,U10,0.666
取现成内容→让助手生成,暑假,3783,940,,关于暑假的作文600字,assistant_random1k,6.0,U10,0.677
工具名→带方向的指令,翻译,3,46513,U01,翻译成中文,assistant_top1k,7357.0,U11,0.765
工具名→带方向的指令,拼音,2876,1143,,加拼音,assistant_top1k,863.0,U01,0.83
工具名→带方向的指令,簟字怎么读,6191,668,U03,这个字怎么读,assistant_top1k,839.0,U03,0.762
裸校名→加专业/地区约束,山西财经大学,387,5822,U02,山西财经大学财政学专业就业前景如何,assistant_random1k,1.0,U04,0.756
裸校名→加专业/地区约束,成都理工大学,52,14626,U02,成都理工大学在湖北的录取分数大概是多少,assistant_random1k,1.0,U03,0.684
裸校名→加专业/地区约束,上海大学,133,10609,U02,上海大学哪个专业最受欢迎,assistant_random1k,5.0,U08,0.638
裸校名→加专业/地区约束,太原理工大学,30,17096,U02,太原理工大学安全工程怎么样,assistant_random1k,1.0,U07,0.674
加入自身处境求判断,高考,6,33737,U02,平时400多分，高考能上本科吗,assistant_random1k,1.0,U07,0.549
加入自身处境求判断,专升本,5083,766,,专科期间考过六级对专升本有帮助吗,assistant_random1k,1.0,U07,0.687
加入自身处境求判断,研究生报考条件与要求2026,6901,618,,考研2026年340分，能报什么学校2027材料科学与工程985,assistant_random1k,1.0,U07,0.671
概念→具体情境对比,学硕和专硕的区别,3741,946,U04,体育专业考研，学硕和专硕的区别,assistant_random1k,1.0,U04,0.794
概念→具体情境对比,单招是什么意思啊,2656,1218,U04,单招和高考的区别是什么,assistant_top1k,1781.0,U04,0.732
概念→具体情境对比,高考志愿填报,48,14937,U06,高考平行志愿怎么填,assistant_top1k,368.0,U06,0.736
要谜底→要助手再出题,斗方名士打一肖,1,72728,U09,能再给我几个类似的生肖谜语吗,assistant_top1k,938.0,U11,0.35
写出字→口述字形,三点水的字,4875,787,U08,三点水加个卒字念什么,assistant_random1k,1.0,U03,0.701
价目查询→指名机构,糕点培训班学费价目表,2906,1133,U03,新东方西点学费价目表,assistant_top1k,1744.0,U03,0.796
