marker,surface,n,k,share,lo,hi,pv_share
播放页/资源词,search_top1000,1000,374,0.374,0.34454556765087635,0.40441881079289416,0.36577718587726954
播放页/资源词,search_top10k,9999,3856,0.3856385638563856,0.376143521096784,0.3952214478336446,0.3766948791451039
播放页/资源词,assistant_top1k,955,177,0.18534031413612564,0.1619732081025878,0.21122878897388442,0.19354743892626328
播放页/资源词,assistant_random1k,982,53,0.0539714867617108,0.04149743369434945,0.06992168272354161,
网盘/下载词,search_top1000,1000,34,0.034,0.024431201022401962,0.04713546846011402,0.03065596252876227
网盘/下载词,search_top10k,9999,325,0.032503250325032505,0.029202936229469737,0.03616264948569345,0.031897450874880225
网盘/下载词,assistant_top1k,955,16,0.016753926701570682,0.01033848935322463,0.02704161597387006,0.020961086963710313
网盘/下载词,assistant_random1k,982,10,0.010183299389002037,0.00554058724272869,0.018643419599749855,
电视频道/直播,search_top1000,1000,91,0.091,0.07470443222228819,0.11042597082137927,0.20264275842867155
电视频道/直播,search_top10k,9999,414,0.041404140414041404,0.037672076188353755,0.04548845291569604,0.12759588475225897
电视频道/直播,assistant_top1k,955,10,0.010471204188481676,0.005697497559229333,0.019167506211987935,0.008399131428403466
电视频道/直播,assistant_random1k,982,15,0.015274949083503055,0.009278281849007005,0.02504934238596137,
平台/站点名,search_top1000,1000,57,0.057,0.04425323441955428,0.07313739772798773,0.05199096054556271
平台/站点名,search_top10k,9999,376,0.037603760376037604,0.03404902193211012,0.04151366617443752,0.04445371746579795
平台/站点名,assistant_top1k,955,47,0.049214659685863874,0.037209996338030585,0.06483146702776414,0.0453134242810586
平台/站点名,assistant_random1k,982,41,0.04175152749490835,0.030924047250899814,0.05615038742501566,
指定集数/季,search_top1000,1000,80,0.08,0.06474778552394919,0.09846680928861887,0.05834454160482476
指定集数/季,search_top10k,9999,993,0.09930993099309932,0.09360070637899776,0.10532692634488744,0.07636109038461923
指定集数/季,assistant_top1k,955,35,0.03664921465968586,0.026468188197678613,0.05054307205636126,0.02665603609495501
指定集数/季,assistant_random1k,982,62,0.06313645621181263,0.04956160731101024,0.08011602041336253,
识别作品/人物,search_top1000,1000,0,0.0,0.0,0.003826898586390522,0.0
识别作品/人物,search_top10k,9999,11,0.0011001100110011,0.0006144057083986966,0.00196902018529935,0.00040512345543181896
识别作品/人物,assistant_top1k,955,34,0.0356020942408377,0.02558737644840076,0.04933803354632621,0.07023893067226118
识别作品/人物,assistant_random1k,982,19,0.019348268839103868,0.012420968868157991,0.03002154928080224,
