surface,theme,n_low,k_low,share_low,lo_low,hi_low,n_all,share_all,lo_all,hi_all,n_high,k_high,share_high,pv_share_all,adult_in_theme
assistant_top1k,T0 其他,423,7,0.016548463356973995,0.00803858847709671,0.03376052388683408,955,0.007329842931937173,0.0035549888097028033,0.015052464183575753,378,0,0.0,0.003567610068670064,7
assistant_top1k,T1 生成/编辑视频图像,423,37,0.08747044917257683,0.06412471202511791,0.11824176771818731,955,0.0387434554973822,0.0282372537379331,0.05294570703473258,378,0,0.0,0.032163603028978104,17
assistant_top1k,T2 假设·对战·同人设定·续写,423,5,0.01182033096926714,0.005059143112561308,0.027368811426077846,955,0.005235602094240838,0.002238314769432626,0.01219743770522012,378,0,0.0,0.0027519463866466304,0
assistant_top1k,T3 识别作品/画面/人物,423,36,0.0851063829787234,0.06210624931451718,0.11557465151614223,955,0.03769633507853403,0.02735151309418176,0.051745597419171015,378,1,0.0026455026455026454,0.06292735081988897,0
assistant_top1k,T4 剧情·人物·因果讨论与评判,423,101,0.23877068557919623,0.2006079194988844,0.28163561065375303,955,0.10575916230366492,0.08780906004921185,0.12686831731947967,378,17,0.04497354497354497,0.08815781255166788,1
assistant_top1k,T5 平台账号与创作者操作,423,0,0.0,0.0,0.00900005997541008,955,0.0,0.0,0.004006501178088226,378,0,0.0,0.0,0
assistant_top1k,T6 求'视频'形态的非片源内容(教程/片段/台词/歌),423,30,0.07092198581560284,0.05012716457428634,0.0994402627804982,955,0.031413612565445025,0.02209146875311481,0.04449054020436054,378,20,0.05291005291005291,0.0282065319229455,3
assistant_top1k,T7 找片·片单·事实(与搜索同类但措辞远),423,158,0.3735224586288416,0.32875498386761065,0.4205665443058381,955,0.16544502617801046,0.14322727655090628,0.19034356559862076,378,321,0.8492063492063492,0.14876676795103078,2
assistant_top1k,T8 会话·情绪·对助手说话,423,8,0.018912529550827423,0.009613624782057219,0.03687106649451938,955,0.008376963350785341,0.00425068286276299,0.016442620389828473,378,4,0.010582010582010581,0.00556635350570046,0
assistant_top1k,T9 无法判定碎片/贴文,423,41,0.09692671394799054,0.07225329040788755,0.12885550498600096,955,0.04293193717277487,0.0318026360516363,0.057723725758281,378,15,0.03968253968253968,0.03284699692472747,3
assistant_random1k,T0 其他,869,6,0.006904487917146145,0.0031680749201090964,0.014981380834520379,982,0.006109979633401222,0.002803139813771109,0.013265973114715578,42,0,0.0,,6
assistant_random1k,T1 生成/编辑视频图像,869,41,0.047180667433831994,0.034966991291058624,0.06338029188151242,982,0.04175152749490835,0.030924047250899814,0.05615038742501566,42,0,0.0,,8
assistant_random1k,T2 假设·对战·同人设定·续写,869,93,0.10701956271576525,0.08816753545867388,0.1293308055919818,982,0.09470468431771895,0.07793772478699322,0.11463033077081648,42,0,0.0,,4
assistant_random1k,T3 识别作品/画面/人物,869,28,0.03222094361334868,0.022385137409662456,0.04617438129338744,982,0.028513238289205704,0.01979982372081794,0.04090120573462399,42,0,0.0,,0
assistant_random1k,T4 剧情·人物·因果讨论与评判,869,218,0.2508630609896433,0.22317878461735394,0.2807403686402359,982,0.2219959266802444,0.19711389064623688,0.2490445997238185,42,3,0.07142857142857142,,8
assistant_random1k,T5 平台账号与创作者操作,869,23,0.026467203682393557,0.017700100805953627,0.039402585408818906,982,0.023421588594704685,0.01565686516087797,0.03490054690207413,42,1,0.023809523809523808,,1
assistant_random1k,T6 求'视频'形态的非片源内容(教程/片段/台词/歌),869,77,0.08860759493670886,0.07147866109112774,0.10935781599704036,982,0.07841140529531568,0.06319329198553288,0.09691518791630936,42,1,0.023809523809523808,,2
assistant_random1k,T7 找片·片单·事实(与搜索同类但措辞远),869,238,0.27387802071346373,0.24527149606733717,0.30447498714336213,982,0.24236252545824846,0.21659812861860636,0.27013483132140825,42,36,0.8571428571428571,,5
assistant_random1k,T8 会话·情绪·对助手说话,869,24,0.02761795166858458,0.018628187927791823,0.040765864784636174,982,0.024439918533604887,0.016477601694398457,0.03610853384705161,42,0,0.0,,1
assistant_random1k,T9 无法判定碎片/贴文,869,121,0.13924050632911392,0.11780607079134987,0.16385053219365908,982,0.12321792260692464,0.10411567964629884,0.14525663330945385,42,1,0.023809523809523808,,4
