surface,own_intent,k,n,share
search_top1000,查询药/材/食物/保健品功效与主治,509,1000,0.509
search_top1000,查询疾病或状态有哪些症状表现,100,1000,0.1
search_top1000,解释症状或身体异常的原因,99,1000,0.099
search_top1000,求速效根治或特效方案,56,1000,0.056
search_top1000,判读个人检测数值或检查结论,42,1000,0.042
search_top1000,裸词或缺少动作的健康实体查询,36,1000,0.036
search_top1000,查询指标或生理参数正常范围,20,1000,0.02
search_top1000,解释医学术语或检查项目含义,19,1000,0.019
search_top1000,求症状/皮损图片进行自我比对或自测,18,1000,0.018
search_top1000,查询禁忌、副作用与危害,17,1000,0.017
search_top1000,寻求疾病的常规治疗方法,14,1000,0.014
search_top1000,判断食物能否吃、属凉属热及食用影响,13,1000,0.013
search_top1000,非健康领域的离域查询,10,1000,0.01
search_top1000,获取可自行操作的中医/康复操作步骤,10,1000,0.01
search_top10k,查询药/材/食物/保健品功效与主治,3232,9998,0.3232646529305861
search_top10k,裸词或缺少动作的健康实体查询,1065,9998,0.10652130426085217
search_top10k,解释症状或身体异常的原因,1054,9998,0.10542108421684337
search_top10k,求速效根治或特效方案,631,9998,0.0631126225245049
search_top10k,查询疾病或状态有哪些症状表现,629,9998,0.06291258251650331
search_top10k,查询禁忌、副作用与危害,336,9998,0.033606721344268856
search_top10k,判读个人检测数值或检查结论,335,9998,0.03350670134026806
search_top10k,核实健康声称或传言是否属实,316,9998,0.03160632126425285
search_top10k,解释医学术语或检查项目含义,314,9998,0.03140628125625125
search_top10k,获取可自行操作的中医/康复操作步骤,256,9998,0.02560512102420484
search_top10k,寻求疾病的常规治疗方法,250,9998,0.02500500100020004
search_top10k,求症状/皮损图片进行自我比对或自测,218,9998,0.021804360872174435
search_top10k,查询检查/手术/就诊的费用、准备与恢复安排,209,9998,0.020904180836167234
search_top10k,判断食物能否吃、属凉属热及食用影响,204,9998,0.020404080816163232
assistant_top1k,医疗咨询与用药剂量,395,958,0.4123173277661795
assistant_top1k,解释含义或识别指称,229,958,0.23903966597077245
assistant_top1k,残缺或不可独立解释输入,146,958,0.1524008350730689
assistant_top1k,索取或生成成人、色情或暴力内容,44,958,0.04592901878914405
assistant_top1k,枚举清单或建议推荐,37,958,0.038622129436325675
assistant_top1k,通用操作与生活指南,24,958,0.025052192066805846
assistant_top1k,价格或费用查询,19,958,0.019832985386221295
assistant_top1k,前往官方入口或话题聚合页,13,958,0.013569937369519834
assistant_top1k,数值事实与年度政策查询,11,958,0.011482254697286013
assistant_top1k,按线索查找或获取影音书资源,10,958,0.010438413361169102
assistant_top1k,核查人物或机构背景,9,958,0.009394572025052192
assistant_top1k,核验真伪、传闻与进展,9,958,0.009394572025052192
assistant_top1k,无内容社交与情绪表达轮,7,958,0.007306889352818371
assistant_top1k,修改上一轮输出,2,958,0.0020876826722338203
assistant_random1k,医疗咨询与用药剂量,584,998,0.5851703406813628
assistant_random1k,解释含义或识别指称,125,998,0.125250501002004
assistant_random1k,枚举清单或建议推荐,59,998,0.05911823647294589
assistant_random1k,核验真伪、传闻与进展,51,998,0.05110220440881764
assistant_random1k,无内容社交与情绪表达轮,37,998,0.03707414829659319
assistant_random1k,残缺或不可独立解释输入,32,998,0.03206412825651302
assistant_random1k,通用操作与生活指南,29,998,0.02905811623246493
assistant_random1k,价格或费用查询,23,998,0.023046092184368736
assistant_random1k,核查人物或机构背景,18,998,0.018036072144288578
assistant_random1k,数值事实与年度政策查询,17,998,0.017034068136272545
assistant_random1k,索取或生成成人、色情或暴力内容,11,998,0.011022044088176353
assistant_random1k,修改上一轮输出,4,998,0.004008016032064128
assistant_random1k,生成或编辑非敏感图像,3,998,0.003006012024048096
assistant_random1k,虚构续写与角色扮演,2,998,0.002004008016032064
