surface,tier,n,row_pct,pv,pv_pct
assistant_random1k,S3_card_passage,1,0.1,1.0,0.08123476848090982
assistant_random1k,S4_suggested_chip,29,2.9000000000000004,31.0,2.518277822908205
assistant_random1k,user,970,97.0,1199.0,97.40048740861089
assistant_random1k,ALL,1000,100.0,1231.0,100.0
assistant_top1k,C1_content_free,37,3.6999999999999997,194558.0,9.340421936390765
assistant_top1k,S1_system_repeated,46,4.6,872611.0,41.89267429936513
assistant_top1k,S2_system_template,16,1.6,112802.0,5.415445652549631
assistant_top1k,S4_suggested_chip,40,4.0,23089.0,1.1084663806645132
assistant_top1k,S5_headline,2,0.2,1131.0,0.054297521613390125
assistant_top1k,user,859,85.9,878777.0,42.18869420941656
assistant_top1k,ALL,1000,100.0,2082968.0,100.0
search_top1000,C1_content_free,1,0.0999000999000999,3066.0,0.046158355678584284
search_top1000,user,1000,99.9000999000999,6639285.0,99.95384164432141
search_top1000,ALL,1001,100.0,6642351.0,100.0
