marker,top1000_k,top1000_n,top10k_k,top10k_n,deep_k,deep_n
"裸校名(以大学/学院/学校/中学/小学结尾,≤16字,无问词)",712,1000,2095,9981,1383,8981
读音/拼音,22,1000,1374,9981,1352,8981
笔顺/笔画/部首,1,1000,251,9981,250,8981
组词/造句/近反义,0,1000,174,9981,174,8981
分数线/录取/位次,11,1000,257,9981,246,8981
成绩查询/查分,11,1000,105,9981,94,8981
官网/入口/登录,48,1000,408,9981,360,8981
生肖谜语,29,1000,252,9981,223,8981
翻译/英文,10,1000,121,9981,111,8981
古诗/原文,5,1000,125,9981,120,8981
意思/含义,23,1000,412,9981,389,8981
作文/读后感,0,1000,17,9981,17,8981
排名/985/211,6,1000,173,9981,167,8981
志愿/专业/就业,10,1000,238,9981,228,8981
考试(高考/中考/考研/四六级/普通话/教资),36,1000,407,9981,371,8981
学费/招生,16,1000,124,9981,108,8981
怎么/如何(疑问),22,1000,977,9981,955,8981
