#### HOW ASSISTANT HEAD (top1k) TRAFFIC ARRIVES — rows% / PV% by tier
  金融   user 95.3%/57.4% | S1 4.5%/41.1% | S2 0.2%/1.5% | S3 0.0%/0.0% | C1 0.0%/0.0% | C2 0.0%/0.0%
  医疗   user 95.9%/60.7% | S1 2.5%/7.5% | S2 1.5%/31.7% | S3 0.0%/0.0% | C1 0.1%/0.1% | C2 0.0%/0.0%
  教育   user 90.3%/44.2% | S1 4.6%/41.9% | S2 1.7%/5.7% | S3 0.0%/0.0% | C1 3.4%/8.2% | C2 0.0%/0.0%
  影视   user 95.4%/21.2% | S1 2.9%/23.2% | S2 1.0%/51.3% | S3 0.4%/0.1% | C1 0.3%/4.3% | C2 0.0%/0.0%
  人物   user 90.4%/67.2% | S1 3.0%/25.8% | S2 0.5%/2.1% | S3 6.0%/4.4% | C1 0.1%/0.5% | C2 0.0%/0.0%
  5域  user 93.5%/42.0% | S1 3.5%/31.8% | S2 1.0%/20.7% | S3 1.3%/0.4% | C1 0.8%/5.1% | C2 0.0%/0.0%
  全33 user 93.3%/24.2% | S1 3.3%/36.6% | S2 0.7%/37.2% | S3 0.3%/0.1% | C1 1.0%/1.9% | C2 1.4%/0.0%
  random1k 全33 user 98.5%/96.0% | S1 0.0%/0.0% | S2 0.0%/0.0% | S3 0.1%/0.2% | C1 0.1%/1.9% | C2 1.2%/1.8%

#### VOICE-INPUT & RUN-ON SIGNALS (user tier, row share %)
  唤醒词(小度/你好小度): 搜索top1000(5域) 0.00% | 助手top1k(5域) 0.00% | 助手random1k(5域) 0.02% | 助手random1k(全33) 0.05%
  喂: 搜索top1000(5域) 0.00% | 助手top1k(5域) 0.00% | 助手random1k(5域) 0.00% | 助手random1k(全33) 0.02%
  口语填充(那个那个/就是就是/然后然后): 搜索top1000(5域) 0.00% | 助手top1k(5域) 0.00% | 助手random1k(5域) 0.04% | 助手random1k(全33) 0.06%
  长句无标点(>20字): 搜索top1000(5域) 0.34% | 助手top1k(5域) 0.32% | 助手random1k(5域) 2.86% | 助手random1k(全33) 3.06%
  重复词(同一2字词连说): 搜索top1000(5域) 0.24% | 助手top1k(5域) 0.32% | 助手random1k(5域) 1.69% | 助手random1k(全33) 2.09%
   run-on examples (assistant random1k): 宁德市迪科能源有限公司涉嫌虚开增值税专用发票走逃（失联） | 赵文静医生是否在广州医科大学附属口腔医院工作 | 盐酸米诺环素和复方珍珠暗疮胶囊和盐酸伐昔洛韦胶囊能一起吃吗 | 假设他是被日军俘虏折磨的日裔美军舰长（被美军救回后会怎么样救治） | 就算是兽神帝天带领星斗大森林的核心战力也很难 | 刑事诉讼法没有规定取保候审需要见证人必须到场 | 之前出院的全部材料不见了．我是2023年7月住院做手术的现在要拿这些材料 | 能提供6SL3210-1KE21-7UF1的详细管脚图吗

#### ASSISTANT / BRAND MENTIONS (rows, user tier)
  百度: 搜索top1000(5域) 105 | 助手top1k(5域) 40 | 助手random1k(5域) 8 | 助手random1k(全33) 117  e.g. 百度网盘重装后如何继续之前的下载 / 百度热搜武汉科技大学 / 百度贴吧原神内鬼吧同人创作玩家脑洞想象玩家制作同人文原创设定 / 张家界新娘吴敏mv高清百度云
  文心/文心一言: 搜索top1000(5域) 0 | 助手top1k(5域) 0 | 助手random1k(5域) 2 | 助手random1k(全33) 36  e.g. 没有用的文心助手 / 文心平台的对话内容转发到微信“文件传输助手” / 文心，百度官方给我的作品配的音乐都不符，自己搜音乐也搜不到， / 就关于文心你问的那个“需要我为你梳理这五集里李少白的心境转变
  小度: 搜索top1000(5域) 0 | 助手top1k(5域) 0 | 助手random1k(5域) 1 | 助手random1k(全33) 16  e.g. 小度小度，山东的这个青岛到这个韩国有多远呢？直线距离 / 小度小度，听到了，我听到了 / 小度小度。浙江省衢州市衢江区硖川镇到嘴村乡嘴村嘴村潢川硖川镇 / 小度小度退出导航，小度小度退出导航，小度小度退出导航，小度小
