surface,query,pv,u_ds,p_ds,s_query,s_rank,sim,via,加入具体的人(家人/年龄/我),加入数值/病程,要判断(严重吗/能…吗/需要…吗),要去处/费用,用药组合/时间/剂量,省略主语/给图,变短为裸词,方向反转:搜索要图→助手给图
assistant_top1k,中医养生科普,1405.0,U04,0,养生,7935,0.7656406760215759,nn,False,False,False,False,False,False,False,False
assistant_top1k,吃什么立马排便,1202.0,U07,0,通便吃什么最快排便,6508,0.809160590171814,nn,False,False,False,False,False,False,False,False
assistant_top1k,西梅有什么功效,1087.0,U04,0,西梅的功效与作用,7340,0.9349954128265381,nn,False,False,False,False,False,False,False,False
assistant_top1k,西梅有什么功效,1087.0,U04,0,西梅的功效与作用,7340,,entity:西梅,False,False,False,False,False,False,False,False
assistant_top1k,石榴功效和作用,815.0,U04,0,番石榴的功效与作用,5016,0.8905499577522278,nn,False,False,False,False,False,False,False,False
assistant_top1k,吃什么能变白？,770.0,U08,0,头发白怎么调理吃什么能变黑,5366,0.7569388151168823,nn,False,False,False,False,False,False,False,False
assistant_top1k,无花果有什么功效,430.0,U04,0,无花果的功效与作用,5117,0.9265035390853882,nn,False,False,False,False,False,False,False,False
assistant_top1k,无花果有什么功效,430.0,U04,0,无花果的功效与作用和主治,85,,entity:无花果,False,False,False,False,False,False,False,False
assistant_top1k,饭前吃还是饭后吃,341.0,U13,0,健胃消食片饭前吃还是饭后吃效果好,4269,0.8234631419181824,nn,False,False,False,False,False,True,False,False
assistant_top1k,健康,332.0,U02,0,健康,3599,0.9999998211860657,nn,False,False,False,False,False,False,False,False
assistant_top1k,榴莲的功效,314.0,U04,0,榴莲的功效与作用,2667,0.9557796716690063,nn,False,False,False,False,False,False,False,False
assistant_top1k,榴莲的功效,314.0,U04,0,榴莲的功效和营养价值,36,,entity:榴莲,False,False,False,False,False,False,False,False
assistant_top1k,紫苏籽油的功效,307.0,U04,0,紫苏籽油的功效,9625,1.0000001192092896,nn,False,False,False,False,False,False,False,False
assistant_top1k,紫苏籽油的功效,307.0,U04,0,紫苏籽油的功效与作用,433,,entity:紫苏籽油,False,False,False,False,False,False,False,False
assistant_top1k,黄皮果的功效与作用图片,301.0,U04,0,黄皮果的功效与作用图片,50,0.9999993443489075,nn,False,False,False,False,False,False,False,False
assistant_top1k,黄皮果的功效与作用图片,301.0,U04,0,黄皮果的功效与作用,40,,entity:黄皮果,False,False,False,False,False,False,False,False
assistant_top1k,鹰嘴豆的功效,290.0,U04,0,鹰嘴豆的功效与作用,197,0.9851688742637634,nn,False,False,False,False,False,False,False,False
assistant_top1k,鹰嘴豆的功效,290.0,U04,0,鹰嘴豆的功效与作用,197,,entity:鹰嘴豆,False,False,False,False,False,False,False,False
assistant_top1k,西梅适合哪些人群食用,282.0,U04,0,西梅的功效与作用,7340,0.802683413028717,nn,False,False,False,False,False,False,False,False
assistant_top1k,西梅适合哪些人群食用,282.0,U04,0,西梅的功效与作用,7340,,entity:西梅,False,False,False,False,False,False,False,False
assistant_top1k,大麦茶喝了有什么功效和作用,280.0,U04,0,喝大麦茶有什么好处和功效,5925,0.9473052620887756,nn,False,False,False,False,False,False,False,False
assistant_top1k,大麦茶喝了有什么功效和作用,280.0,U04,0,大麦茶的作用与功效,27,,entity:大麦茶,False,False,False,False,False,False,False,False
assistant_top1k,人参果有什么功效,279.0,U04,0,人参果的功效与作用,1091,0.9399558305740356,nn,False,False,False,False,False,False,False,False
assistant_top1k,人参果有什么功效,279.0,U04,0,人参果的功效与作用,1091,,entity:人参果,False,False,False,False,False,False,False,False
assistant_top1k,桦树汁的功效和副作用,272.0,U04,0,桦树汁的功效和副作用,9535,1.000000238418579,nn,False,False,False,False,False,False,False,False
assistant_top1k,苦荞茶的功效,264.0,U04,0,苦荞茶的作用与功效,273,0.9761761426925659,nn,False,False,False,False,False,False,False,False
assistant_top1k,苦荞茶的功效,264.0,U04,0,苦荞茶的功效和作用,129,,entity:苦荞茶,False,False,False,False,False,False,False,False
assistant_top1k,葡萄的功效,256.0,U04,0,葡萄的功效与作用,1048,0.9523454308509827,nn,False,False,False,False,False,False,False,False
assistant_top1k,葡萄的功效,256.0,U04,0,葡萄的功效与作用,1048,,entity:葡萄,False,False,False,False,False,False,False,False
assistant_top1k,鹰嘴豆功效和作用,250.0,U04,0,鹰嘴豆的功效与作用,197,0.9941216707229614,nn,False,False,False,False,False,False,False,False
assistant_top1k,鹰嘴豆功效和作用,250.0,U04,0,鹰嘴豆的功效与作用,197,,entity:鹰嘴豆,False,False,False,False,False,False,False,False
assistant_top1k,海参的功效与作用,236.0,U04,0,海参的功效与作用及营养,7003,0.9522777199745178,nn,False,False,False,False,False,False,False,False
assistant_top1k,海参的功效与作用,236.0,U04,0,海参的功效与作用及营养,7003,,entity:海参,False,False,False,False,False,False,False,False
assistant_top1k,枸杞的功效,235.0,U04,0,枸杞的功效与作用,5196,0.9423855543136597,nn,False,False,False,False,False,False,False,False
assistant_top1k,枸杞的功效,235.0,U04,0,枸杞的功效与作用,5196,,entity:枸杞,False,False,False,False,False,False,False,False
assistant_top1k,西梅的营养价值有哪些,225.0,U04,0,西梅的功效与作用,7340,0.853059709072113,nn,False,False,False,False,False,False,False,False
assistant_top1k,西梅的营养价值有哪些,225.0,U04,0,西梅的功效与作用,7340,,entity:西梅,False,False,False,False,False,False,False,False
assistant_top1k,南瓜子的功效,214.0,U04,0,南瓜子的作用与功效,455,0.9701396226882935,nn,False,False,False,False,False,False,False,False
assistant_top1k,南瓜子的功效,214.0,U04,0,南瓜子的作用与功效,455,,entity:南瓜子,False,False,False,False,False,False,False,False
assistant_top1k,苦丁茶功效作用,210.0,U04,0,苦丁茶有什么作用和功效,4777,0.8998234272003174,nn,False,False,False,False,False,False,False,False
assistant_top1k,苦丁茶功效作用,210.0,U04,0,苦丁茶的功效和作用是什么,1503,,entity:苦丁茶,False,False,False,False,False,False,False,False
assistant_top1k,丝瓜的功效,208.0,U04,0,丝瓜的功效与作用,8973,0.9719715118408203,nn,False,False,False,False,False,False,False,False
assistant_top1k,丝瓜的功效,208.0,U04,0,丝瓜的功效和作用,298,,entity:丝瓜,False,False,False,False,False,False,False,False
assistant_top1k,喝劲酒有什么好处,201.0,U04,0,劲酒的功效和作用,2371,0.8399521112442017,nn,False,False,False,False,False,False,False,False
assistant_top1k,山楂的功效,195.0,U04,0,山楂的功效,909,0.9999999403953552,nn,False,False,False,False,False,False,False,False
assistant_top1k,山楂的功效,195.0,U04,0,山楂的作用与功效,461,,entity:山楂,False,False,False,False,False,False,False,False
assistant_top1k,石榴的功效与作用及营养价值,191.0,U04,0,榴莲的功效和营养价值和作用,9456,0.8700419664382935,nn,False,False,False,False,False,False,False,False
assistant_top1k,丝瓜的功效和作用,190.0,U04,0,丝瓜的功效和作用,298,1.0000004768371582,nn,False,False,False,False,False,False,False,False
assistant_top1k,秋葵的功效,190.0,U04,0,秋葵的功效与作用及营养,37,0.9378944635391235,nn,False,False,False,False,False,False,False,False
assistant_top1k,秋葵的功效,190.0,U04,0,秋葵的功效与作用及营养,37,,entity:秋葵,False,False,False,False,False,False,False,False
assistant_top1k,黄瓜的功效与作用,190.0,U04,0,黄瓜的功效与作用,91,1.0,nn,False,False,False,False,False,False,False,False
assistant_top1k,秋葵的作用功效,189.0,U04,0,秋葵的功效与作用及营养,37,0.9490618705749512,nn,False,False,False,False,False,False,False,False
assistant_top1k,秋葵的作用功效,189.0,U04,0,秋葵的功效与作用及营养,37,,entity:秋葵,False,False,False,False,False,False,False,False
assistant_top1k,百香果有什么功效,179.0,U04,0,百香果有什么功效与作用,8491,0.9546294212341309,nn,False,False,False,False,False,False,False,False
assistant_top1k,百香果有什么功效,179.0,U04,0,百香果的功效和作用,122,,entity:百香果,False,False,False,False,False,False,False,False
assistant_top1k,香蕉作用与功效,179.0,U04,0,香蕉的功效与作用及营养价值,326,0.9413428902626038,nn,False,False,False,False,False,False,False,False
assistant_top1k,香蕉作用与功效,179.0,U04,0,香蕉的功效与作用及营养价值,326,,entity:香蕉,False,False,False,False,False,False,False,False
assistant_top1k,苦瓜的功效,170.0,U04,0,苦瓜的功效与作用,117,0.9530413150787354,nn,False,False,False,False,False,False,False,False
assistant_top1k,苦瓜的功效,170.0,U04,0,苦瓜的功效与作用,117,,entity:苦瓜,False,False,False,False,False,False,False,False
assistant_top1k,"西梅的功效与作用,一天吃几颗",169.0,U04,0,西梅的功效与作用,7340,0.8419747352600098,nn,False,False,False,False,True,False,False,False
assistant_top1k,"西梅的功效与作用,一天吃几颗",169.0,U04,0,西梅的功效与作用,7340,,entity:西梅,False,False,False,False,True,False,False,False
assistant_top1k,叶下珠有哪些功效和作用,168.0,U04,0,叶下珠草药的功效与作用,722,0.926670253276825,nn,False,False,False,False,False,False,False,False
assistant_top1k,火龙果功效作用,168.0,U04,0,火龙果的作用与功效,55,0.9661977291107178,nn,False,False,False,False,False,False,False,False
assistant_top1k,火龙果功效作用,168.0,U04,0,火龙果的作用与功效,55,,entity:火龙果,False,False,False,False,False,False,False,False
assistant_top1k,莓茶的作用和功效,168.0,U04,0,莓茶的作用和功效,3967,1.0000001192092896,nn,False,False,False,False,False,False,False,False
assistant_top1k,莓茶的作用和功效,168.0,U04,0,莓茶的功效与作用的功能与主治,1130,,entity:莓茶,False,False,False,False,False,False,False,False
assistant_top1k,榴莲的营养价值及功效与作用,166.0,U04,0,榴莲的功效和营养价值和作用,9456,0.975025475025177,nn,False,False,False,False,False,False,False,False
assistant_top1k,榴莲的营养价值及功效与作用,166.0,U04,0,榴莲的功效和营养价值,36,,entity:榴莲,False,False,False,False,False,False,False,False
assistant_top1k,西梅一天吃多少合适,162.0,U03,0,西梅的功效与作用,7340,,entity:西梅,False,False,False,False,True,False,False,False
assistant_top1k,紫苏有什么功效,159.0,U04,0,紫苏的功效与作用,2082,0.9216828346252441,nn,False,False,False,False,False,False,False,False
assistant_top1k,紫苏有什么功效,159.0,U04,0,紫苏的功效与作用,2082,,entity:紫苏,False,False,False,False,False,False,False,False
assistant_top1k,山药的功效,157.0,U04,0,山药的功效和作用,4349,0.935936689376831,nn,False,False,False,False,False,False,False,False
assistant_top1k,山药的功效,157.0,U04,0,山药的功效与主治,353,,entity:山药,False,False,False,False,False,False,False,False
assistant_top1k,紫苏的功效,157.0,U04,0,紫苏的功效与作用,2082,0.977155327796936,nn,False,False,False,False,False,False,False,False
