domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,ncat,pv_all,edu_pv_share,in_search10k
教育,assistant_top1k,价格,24821.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询价格费用,K12,U13,0,8,25565,0.9708977117152356,False
教育,assistant_top1k,我,24102.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,归集含“我”字杂项查询,K12,U13,0,3,24116,0.9994194725493448,True
教育,assistant_top1k,答案,19353.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,19353,1.0,False
教育,assistant_top1k,这是谁,13558.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,人物身份查询,K12,U13,0,2,13575,0.9987476979742174,False
教育,assistant_top1k,你,11103.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,2,11107,0.9996398667506977,False
教育,assistant_top1k,怎么读,10383.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,1,10784,1.0,False
教育,assistant_top1k,这个,10162.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,4,10716,0.9483016050765211,True
教育,assistant_top1k,怎么写,7938.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,操作与制作方法查询,K12,U13,0,1,7938,1.0,False
教育,assistant_top1k,一,5134.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,短词查询,K12,U13,0,3,7239,0.7092139798314684,True
教育,assistant_top1k,怎么读？,3958.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,1,4316,1.0,False
教育,assistant_top1k,那个,3838.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,3838,1.0,False
教育,assistant_top1k,解答,3711.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,1,3711,1.0,False
教育,assistant_top1k,怎么写？,3605.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,操作与制作方法查询,K12,U13,0,1,3605,1.0,False
教育,assistant_top1k,不要,3420.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,检索极短通用词,K12,U13,0,2,3425,0.9985401459854014,False
教育,assistant_top1k,读音,3389.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,1,3389,1.0,False
教育,assistant_top1k,不知道,3208.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,1,3208,1.0,False
教育,assistant_top1k,简单,3026.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,1,3026,1.0,False
教育,assistant_top1k,为什么？,2874.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,2,2888,0.9951523545706371,False
教育,assistant_top1k,不,2851.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,2,2855,0.998598949211909,True
教育,assistant_top1k,裸,2787.0,,,user,ai04,ADULT_OR_VIOLENT_CONTENT_REQUEST,索取或生成成人、色情或暴力内容,查询双腿张开姿势,K12,U13,0,1,2787,1.0,True
教育,assistant_top1k,不行,2568.0,,,user,ai04,NON_INTENT_SOCIAL_OR_EMOTIONAL_TURN,无内容社交与情绪表达轮,确认性问题解答,K12,U13,0,1,2568,1.0,False
教育,assistant_top1k,上色,2415.0,,,user,ai04,TOOL_PANEL_SINGLE_STEP_COMMAND,工具面板单步操作指令,图片视频修改生成,K12,U13,0,1,2415,1.0,False
教育,assistant_top1k,那,2346.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,2346,1.0,True
教育,assistant_top1k,为什么,2298.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询事物或词语的含义与说明,K12,U13,0,2,2311,0.9943747295543055,True
教育,assistant_top1k,打一生肖,2272.0,,,user,ai04,FORTUNE_DREAM_DIVINATION,命理解梦与占卜,命理测算与运势查询,K12,U13,0,1,2272,1.0,False
教育,assistant_top1k,解答题目,2213.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,直接给出答案,K12,U13,0,1,2213,1.0,False
教育,assistant_top1k,这,2042.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1,2042,1.0,True
教育,assistant_top1k,少,2028.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,1,2028,1.0,True
教育,assistant_top1k,短,2016.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,文本缩短请求,K12,U13,0,1,2016,1.0,False
