domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,sim,nn_query,nn_rank,nn_pv,u_nn
教育,assistant_top1k,价格,24821.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询价格费用,K12,U13,0,0.80035424,price,6015,681,U13
教育,assistant_top1k,我,24102.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,归集含“我”字杂项查询,K12,U13,0,1.0000002,我,132,10611,U13
教育,assistant_top1k,答案,19353.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,直接给出答案,K12,U13,0,0.7937138,答题,8524,531,
教育,assistant_top1k,这是谁,13558.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,人物身份查询,K12,U13,0,0.79415303,谁,5866,693,
教育,assistant_top1k,你,11103.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,0.83984834,you,6135,672,U13
教育,assistant_top1k,怎么读,10383.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,K12,U13,0,0.78918976,赟怎么读,1330,2212,U03
教育,assistant_top1k,这个,10162.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,识别日常口语片段并应答,K12,U13,0,1.0000001,这个,2305,1366,
教育,assistant_top1k,拼音,9099.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,K12,U01,0,1.0000001,拼音,2876,1143,
教育,assistant_top1k,怎么写,7938.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,操作与制作方法查询,K12,U13,0,0.68804425,日记怎么写,9765,485,
教育,assistant_top1k,换,6455.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,继续或重新生成内容,K12,U11,0,0.65163547,还,5925,689,
教育,assistant_top1k,组词,5829.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,查询字词翻译与语言知识,K12,U01,0,0.85685605,造组词,9437,497,U08
