own_intent,n,exact_share,sim_median,low_share
亲属与感情关系查询,5,0.0,0.8369758,0.2
人物单一属性查询,12,0.0,0.7040949,0.5
人物图片查询,23,0.0,0.80191076,0.08695652173913043
人物生平简介查询,309,0.019417475728155338,0.79907084,0.15210355987055016
人物相关讲话理论与机构解释,5,0.0,0.666478,0.6
人物近况与突发状态查询,5,0.0,0.812934,0.2
名单人数排名查询,21,0.0,0.5634099,0.8571428571428571
成人向人物内容查询,11,0.18181818181818182,0.5261576,0.8181818181818182
由职务/作品/关系反查人物,34,0.08823529411764706,0.7914019,0.47058823529411764
粉丝送花与影响力查询,54,0.018518518518518517,0.811721,0.09259259259259259
裸名身份查询,505,0.3564356435643564,0.6693051,0.5405940594059406
账号主页导航查询,3,0.3333333333333333,0.6076573,0.6666666666666666
非人物类目浏览与拒识,13,0.46153846153846156,0.76568604,0.3076923076923077
