surface,theme,k,n_low,n_all,share_low,share_all,u07,p1
assistant_top1k,身体/姿态编辑(非医疗),40,257,958,0.1556420233463035,0.04175365344467641,0.0,0.0
assistant_top1k,依赖上文/图片的追问,66,257,958,0.25680933852140075,0.06889352818371608,0.19696969696969696,0.10606060606060606
assistant_top1k,带数值/病程/年龄的个案,3,257,958,0.011673151750972763,0.003131524008350731,0.6666666666666666,0.0
assistant_top1k,替家人问,4,257,958,0.01556420233463035,0.0041753653444676405,0.0,0.0
assistant_top1k,机构/医生/购药渠道/费用,41,257,958,0.15953307392996108,0.04279749478079332,0.0,0.0
assistant_top1k,第一人称或长叙述,5,257,958,0.019455252918287938,0.005219206680584551,0.0,0.2
assistant_top1k,具体症状描述(部位+感受),5,257,958,0.019455252918287938,0.005219206680584551,0.0,0.2
assistant_top1k,食物/营养/减肥宜忌,8,257,958,0.0311284046692607,0.008350730688935281,0.0,0.0
assistant_top1k,中药方剂/药材,1,257,958,0.0038910505836575876,0.0010438413361169101,0.0,0.0
assistant_top1k,医学知识/考试,1,257,958,0.0038910505836575876,0.0010438413361169101,0.0,0.0
assistant_top1k,其他,83,257,958,0.3229571984435798,0.08663883089770355,0.10843373493975904,0.060240963855421686
assistant_random1k,身体/姿态编辑(非医疗),1,731,998,0.0013679890560875513,0.001002004008016032,0.0,0.0
assistant_random1k,依赖上文/图片的追问,43,731,998,0.058823529411764705,0.04308617234468938,0.3023255813953488,0.37209302325581395
assistant_random1k,用药组合/时间/剂量,29,731,998,0.03967168262653899,0.02905811623246493,0.3793103448275862,0.3103448275862069
assistant_random1k,带数值/病程/年龄的个案,63,731,998,0.08618331053351573,0.06312625250501001,0.7777777777777778,0.8095238095238095
assistant_random1k,替家人问,18,731,998,0.024623803009575923,0.018036072144288578,0.5555555555555556,0.6111111111111112
assistant_random1k,机构/医生/购药渠道/费用,56,731,998,0.07660738714090287,0.056112224448897796,0.16071428571428573,0.10714285714285714
assistant_random1k,第一人称或长叙述,95,731,998,0.12995896032831739,0.09519038076152304,0.49473684210526314,0.6631578947368421
assistant_random1k,具体症状描述(部位+感受),69,731,998,0.09439124487004104,0.06913827655310621,0.463768115942029,0.4057971014492754
assistant_random1k,食物/营养/减肥宜忌,46,731,998,0.06292749658002736,0.04609218436873747,0.45652173913043476,0.30434782608695654
assistant_random1k,中药方剂/药材,13,731,998,0.017783857729138167,0.013026052104208416,0.38461538461538464,0.0
assistant_random1k,医学知识/考试,10,731,998,0.013679890560875513,0.01002004008016032,0.1,0.0
assistant_random1k,其他,288,731,998,0.39398084815321477,0.28857715430861725,0.21875,0.14583333333333334
