surface,own_intent,n,k,share,lo,hi,pv_share
search_top1000,裸名身份查询,1000,505,0.505,0.47405144035460534,0.5359102906595307,0.6677423895098026
search_top1000,人物生平简介查询,1000,309,0.309,0.2811363607125768,0.3383255145474245,0.1826625179848035
search_top1000,粉丝送花与影响力查询,1000,54,0.054,0.04162111458513981,0.06979247895392054,0.026255124817702615
search_top1000,由职务/作品/关系反查人物,1000,34,0.034,0.024431201022401962,0.04713546846011402,0.02303847057302613
search_top1000,人物图片查询,1000,23,0.023,0.015374164302931469,0.0342766969484851,0.010091801653753611
search_top1000,名单人数排名查询,1000,21,0.021,0.013775634089646441,0.03189053475611568,0.04143775196945696
search_top1000,非人物类目浏览与拒识,1000,13,0.013,0.0076127471221297755,0.022114652101014598,0.01921318261902708
search_top1000,人物单一属性查询,1000,12,0.012,0.006877579092159561,0.020857473928157594,0.00934911081410912
search_top1000,成人向人物内容查询,1000,11,0.011,0.006153110089114165,0.01958959672837577,0.008593516079567327
search_top1000,人物相关讲话理论与机构解释,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.0035454646035409723
search_top1000,人物近况与突发状态查询,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.0024354906813567156
search_top1000,亲属与感情关系查询,1000,5,0.005,0.0021375039957652504,0.011651125604761368,0.0020928205835284647
search_top1000,账号主页导航查询,1000,3,0.003,0.0010207654054443255,0.008783171789427854,0.003542358110324956
assistant_top1k,核查人物或机构背景,889,393,0.4420697412823397,0.40974155784969074,0.4748964339284701,0.47857356037870374
assistant_top1k,残缺或不可独立解释输入,889,213,0.23959505061867267,0.21269486744856902,0.2687361053018046,0.24207855946676393
assistant_top1k,核验真伪、传闻与进展,889,139,0.156355455568054,0.13396472758900516,0.18170335956105596,0.12781665036228881
assistant_top1k,解释含义或识别指称,889,42,0.047244094488188976,0.03513985860015331,0.06324444607382244,0.06051963986669098
assistant_top1k,按线索查找或获取影音书资源,889,39,0.043869516310461196,0.032255386010070254,0.05940880168010906,0.03847142312347664
assistant_top1k,前往官方入口或话题聚合页,889,36,0.04049493813273341,0.029391918456873875,0.055552152249508976,0.03263086335825969
assistant_top1k,索取或生成成人、色情或暴力内容,889,15,0.01687289088863892,0.010251360220700927,0.02765189159910675,0.010794050836497489
assistant_top1k,枚举清单或建议推荐,889,8,0.008998875140607425,0.004566730270781975,0.017656248586833977,0.005790817595463514
assistant_top1k,数值事实与年度政策查询,889,2,0.0022497187851518562,0.0006171580704449633,0.00816558681957808,0.0009160849596259389
assistant_top1k,生成或编辑非敏感图像,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.0004932765167216595
assistant_top1k,无内容社交与情绪表达轮,889,1,0.0011248593925759281,0.00019858779933202165,0.006344118096092205,0.001915073535507619
assistant_random1k,核查人物或机构背景,950,445,0.46842105263157896,0.436880025685949,0.5002164481939908,0.5207986688851913
assistant_random1k,核验真伪、传闻与进展,950,229,0.24105263157894738,0.21493114903064398,0.26925993678486254,0.2096505823627288
assistant_random1k,解释含义或识别指称,950,58,0.061052631578947365,0.047523343811415486,0.07811764311974792,0.04908485856905158
assistant_random1k,枚举清单或建议推荐,950,53,0.05578947368421053,0.04290346746016858,0.07225359845098481,0.045757071547420966
assistant_random1k,残缺或不可独立解释输入,950,52,0.05473684210526316,0.041983600665608425,0.07107668104154295,0.06988352745424292
assistant_random1k,按线索查找或获取影音书资源,950,32,0.03368421052631579,0.02395967979839758,0.04716491782871367,0.029118136439267885
assistant_random1k,虚构续写与角色扮演,950,16,0.016842105263157894,0.010393038105984485,0.027183012257094664,0.013311148086522463
assistant_random1k,无内容社交与情绪表达轮,950,14,0.014736842105263158,0.008798352965667828,0.024584128989407317,0.011647254575707155
assistant_random1k,数值事实与年度政策查询,950,12,0.01263157894736842,0.007240274476099651,0.021948639070971474,0.010815307820299502
assistant_random1k,前往官方入口或话题聚合页,950,8,0.008421052631578947,0.004273086293304304,0.016528690437758797,0.0066555740432612314
assistant_random1k,索取或生成成人、色情或暴力内容,950,6,0.00631578947368421,0.0028976632700684415,0.013710545052990648,0.004991680532445923
assistant_random1k,生成或编辑非敏感图像,950,6,0.00631578947368421,0.0028976632700684415,0.013710545052990648,0.004991680532445923
assistant_random1k,修改上一轮输出,950,5,0.005263157894736842,0.0022501060374113145,0.01226131808164577,0.004159733777038269
assistant_random1k,生成或改写文本,950,5,0.005263157894736842,0.0022501060374113145,0.01226131808164577,0.004991680532445923
assistant_random1k,价格或费用查询,950,4,0.004210526315789474,0.001638546498911383,0.010776093416143693,0.008319467554076539
assistant_random1k,法律咨询与案件结果预测,950,2,0.002105263157894737,0.0005775169811057398,0.007643554525945324,0.0016638935108153079
assistant_random1k,命理解梦与占卜,950,2,0.002105263157894737,0.0005775169811057398,0.007643554525945324,0.0033277870216306157
assistant_random1k,通用操作与生活指南,950,1,0.0010526315789473684,0.0001858347131650363,0.005938452589884022,0.0008319467554076539
search_top10k(cells),裸名身份查询,9982,4949,0.4957924263674614,0.48598744715962167,0.5056006429218391,0.5933676750532302
search_top10k(cells),人物生平简介查询,9982,3036,0.30414746543778803,0.2951992160837341,0.3132464055652213,0.23474682680812392
search_top10k(cells),粉丝送花与影响力查询,9982,380,0.03806852334201563,0.03448867813085514,0.04200378295524902,0.031525344297195904
search_top10k(cells),由职务/作品/关系反查人物,9982,306,0.030655179322781004,0.02744984565280252,0.034221631291113754,0.02632616823126268
search_top10k(cells),人物图片查询,9982,240,0.024043277900220397,0.021216281280729124,0.027236480076911485,0.01618629111223648
search_top10k(cells),名单人数排名查询,9982,221,0.022139851733119616,0.019431883171956026,0.0252154903653931,0.03206914386446865
search_top10k(cells),非人物类目浏览与拒识,9982,202,0.020236425566018835,0.01765303852799849,0.023188947189059155,0.019987235548073655
search_top10k(cells),人物单一属性查询,9982,179,0.017932278100581046,0.015508265155820183,0.020727198462989878,0.013087288758983356
search_top10k(cells),成人向人物内容查询,9982,155,0.015527950310559006,0.013282117382099114,0.018146540568974336,0.011958451811753111
search_top10k(cells),亲属与感情关系查询,9982,107,0.010719294730514927,0.008878979736671361,0.01293606687892887,0.0058967502805070526
search_top10k(cells),账号主页导航查询,9982,71,0.007112803045481867,0.0056432566518248945,0.008961581462170427,0.005671933544686758
search_top10k(cells),人物近况与突发状态查询,9982,71,0.007112803045481867,0.0056432566518248945,0.008961581462170427,0.004137398739330519
search_top10k(cells),人物相关讲话理论与机构解释,9982,54,0.0054097375275495895,0.004148769250004442,0.007051248182677448,0.004558127202079927
search_top10k(cells),官员任免核实,9982,6,0.0006010819475055099,0.00027550568304241115,0.0013109004141662606,0.0002702939498090856
search_top10k(cells),生死健康传闻核实,9982,5,0.0005009016229212583,0.0002139704551824003,0.0011721520725372463,0.00021107079825871087
