view,frm,to,code,name,p1,p2,diff,lo,hi
all,search_top1000,assistant_top1k,U01,导航直达,0.14,0.0387434554973822,-0.10125654450261781,-0.12643989867845498,-0.07661933436420704
all,search_top1000,assistant_top1k,U02,裸实体,0.365,0.29109947643979056,-0.07390052356020943,-0.11511124467337594,-0.03227033391549786
all,search_top1000,assistant_top1k,U03,事实与数值,0.022,0.011518324607329843,-0.010481675392670156,-0.022673909848530814,0.0011788354624278751
all,search_top1000,assistant_top1k,U04,解释与介绍,0.008,0.07539267015706806,0.06739267015706807,0.05044238578648544,0.08630721845916545
all,search_top1000,assistant_top1k,U05,核实与动态,0.0,0.01780104712041885,0.01780104712041885,0.010121798658554785,0.028322663654377987
all,search_top1000,assistant_top1k,U06,办事与操作,0.001,0.0010471204188481676,4.7120418848167625e-05,-0.004674974560517165,0.0049767526512139145
all,search_top1000,assistant_top1k,U07,个案判断与建议,0.0,0.0,0.0,-0.003826898586390522,0.004006501178088226
all,search_top1000,assistant_top1k,U08,清单与推荐,0.048,0.10575916230366492,0.057759162303664915,0.03432409059083975,0.08184891487674084
all,search_top1000,assistant_top1k,U09,获取现成内容,0.372,0.2638743455497382,-0.10812565445026179,-0.1487583922269162,-0.06691821730384087
all,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.03769633507853403,0.03769633507853403,0.026666353452146078,0.051745597419171015
all,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.013612565445026177,0.013612565445026177,0.006796505351501754,0.023150336824618173
all,search_top1000,assistant_top1k,U12,违规或灰色内容,0.031,0.010471204188481676,-0.020528795811518324,-0.034064301224400274,-0.007958915137102975
all,search_top1000,assistant_top1k,U13,无法判定,0.013,0.13298429319371727,0.11998429319371727,0.09793905729077237,0.1436200872853876
all,assistant_top1k,assistant_random1k,U01,导航直达,0.0387434554973822,0.008146639511201629,-0.030596815986180574,-0.045355136272824774,-0.017484066343982658
all,assistant_top1k,assistant_random1k,U02,裸实体,0.29109947643979056,0.07942973523421588,-0.2116697412055747,-0.24500223132745114,-0.1781148992504188
all,assistant_top1k,assistant_random1k,U03,事实与数值,0.011518324607329843,0.07637474541751528,0.06485642081018544,0.04735993652961044,0.08385897043345052
all,assistant_top1k,assistant_random1k,U04,解释与介绍,0.07539267015706806,0.14663951120162932,0.07124684104456126,0.04344902562386632,0.09918020565256834
all,assistant_top1k,assistant_random1k,U05,核实与动态,0.01780104712041885,0.04378818737270876,0.02598714025228991,0.010679223706897804,0.04210114737961767
all,assistant_top1k,assistant_random1k,U06,办事与操作,0.0010471204188481676,0.021384928716904276,0.02033780829805611,0.011521090640961323,0.03145743748057527
all,assistant_top1k,assistant_random1k,U07,个案判断与建议,0.0,0.031568228105906315,0.031568228105906315,0.02149615444175565,0.044459892529525424
all,assistant_top1k,assistant_random1k,U08,清单与推荐,0.10575916230366492,0.12321792260692464,0.017458760303259727,-0.011010382845217284,0.04588253451385844
all,assistant_top1k,assistant_random1k,U09,获取现成内容,0.2638743455497382,0.17820773930753564,-0.08566660624220257,-0.12236371075304352,-0.04877436314144825
all,assistant_top1k,assistant_random1k,U10,生成与编辑,0.03769633507853403,0.06924643584521385,0.03155010076667982,0.011533383574396597,0.05197809181851504
