bucket,k,n,pct,lo,hi,pv_pct,l2
A 英文短语(语言培训),9,357,2.5210084033613445,1.3318530333640846,4.721107600886512,2.034230099772384,{'语言培训': 9}
B 单个拉丁字母,16,357,4.481792717086835,2.7772333338198583,7.155546035299445,7.989408706652569,{'语言培训': 16}
C 作答/解题跟进(题目不在文本中),37,357,10.364145658263306,7.61304495866047,13.959190615064957,12.613288518096152,"{'K12': 32, '教育综合': 5}"
D 识图/指代识别(这是谁/这是什么字…),20,357,5.602240896358544,3.655497614278247,8.494321031908889,5.9196280581551575,"{'K12': 15, '学历教育': 4, '语言培训': 1}"
E 字词/诗文工具短指令(无对象),41,357,11.484593837535014,8.579415421617503,15.209859429175754,11.29768736755112,"{'K12': 32, '语言培训': 9}"
F 字数短答/字数询问,26,357,7.282913165266107,5.018187370956535,10.457190190832351,3.454174419302563,{'K12': 26}
G 选项数字/年级短答,21,357,5.88235294117647,3.8792457325184575,8.824832732935636,4.456284367454165,{'K12': 21}
H 属性词短答(价格/年龄/地址…),34,357,9.523809523809524,6.895429668431083,13.014026447493467,10.33320559759549,"{'K12': 33, '学历教育': 1}"
I 改写/缩短/重做指令碎片,14,357,3.9215686274509802,2.3501127661031527,6.474146964482235,3.304123401956665,{'K12': 14}
J 图像编辑/绘图指令碎片,21,357,5.88235294117647,3.8792457325184575,8.824832732935636,4.3177757360579525,"{'K12': 19, '兴趣培训': 2}"
K 生肖谜语碎片,4,357,1.1204481792717087,0.4365522290524858,2.84510930886332,0.7996564985941373,{'K12': 4}
L 是非/拒绝/情绪回应,16,357,4.481792717086835,2.7772333338198583,7.155546035299445,5.631530104851034,{'K12': 16}
M 指代词单独(这个/那个/这/那/他),5,357,1.400560224089636,0.5996710583137724,3.2362502988689923,4.499452890905984,{'K12': 5}
N 其余1–2字碎片(疑似语音截断/未打完),77,357,21.568627450980394,17.61674288525487,26.12588545914889,19.485625112538262,{'K12': 77}
O 其他,16,357,4.481792717086835,2.7772333338198583,7.155546035299445,3.86392912051636,"{'K12': 6, '语言培训': 6, '学历教育': 3, '兴趣培训': 1}"
