entity,surface,query,u_ds,pv,search_example,search_rank,sim,u_nn
藏锋,assistant_top1k,藏锋,U02,188.0,,,,
藏锋,assistant_top1k,藏锋剧情简介,U04,120.0,,,,
藏锋,assistant_top1k,藏锋,U02,1683.0,,,,
藏锋,assistant_top1k,藏锋 电视剧 在线看,U09,448.0,,,,
藏锋,assistant_top1k,藏锋电视剧在线播放免费观看2026,U09,296.0,,,,
藏锋,assistant_top1k,藏锋演员表,U08,240.0,,,,
藏锋,assistant_top1k,藏锋在线看全集,U09,195.0,,,,
藏锋,assistant_top1k,刑侦剧《藏锋》,U02,152.0,,,,
藏锋,assistant_top1k,《藏锋》免费看全集,U09,128.0,,,,
藏锋,assistant_top1k,《藏锋》的结局是什么,U04,126.0,,,,
藏锋,assistant_top1k,段奕宏阿如那藏锋演技封神,U13,123.0,,,,
藏锋,assistant_top1k,《藏锋》的剧情简介是什么,U04,108.0,,,,
藏锋,assistant_random1k,藏锋中的演员阿如娜是专业演员吗？,U05,1.0,,,,
藏锋,assistant_random1k,藏锋第十六集剧情,U04,1.0,,,,
藏锋,assistant_random1k,芯骨藏锋短剧全集免费,U09,1.0,,,,
问心,assistant_top1k,问心2演员表,U08,127.0,问心2,21.0,,
人间中毒,assistant_top1k,人间中毒,U02,143.0,人间中毒,34.0,,
人间中毒,assistant_top1k,人间中毒完整版在线观看电影,U09,136.0,人间中毒,34.0,,
鬼灭之刃,assistant_random1k,鬼灭之刃最新一集,U09,2.0,鬼灭之刃,107.0,,
鬼灭之刃,assistant_random1k,天神古兹的光头强打得过鬼灭之刃的无惨吗？,U07,1.0,鬼灭之刃,107.0,,
火影,assistant_top1k,火影忍者,U02,200.0,火影忍者,100.0,,
海绵宝宝,assistant_top1k,海绵宝宝,U02,372.0,海绵宝宝,1046.0,,
海绵宝宝,assistant_random1k,《海绵宝宝》里章鱼哥的中文姓氏是什么？A大脓包B丹尼奥C奥德里奇D东东包,U03,1.0,海绵宝宝,1046.0,,
