ver,surface,tier,rows,row_share,pv,pv_share
v2,assistant_top1k,C1_content_free,3,0.003,53641,0.04270994484595963
v2,assistant_top1k,S1_system_repeated,29,0.029,291066,0.23175207036658685
v2,assistant_top1k,S2_system_template,10,0.01,644276,0.5129843296279989
v2,assistant_top1k,S3_card_passage,4,0.004,729,0.0005804431273224692
v2,assistant_top1k,user,954,0.954,266225,0.21197321203213218
v2,assistant_random1k,C2_feed_control,2,0.002,2,0.0015810276679841897
v2,assistant_random1k,S3_card_passage,4,0.004,4,0.0031620553359683794
v2,assistant_random1k,user,994,0.994,1259,0.9952569169960475
v2,search_top1000_span,user,1000,1.0,6809703,1.0
v2,search_top10k,C1_content_free,2,0.0002,1832,0.00014657648692324913
v2,search_top10k,user,9998,0.9998,12496762,0.9998534235130767
v3,assistant_top1k,C1_content_free,3,0.003,53641,0.04270994484595963
v3,assistant_top1k,S1_system_repeated,29,0.029,291066,0.23175207036658685
v3,assistant_top1k,S2_system_template,7,0.007,638013,0.5079976145300282
v3,assistant_top1k,S3_card_passage,4,0.004,729,0.0005804431273224692
v3,assistant_top1k,S4_suggested_chip,2,0.002,317,0.0002524011952828844
v3,assistant_top1k,user,955,0.955,272171,0.21670752593481998
v3,assistant_random1k,C2_feed_control,2,0.002,2,0.0015810276679841897
v3,assistant_random1k,S3_card_passage,4,0.004,4,0.0031620553359683794
v3,assistant_random1k,S4_suggested_chip,12,0.012,15,0.011857707509881422
v3,assistant_random1k,user,982,0.982,1244,0.983399209486166
v3,search_top1000_span,user,1000,1.0,6809703,1.0
v3,search_top10k,S5_headline,1,0.0001,1169,9.353052031292479e-05
v3,search_top10k,user,9999,0.9999,12497425,0.9999064694796871
