marker,surface,n,k,pct,lo,hi,pv_pct
疑问句,搜索头,1000,56,5.6000000000000005,4.337460969160231,7.202367625311249,4.968622374246625
疑问句,搜索top10k,9981,1659,16.621581003907423,15.904099031922481,17.36474721597393,12.003510931919038
疑问句,助手头,859,105,12.223515715948778,10.199609541969028,14.583803775145027,10.417887586953231
疑问句,助手尾,970,413,42.577319587628864,39.500881906187395,45.712319090771445,37.03085904920767
委托/祈使(严格),搜索头,1000,2,0.2,0.0548632102457155,0.7262958889587807,0.12209146014969985
委托/祈使(严格),搜索top10k,9981,20,0.20038072337441137,0.12975675904121467,0.309324818377099,0.16481762095464877
委托/祈使(严格),助手头,859,46,5.355064027939465,4.038562765740197,7.069107518121869,6.274743194234715
委托/祈使(严格),助手尾,970,105,10.824742268041238,9.021786093026202,12.936774724256608,9.924937447873228
第一人称,搜索头,1000,1,0.1,0.01765418290572713,0.5642702960160471,0.1598214265542148
第一人称,搜索top10k,9981,18,0.18034265103697023,0.11410871958797439,0.2849121321799695,0.15632779521593246
第一人称,助手头,859,37,4.307334109429569,3.1409078596569886,5.880632130997146,5.506402648225887
第一人称,助手尾,970,143,14.742268041237114,12.650316735774414,17.112387999780115,13.511259382819016
裸校名,搜索头,1000,712,71.2,68.31639454351634,73.92134495642068,69.61776757587602
裸校名,搜索top10k,9981,2095,20.989880773469594,20.20217570354978,21.79990873612726,42.631758036584046
裸校名,助手头,859,4,0.46565774155995343,0.18122680901120208,1.1911687732138552,0.5183340028243798
裸校名,助手尾,970,1,0.10309278350515465,0.018200258135636853,0.5816508880877326,0.9174311926605505
官方入口/考试院/学信网,搜索头,1000,71,7.1,5.666945999361375,8.861401899350932,7.872007301991103
官方入口/考试院/学信网,搜索top10k,9981,533,5.340146277928063,4.915987763055256,5.798669943682926,6.6241476350254365
官方入口/考试院/学信网,助手头,859,0,0.0,0.0,0.44522656302153246,0.0
官方入口/考试院/学信网,助手尾,970,1,0.10309278350515465,0.018200258135636853,0.5816508880877326,0.08340283569641367
作业与写作任务词,搜索头,1000,0,0.0,0.0,0.3826898586390522,0.0
作业与写作任务词,搜索top10k,9981,192,1.9236549443943491,1.672096930537246,2.2122070528128748,0.9722846087238878
作业与写作任务词,助手头,859,125,14.551804423748546,12.351458523701103,17.067799889430578,10.57094120578941
作业与写作任务词,助手尾,970,110,11.34020618556701,9.495355381896465,13.4900664772642,12.01000834028357
依赖上文的跟进/改写,搜索头,1000,0,0.0,0.0,0.3826898586390522,0.0
依赖上文的跟进/改写,搜索top10k,9981,9,0.09017132551848511,0.047447328852063674,0.17130025748921585,0.05401693906266912
依赖上文的跟进/改写,助手头,859,69,8.032596041909198,6.396271283205825,10.042620861076507,8.768549927911176
依赖上文的跟进/改写,助手尾,970,55,5.670103092783505,4.381933419905271,7.308016978598962,4.920767306088407
工具名单独输入(翻译/拼音/组词…),搜索头,1000,5,0.5,0.21375039957652503,1.1651125604761368,1.2646994367616393
工具名单独输入(翻译/拼音/组词…),搜索top10k,9981,6,0.06011421701232341,0.027553328888231154,0.13110316897749358,0.5757522459140599
工具名单独输入(翻译/拼音/组词…),助手头,859,19,2.211874272409779,1.4205121712834725,3.4287672329548027,13.06201687117437
工具名单独输入(翻译/拼音/组词…),助手尾,970,0,0.0,0.0,0.3944789378477978,0.0
字音字形字义(读音/拼音/笔顺/组词/意思),搜索头,1000,35,3.5000000000000004,2.52721124850127,4.82869032003305,2.8007232706533913
字音字形字义(读音/拼音/笔顺/组词/意思),搜索top10k,9981,2069,20.72938583308286,19.945443850073158,21.53585115614908,12.784480192661544
字音字形字义(读音/拼音/笔顺/组词/意思),助手头,859,49,5.70430733410943,4.341481678811505,7.461565369453204,6.143879505266979
字音字形字义(读音/拼音/笔顺/组词/意思),助手尾,970,58,5.979381443298969,4.653748009535192,7.652319014095756,6.0884070058381985
输出约束(字数/格式),搜索头,1000,1,0.1,0.01765418290572713,0.5642702960160471,0.07603228359680297
输出约束(字数/格式),搜索top10k,9981,13,0.1302474701933674,0.07613514049803047,0.22273389714398883,0.1075535772269726
输出约束(字数/格式),助手头,859,29,3.3760186263096625,2.360719585201551,4.806482367045535,2.1194227887165913
输出约束(字数/格式),助手尾,970,71,7.31958762886598,5.843440008734066,9.13246572377931,7.172643869891576
生肖谜语,搜索头,1000,29,2.9000000000000004,2.026631563648779,4.133862283189209,4.914670781567594
生肖谜语,搜索top10k,9981,252,2.5247971145175834,2.2348082604962216,2.8513174923649953,3.8264016668470617
生肖谜语,助手头,859,26,3.026775320139697,2.0737807922303793,4.398044395614064,1.4303970176734258
生肖谜语,助手尾,970,15,1.5463917525773196,0.9393331133285027,2.5357289501528686,1.5012510425354462
分数线/录取/招生/学费,搜索头,1000,27,2.7,1.8621256649289826,3.8998989413435616,2.697850747482598
分数线/录取/招生/学费,搜索top10k,9981,382,3.8272718164512574,3.4682984284702596,4.221774491664998,3.3594477216148935
分数线/录取/招生/学费,助手头,859,12,1.3969732246798603,0.8008971045673533,2.4258365160647535,1.3138714372360678
分数线/录取/招生/学费,助手尾,970,24,2.4742268041237114,1.6682123387092025,3.655199600152312,6.672226855713094
≤2字,搜索头,1000,19,1.9,1.2196787737404147,2.9484688702703545,2.845984168475973
≤2字,搜索top10k,9981,814,8.155495441338543,7.634522900223429,8.708666760391717,5.595248403506873
≤2字,助手头,859,337,39.231664726426075,36.02128179080733,42.53793464011116,53.4714722847776
≤2字,助手尾,970,7,0.7216494845360825,0.34999477102006055,1.4820896254567377,2.0850708924103416
