view,pair,code,name,p1,p2,diff,lo,hi,sig
all,search_top10k→assistant_top1k,U01,导航直达,0.01753155680224404,0.0011248593925759281,-0.01640669740966811,-0.019324085801219658,-0.010664071851898039,True
all,search_top10k→assistant_top1k,U02,裸实体,0.5281506712081747,0.5793025871766029,0.05115191596842816,0.01699639422672753,0.08466048928119127,True
all,search_top10k→assistant_top1k,U03,事实与数值,0.052594670406732116,0.048368953880764905,-0.004225716525967212,-0.017307209158169586,0.012463629247824876,False
all,search_top10k→assistant_top1k,U04,解释与介绍,0.34061310358645563,0.09786276715410573,-0.2427503364323499,-0.26289210040606176,-0.21953755558430615,True
all,search_top10k→assistant_top1k,U05,核实与动态,0.008715688238829894,0.11023622047244094,0.10152053223361104,0.08247835972182438,0.12386964669529771,True
all,search_top10k→assistant_top1k,U06,办事与操作,0.0006010819475055099,0.0,-0.0006010819475055099,-0.0013109004141662606,0.003713885301899783,False
all,search_top10k→assistant_top1k,U07,个案判断与建议,0.0,0.0011248593925759281,0.0011248593925759281,0.00012187546674474834,0.006344118096092205,True
all,search_top10k→assistant_top1k,U08,清单与推荐,0.02244039270687237,0.02249718785151856,5.679514464618923e-05,-0.008415910885306258,0.012359297921199053,False
all,search_top10k→assistant_top1k,U09,获取现成内容,0.013023442195952716,0.021372328458942633,0.008348886262989918,0.0003274400304307482,0.020291920348873352,True
all,search_top10k→assistant_top1k,U10,生成与编辑,0.0,0.0,0.0,-0.00038470468027451986,0.004302666900825409,False
all,search_top10k→assistant_top1k,U11,会话与系统指令,0.0,0.0044994375703037125,0.0044994375703037125,0.0017242704867392166,0.011511758400524937,True
all,search_top10k→assistant_top1k,U12,违规或灰色内容,0.006712081747144861,0.015748031496062992,0.00903594974891813,0.002440355345935061,0.01964349135043255,True
all,search_top10k→assistant_top1k,U13,无法判定,0.009617311160088158,0.09786276715410573,0.08824545599401758,0.07028435093603319,0.10961300700437306,True
all,search_top1000→search_1001plus,U01,导航直达,0.025,0.016700066800267203,-0.008299933199732799,-0.020200610659778684,0.000206761835811314,False
all,search_top1000→search_1001plus,U02,裸实体,0.541,0.5267201068804275,-0.014279893119572562,-0.046644646337387095,0.018375168345368856,False
all,search_top1000→search_1001plus,U03,事实与数值,0.038,0.05421955021153418,0.01621955021153418,0.0017749750986609508,0.027517398864583972,True
