domain,frm,to,code,name,p_from,p_to,diff,lo,hi,sig
金融,search_top1000,assistant_top1k,U01,导航直达,0.06,0.05473684210526316,-0.005263157894736838,-0.026094685332298303,0.015681968869397187,False
金融,search_top1000,assistant_top1k,U02,裸实体,0.514,0.28210526315789475,-0.23189473684210526,-0.2733641831359171,-0.18915551350467041,True
金融,search_top1000,assistant_top1k,U03,事实与数值,0.401,0.33157894736842103,-0.069421052631579,-0.11179427543078889,-0.026635248063852403,True
金融,search_top1000,assistant_top1k,U04,解释与介绍,0.002,0.035789473684210524,0.03378947368421052,0.022429893885974914,0.047671613012857356,True
金融,search_top1000,assistant_top1k,U05,核实与动态,0.001,0.05263157894736842,0.05163157894736842,0.03831288079629436,0.06773950629155277,True
金融,search_top1000,assistant_top1k,U06,办事与操作,0.002,0.03684210526315789,0.03484210526315789,0.023334135507812853,0.04888205733905576,True
金融,search_top1000,assistant_top1k,U07,个案判断与建议,0.001,0.08105263157894736,0.08005263157894736,0.0636665210224464,0.09915964840458395,True
金融,search_top1000,assistant_top1k,U08,清单与推荐,0.006,0.03894736842105263,0.032947368421052635,0.020261612495133682,0.04758668095471251,True
金融,search_top1000,assistant_top1k,U09,获取现成内容,0.01,0.03894736842105263,0.02894736842105263,0.01550931356739637,0.04393240525807164,True
金融,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.0010526315789473684,0.0010526315789473684,-0.002871204502879681,0.005938452589884022,False
金融,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
金融,search_top1000,assistant_top1k,U12,违规或灰色内容,0.0,0.0,0.0,-0.003826898586390522,0.0040275030990470535,False
金融,search_top1000,assistant_top1k,U13,无法判定,0.003,0.04631578947368421,0.04331578947368421,0.030322617807975943,0.058732972861380316,True
金融,assistant_top1k,assistant_random1k,U01,导航直达,0.05473684210526316,0.008105369807497468,-0.046631472297765694,-0.063452051445643,-0.03167842776577505,True
金融,assistant_top1k,assistant_random1k,U02,裸实体,0.28210526315789475,0.02330293819655522,-0.25880232496133954,-0.28924954704014727,-0.22884383768940977,True
金融,assistant_top1k,assistant_random1k,U03,事实与数值,0.33157894736842103,0.23404255319148937,-0.09753639417693166,-0.13724593388971426,-0.05747913180565196,True
金融,assistant_top1k,assistant_random1k,U04,解释与介绍,0.035789473684210524,0.0911854103343465,0.05539593665013598,0.03395097689949627,0.07741202774896344,True
金融,assistant_top1k,assistant_random1k,U05,核实与动态,0.05263157894736842,0.10840932117527863,0.05577774222791021,0.03171149985441913,0.08015301070998382,True
金融,assistant_top1k,assistant_random1k,U06,办事与操作,0.03684210526315789,0.1094224924012158,0.07258038713805792,0.0498125679408393,0.09595108735357084,True
金融,assistant_top1k,assistant_random1k,U07,个案判断与建议,0.08105263157894736,0.24417426545086118,0.1631216338719138,0.13104671853886188,0.19502069790313442,True
金融,assistant_top1k,assistant_random1k,U08,清单与推荐,0.03894736842105263,0.08105369807497467,0.04210632965392204,0.021073825055201337,0.06357833501829199,True
金融,assistant_top1k,assistant_random1k,U09,获取现成内容,0.03894736842105263,0.0121580547112462,-0.02678931370980643,-0.041978034157639385,-0.012931557435133436,True
金融,assistant_top1k,assistant_random1k,U10,生成与编辑,0.0010526315789473684,0.0010131712259371835,-3.9460353010184945e-05,-0.004996002478050209,0.004743297429796752,False
金融,assistant_top1k,assistant_random1k,U11,会话与系统指令,0.0,0.00911854103343465,0.00911854103343465,0.0032167422272705165,0.01723892484064206,True
金融,assistant_top1k,assistant_random1k,U12,违规或灰色内容,0.0,0.00303951367781155,0.00303951367781155,-0.0014595969020030739,0.008898349423877636,False
金融,assistant_top1k,assistant_random1k,U13,无法判定,0.04631578947368421,0.07497467071935157,0.02865888124566736,0.007356800266355365,0.05019988034860748,True
金融,search_top1000,assistant_random1k,U01,导航直达,0.06,0.008105369807497468,-0.05189463019250253,-0.06884304942764624,-0.036641552724016146,True
金融,search_top1000,assistant_random1k,U02,裸实体,0.514,0.02330293819655522,-0.4906970618034448,-0.522514553086987,-0.45768559993856794,True
金融,search_top1000,assistant_random1k,U03,事实与数值,0.401,0.23404255319148937,-0.16695744680851066,-0.2067724069035327,-0.12636061400144438,True
金融,search_top1000,assistant_random1k,U04,解释与介绍,0.002,0.0911854103343465,0.0891854103343465,0.07195236906432967,0.10881888733478878,True
金融,search_top1000,assistant_random1k,U05,核实与动态,0.001,0.10840932117527863,0.10740932117527863,0.08891739123842049,0.12836161859750234,True
金融,search_top1000,assistant_random1k,U06,办事与操作,0.002,0.1094224924012158,0.1074224924012158,0.08868593610740244,0.12848339137825257,True
金融,search_top1000,assistant_random1k,U07,个案判断与建议,0.001,0.24417426545086118,0.24317426545086118,0.2169835251829179,0.2709461656565298,True
金融,search_top1000,assistant_random1k,U08,清单与推荐,0.006,0.08105369807497467,0.07505369807497467,0.05808314114242087,0.09402898819975425,True
金融,search_top1000,assistant_random1k,U09,获取现成内容,0.01,0.0121580547112462,0.0021580547112462004,-0.007639072244456063,0.012222541159590688,False
金融,search_top1000,assistant_random1k,U10,生成与编辑,0.0,0.0010131712259371835,0.0010131712259371835,-0.0029036151707027957,0.005716726817451995,False
金融,search_top1000,assistant_random1k,U11,会话与系统指令,0.0,0.00911854103343465,0.00911854103343465,0.003351774112002455,0.01723892484064206,True
金融,search_top1000,assistant_random1k,U12,违规或灰色内容,0.0,0.00303951367781155,0.00303951367781155,-0.0012809455092522557,0.008898349423877636,False
金融,search_top1000,assistant_random1k,U13,无法判定,0.003,0.07497467071935157,0.07197467071935157,0.05605450878658112,0.09021074973718386,True
医疗,search_top1000,assistant_top1k,U01,导航直达,0.001,0.010438413361169102,0.009438413361169101,0.0027900487475466806,0.018146843841728752,True
医疗,search_top1000,assistant_top1k,U02,裸实体,0.044,0.21189979123173278,0.16789979123173276,0.1392308291566196,0.19708028039722597,True
医疗,search_top1000,assistant_top1k,U03,事实与数值,0.033,0.04697286012526096,0.013972860125260958,-0.0034924145723411078,0.031935889227603334,False
医疗,search_top1000,assistant_top1k,U04,解释与介绍,0.784,0.36012526096033404,-0.423874739039666,-0.46237304332612894,-0.383123101708385,True
医疗,search_top1000,assistant_top1k,U05,核实与动态,0.007,0.015657620041753653,0.008657620041753654,-0.0009454962470629678,0.01930201592873542,False
医疗,search_top1000,assistant_top1k,U06,办事与操作,0.04,0.08768267223382047,0.047682672233820465,0.026186635016272625,0.06991026386088597,True
医疗,search_top1000,assistant_top1k,U07,个案判断与建议,0.057,0.081419624217119,0.024419624217118997,0.001910507687436211,0.04732905727043131,True
医疗,search_top1000,assistant_top1k,U08,清单与推荐,0.012,0.024008350730688934,0.012008350730688934,0.00010103537628239172,0.024835721658294486,True
医疗,search_top1000,assistant_top1k,U09,获取现成内容,0.02,0.022964509394572025,0.002964509394572025,-0.010240018526243743,0.016488574445061622,False
医疗,search_top1000,assistant_top1k,U10,生成与编辑,0.0,0.013569937369519834,0.013569937369519834,0.006768442938651506,0.023078282619999377,True
医疗,search_top1000,assistant_top1k,U11,会话与系统指令,0.0,0.0020876826722338203,0.0020876826722338203,-0.0020281826501090386,0.0075800010310645705,False
医疗,search_top1000,assistant_top1k,U12,违规或灰色内容,0.0,0.003131524008350731,0.003131524008350731,-0.0012174344983912119,0.009166497572646707,False
