domain,surface,query,pv,rank,user_rank,tier,own_run,own_code,own_intent,own_leaf,l2,u_ds,p_ds,u_qw,p_qw,sim,nn_query,nn_rank,nn_pv,u_nn,core,u_core
教育,assistant_top1k,500字,862.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,文本字数查询与控制,K12,U13,0,,,0.70184964,500,777,3714,U13,500,U13
教育,assistant_top1k,岳阳楼记全文,406.0,,,user,ai04,MEDIA_CONTENT_SEARCH_OR_ACCESS,按线索查找或获取影音书资源,生成与修改作文类文本,K12,U09,0,,,1.0000002,岳阳楼记全文,1675,1779,,岳阳楼记,U02
教育,assistant_top1k,帮我画 拼豆图纸,1789.0,,,user,ai04,GENERATE_OR_EDIT_SAFE_IMAGE,生成或编辑非敏感图像,按描述生成图片与Logo设计,兴趣培训,U10,0,,,0.8738487,拼豆图纸,15,19711,U09,拼豆图纸,U09
教育,assistant_top1k,单招和高考的区别是什么,1781.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询学校和教育信息,学历教育,U04,0,,,0.73220444,单招是什么意思啊,2656,1218,U04,高考,U02
教育,assistant_top1k,天津高考时间2025年时间表,1194.0,,,user,ai04,NUMERIC_FACT_AND_POLICY_LOOKUP,数值事实与年度政策查询,查询学校和教育信息,学历教育,U03,0,,,0.7326271,高考时间,3317,1030,U03,高考,U02
教育,assistant_top1k,历年高考作文真题及范文,1069.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,生成与修改作文类文本,学历教育,U09,0,,,0.6051258,公务员考试试卷真题及答案,9662,489,,高考,U02
教育,assistant_top1k,西安大学排名一览表,877.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U08,0,,,1.0000005,西安大学排名一览表,7631,575,,大学排名,U08
教育,assistant_top1k,华中科技大学在职研究生,834.0,,,user,ai04,ENTITY_BACKGROUND_LOOKUP,核查人物或机构背景,招聘岗位及要求查询,学历教育,U02,0,,,0.79038763,在职研究生,8886,516,U02,华中科技大学,U02
教育,assistant_top1k,高考时间科目安排表,627.0,,,user,ai04,NUMERIC_FACT_AND_POLICY_LOOKUP,数值事实与年度政策查询,查询学校和教育信息,学历教育,U03,0,,,0.80617374,高考时间,3317,1030,U03,高考,U02
教育,assistant_top1k,浙江省大学排名,555.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U08,0,,,0.9999998,浙江省大学排名,5892,692,,大学排名,U08
教育,assistant_top1k,高考祝福语,555.0,,,user,ai04,GENERATE_OR_REVISE_TEXT,生成或改写文本,祝福问候语查询,学历教育,U08,0,,,0.73126465,高考加油,1017,2893,,高考,U02
教育,assistant_top1k,高考季,473.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询学校和教育信息,学历教育,U02,0,,,0.82731956,高考,6,33737,U02,高考,U02
教育,assistant_top1k,30岁双985硕士重新高考,398.0,,,user,ai04,FACT_VERIFICATION_AND_RUMOR_OR_STATUS_CHECK,核验真伪、传闻与进展,查询学校和教育信息,学历教育,U13,0,,,0.60540354,985,1776,1681,,高考,U02
教育,assistant_top1k,高考平行志愿怎么填,368.0,,,user,ai04,GENERAL_HOWTO_GUIDE,通用操作与生活指南,查询学校和教育信息,学历教育,U06,0,,,0.844677,高考志愿怎么填,2477,1284,U07,高考,U02
教育,assistant_top1k,安徽大学排名,365.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U03,0,,,0.9999999,安徽大学排名,6321,658,,安徽大学,U02
教育,assistant_top1k,高考美术培训,365.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,按描述生成图片与Logo设计,学历教育,U08,0,,,0.64731514,高考,6,33737,U02,高考,U02
教育,assistant_top1k,985大学排名,363.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U08,0,,,0.9999997,985大学排名,7539,580,,大学排名,U08
教育,assistant_top1k,湖北高考,363.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询地名及地理信息,学历教育,U02,0,,,0.99999964,湖北高考,6216,666,,高考,U02
教育,assistant_top1k,陕西大学排名,340.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U08,0,,,0.90402305,西安大学排名一览表,7631,575,,大学排名,U08
教育,assistant_top1k,高考志愿填报,313.0,,,user,ai04,LIST_AND_RECOMMENDATION_REQUEST,枚举清单或建议推荐,查询学校和教育信息,学历教育,U06,0,,,1.0000005,高考志愿填报,48,14937,U06,志愿填报,U13
教育,assistant_top1k,26年高考许愿,307.0,,,user,ai04,MEDIA_CONTENT_SEARCH_OR_ACCESS,按线索查找或获取影音书资源,查询学校和教育信息,学历教育,U13,0,,,0.6724453,2026年高考,644,4283,U02,高考,U02
教育,assistant_top1k,翻译一下,16322.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U01,0,,,0.79303485,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译成中文,7357.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U11,0,,,0.7651517,中文翻译英文,8626,527,U01,翻译,U01
教育,assistant_top1k,翻译中文,2470.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,0.8461686,中文翻译英文,8626,527,U01,翻译,U01
教育,assistant_top1k,帮我翻译一下,2032.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U11,0,,,0.72018886,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,帮我翻译,1992.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U10,0,,,0.78161615,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译成英文,1764.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U01,0,,,0.8528822,英文翻译,1236,2378,,翻译,U01
教育,assistant_top1k,翻译。,1196.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,语言培训,U01,0,,,0.8788549,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,百度翻译,1149.0,,,user,ai04,NAVIGATE_OFFICIAL_ENTRY_OR_TOPIC_FEED,前往官方入口或话题聚合页,查询百度及百度AI入口,语言培训,U01,0,,,1.0000002,百度翻译,11,25583,U01,翻译,U01
教育,assistant_top1k,翻译全文,1081.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U13,0,,,0.7876236,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,能再翻译一遍吗,921.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,改写已有回复,语言培训,U11,0,,,0.6990616,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译英文转中文,877.0,,,user,ai04,MEDIA_CONTENT_SEARCH_OR_ACCESS,按线索查找或获取影音书资源,查询字词翻译与语言知识,语言培训,U01,0,,,0.8956029,中文翻译英文,8626,527,U01,翻译,U01
教育,assistant_top1k,中文翻译,864.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,0.8682399,中英翻译,6988,614,U01,翻译,U01
教育,assistant_top1k,翻译英文,828.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,0.9557496,英文翻译,1236,2378,,翻译,U01
教育,assistant_top1k,英文翻译,796.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,1.0000002,英文翻译,1236,2378,,翻译,U01
教育,assistant_top1k,翻译英语,721.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,0.95945907,英语翻译,784,3682,U01,翻译,U01
教育,assistant_top1k,翻译一下。,709.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U13,0,,,0.80070966,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,帮我翻译成中文,666.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U11,0,,,0.67175937,中文翻译英文,8626,527,U01,翻译,U01
教育,assistant_top1k,翻译成英语,541.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U11,0,,,0.8481368,英语翻译,784,3682,U01,翻译,U01
教育,assistant_top1k,翻译成白话文,530.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U13,0,,,0.73798984,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,英语翻译,491.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U01,0,,,1.0000001,英语翻译,784,3682,U01,翻译,U01
教育,assistant_top1k,翻译成汉语,447.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U13,0,,,0.7458076,英译汉,2945,1122,U01,翻译,U01
教育,assistant_top1k,能再翻译一次吗,447.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,改写已有回复,语言培训,U11,0,,,0.6799684,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译成中文。,411.0,,,user,ai04,CORRECT_OR_ADJUST_PREVIOUS_OUTPUT,修改上一轮输出,查询字词翻译与语言知识,语言培训,U11,0,,,0.74624985,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译这篇文章,342.0,,,user,ai04,EXPLAIN_OR_IDENTIFY,解释含义或识别指称,查询字词翻译与语言知识,语言培训,U10,0,,,0.7467031,翻译,3,46513,U01,翻译,U01
教育,assistant_top1k,翻译器,340.0,,,user,ai04,NON_INTENT_FRAGMENT_UNDERSPECIFIED_INPUT,残缺或不可独立解释输入,查询字词翻译与语言知识,语言培训,U01,0,,,1.0000004,翻译器,881,3315,U01,翻译,U01
