source,label,rank,query,pv_raw,tier
2025search,41,top_pv,deepseek,101354.0,user
2025search,41,top_pv,deepseek官网,18656.0,user
2025search,41,top_pv,QQ,12202.0,user
2025search,41,top_pv,DeepSeek,6571.0,user
2025search,41,top_pv,deepseek百度版,6027.0,user
2025search,41,top_pv,腾讯会议,5199.0,user
2025search,41,sample,腾讯安全中心,314.0,user
2025search,41,sample,QQHD,67.0,user
2025search,41,sample,腾讯会议收费,57.0,user
2025search,41,sample,twitter官方网站,125.0,user
2025search,41,sample,qq注册,87.0,user
2025search,41,sample,qq最新版本下载,105.0,user
2025search,32,top_pv,微博,97069.0,user
2025search,32,top_pv,微信,37318.0,user
2025search,32,top_pv,微博网页版,12230.0,user
2025search,32,top_pv,微信下载安装,7816.0,user
2025search,32,top_pv,微信客服电话人工服务24小时,5319.0,user
2025search,32,top_pv,微信分身,4120.0,user
2025search,32,sample,微信最新版,54.0,user
2025search,32,sample,微信公众号官网,80.0,user
2025search,32,sample,微信客服电话95559,162.0,user
2025search,32,sample,微信是什么时候开始正式使用的,87.0,user
2025search,32,sample,微信传输文件助手,91.0,user
2025search,32,sample,微信人工电话95068是24小时吗,167.0,user
2025search,34,top_pv,豆包,56704.0,user
2025search,34,top_pv,豌豆荚,8198.0,user
2025search,34,top_pv,豆包官方网页版入口,6992.0,user
2025search,34,top_pv,豆包app下载安装免费官方正版,6290.0,user
2025search,34,top_pv,豆瓣,5406.0,user
2025search,34,top_pv,豆包官网,2548.0,user
2025search,34,sample,豆包ai网页版,71.0,user
2025search,34,sample,豆包ai人工智能在线,113.0,user
2025search,34,sample,豆包官方登录入口,89.0,user
2025search,34,sample,京东外卖骑手众包,169.0,user
2025search,34,sample,豆包下载,427.0,user
2025search,34,sample,豆包a i,1465.0,user
2025search,33,top_pv,应用宝,52073.0,user
2025search,33,top_pv,华为应用市场,9156.0,user
2025search,33,top_pv,vivo应用商店,8644.0,user
2025search,33,top_pv,谷歌商店,4620.0,user
2025search,33,top_pv,应用商店,4535.0,user
2025search,33,top_pv,oppo应用商店,4349.0,user
2025search,33,sample,v i v o 应用商城,995.0,user
2025search,33,sample,vivo商城应用商店,64.0,user
2025search,33,sample,a应用,189.0,user
2025search,33,sample,oppo应用商店官方下载,62.0,user
2025search,33,sample,小米应用商店官方正版下载安装,174.0,user
2025search,33,sample,快应用服务框架是什么东西,137.0,user
2025search,28,top_pv,岛遇,34155.0,user
2025search,28,top_pv,文心一言,12635.0,user
2025search,28,top_pv,小红书,11138.0,user
2025search,28,top_pv,米坛社区,9532.0,user
2025search,28,top_pv,贴吧,8498.0,user
2025search,28,top_pv,趣岛,8411.0,user
2025search,28,sample,http//:小助手.我爱你,54.0,user
2025search,28,sample,海角论坛官网登录入口,304.0,user
2025search,28,sample,叔叔不约,4242.0,user
2025search,28,sample,z不老正版微博字谜,135.0,user
2025search,28,sample,蔡文的鸭微博,68.0,user
2025search,28,sample,scboy论坛,105.0,user
2025search,1,top_pv,mt管理器,27460.0,user
2025search,1,top_pv,telegram,9068.0,user
2025search,1,top_pv,kimi,6226.0,user
2025search,1,top_pv,word,4675.0,user
2025search,1,top_pv,soul,3972.0,user
2025search,1,top_pv,word文档,3397.0,user
2025search,1,sample,gtp,78.0,user
2025search,1,sample,Canva,71.0,user
2025search,1,sample,tm官理器,924.0,user
2025search,1,sample,北森italent,86.0,user
2025search,1,sample,office,1971.0,user
2025search,1,sample,Photoshop,227.0,user
2025search,3,top_pv,七月说说朋友圈,25928.0,user
2025search,3,top_pv,幼儿园毕业文案发朋友圈,6285.0,user
2025search,3,top_pv,微信朋友圈评论怎么发图片,1605.0,user
2025search,3,top_pv,7月朋友圈文案,1573.0,user
2025search,3,top_pv,7月你好说说发朋友圈,1454.0,user
2025search,3,top_pv,微信朋友圈更新,1286.0,user
2025search,3,sample,早安励志正能量朋友圈早安激励语,63.0,user
2025search,3,sample,7月朋友圈文案配图,474.0,user
2025search,3,sample,心烦图片适合发朋友圈,97.0,user
2025search,3,sample,回老家发朋友圈的精美句子,157.0,user
2025search,3,sample,孩子放暑假了妈妈怎么发朋友圈,86.0,user
2025search,3,sample,发朋友圈的七月的句子,110.0,user
2025search,39,top_pv,推特,24167.0,user
2025search,39,top_pv,电鸽,11817.0,user
2025search,39,top_pv,迅雷,10641.0,user
2025search,39,top_pv,纸飞机,9758.0,user
2025search,39,top_pv,龙腾网,6821.0,user
2025search,39,top_pv,钉钉,5260.0,user
2025search,39,sample,清理大师,90.0,user
2025search,39,sample,全民变声器,241.0,user
2025search,39,sample,轻松传,125.0,user
2025search,39,sample,聚水潭erp登录,1143.0,user
2025search,39,sample,电脑管家,55.0,user
2025search,39,sample,护林员巡护系统app,60.0,user
2025search,5,top_pv,excel表格,13147.0,user
2025search,5,top_pv,excel,5522.0,user
2025search,5,top_pv,vlookup函数怎么用,2195.0,user
2025search,5,top_pv,表盘自定义工具,1857.0,user
2025search,5,top_pv,excel函数公式大全,1138.0,user
