code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,用户想获取某个已指明名称的软件或App的安装包或下载地址并完成安装，查询中常带官方、正版、免费、最新版、旧版本等限定词。,获得目标软件可安装的安装包或可信下载入口并成功安装，用户即满足。,False,0.2,小红书下载官方正版安装 / 腾讯会议app下载 / 微博下载官方版免费下载 / 钉钉免费下载,deepseek网页版 → REACH_OFFICIAL_ENTRY / 刘春微博 → REACH_NAMED_PAGE_OR_PROFILE / 应用宝 → NAME_ONLY_DISAMBIGUATION,5
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,用户想直达某产品或服务的官网、网页版或官方客户端入口，以便在线使用或访问，而不是下载安装App。,获得指向官方域名或官方网页版的直达链接并成功打开，用户即满足。,False,0.08,deepseek网页版 / 网页版豆包 / minimax官网 / chatbox官网入口,豆包下载安装免费官方正版豆包 → DOWNLOAD_INSTALL_NAMED_APP / 应用宝app官方下载 → DOWNLOAD_INSTALL_NAMED_APP / telegeram官网 → CIRCUMVENTION_ACCESS,3
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,用户想打开一个指定的论坛、贴吧、微博主页、深链或URL，目标是非官方页面或特定个人、专区主页。,获得可点击的目标页面链接或直达地址并成功到达该页面，用户即满足。,False,0.006,龙的天空论坛 / 19楼 / 虎扑专区 / 鸣潮爆料吧,deepseek官网 → REACH_OFFICIAL_ENTRY / 腾讯会议app下载 → DOWNLOAD_INSTALL_NAMED_APP / 微博网页版 → REACH_OFFICIAL_ENTRY,1
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,用户只给出一个产品、品牌或平台名，没有动词或渠道指示，且该名称本身不足以直接归入翻墙、成人、破解等风险实体类，需由语境或追问判定动作。,系统识别该名称所指对象，并通过上下文或澄清判断实际动作后给出对应结果，用户即满足。,False,0.02,Deep seek / BandLab / midjourney / kakaotalk,下载豆包? → DOWNLOAD_INSTALL_NAMED_APP / deepseek网页版 → REACH_OFFICIAL_ENTRY / 刘春微博 → REACH_NAMED_PAGE_OR_PROFILE,2
COMPLETE_TASK_HOWTO,完成设置或操作步骤,用户想按步骤在某个软件、系统或平台中完成一项具体的设置或操作，包括微信功能、办公软件公式等，只要目标是学会怎么做。,获得可直接照做的分步说明并成功完成该操作，用户即满足。,False,0.1,微信怎么设置来电铃声 / 怎么退出企业微信 / 如何建群 / 怎么@所有人群里人,微信自动扣费业务在哪里关闭 → CANCEL_SUBSCRIPTION_OR_AUTHORIZATION / excel数字变成了小数点 E 17怎么办 → FIX_MALFUNCTION_TROUBLESHOOT / 微信语音可以录音吗 → PLATFORM_RULES_VERDICT,3
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,用户描述某个功能已经异常、出错或不可用，如闪退、收不到消息、显示异常等，想要恢复可用状态或消除异常。,获得针对异常原因的解释和可操作的修复方案并恢复正常功能，用户即满足。,False,0.05,excel数字变成了小数点 E 17怎么办 / 页眉有一条横线怎么去掉 / 闪退 / 收不到消息,微信怎么设置来电铃声 → COMPLETE_TASK_HOWTO / vlookup函数怎么用 → COMPLETE_TASK_HOWTO / 删除的微信好友怎么找回 → RECOVER_LOST_DATA,2
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION,取消持续扣费或授权,用户想解除微信、支付宝等平台的自动续费、免密支付、绑定的银行卡、账号授权或账号本身，停止后续扣费、权限或继续参与。,获得关闭自动扣费、解绑、取消授权或注销账号的可操作入口并成功解除，用户即满足。,False,0.01,微信自动扣费业务在哪里关闭 / 微信怎么解绑银行卡 / 怎么退出企业微信 / 微信注销账号怎么注销,微信怎么设置来电铃声 → COMPLETE_TASK_HOWTO / 微信怎么注册 → COMPLETE_TASK_HOWTO / 如何建群 → COMPLETE_TASK_HOWTO,1
RECOMMEND_SOFTWARE_BY_FUNCTION,按功能求推荐软件,用户描述一项能力或需求，想找一个能完成该任务的软件，但说不出软件名，常以有无、推荐、什么软件可以等句式出现。,获得一款或多款能做这件事的软件名及获取方式，用户即满足。,False,0.01,有没有免费提取视频音乐的软件 / 代理ip软件推荐 / 免费指纹浏览器 / 万能自动点击器连点器,腾讯会议app下载 → DOWNLOAD_INSTALL_NAMED_APP / Deep seek → NAME_ONLY_DISAMBIGUATION / 小火箭加速器 → CIRCUMVENTION_ACCESS,1
PLATFORM_RULES_VERDICT,平台规则与能力裁决,用户就某个平台或产品的规则、能力上限、隐私行为、真伪或可行性提出是或否或数值类问题，要的是判断和理由，而不是操作步骤。,获得明确的是或否结论、具体数值或原因解释，用户能据此决定下一步动作。,False,0.03,微信语音通话能被监听吗 / 微信视频可以录制下来吗 / 朋友圈视频最长多少秒 / 一个身份证能绑定几个微信,微信怎么注册 → COMPLETE_TASK_HOWTO / 微信怎么看对方有没有删除你 → SOCIAL_RELATIONSHIP_STATUS / excel数字变成了小数点 E 17怎么办 → FIX_MALFUNCTION_TROUBLESHOOT,2
SOCIAL_RELATIONSHIP_STATUS,判断社交关系状态与可见性,用户想确认自己是否被好友拉黑或删除、拉黑后对方会看到什么、还能否联系，以及如何验证这类社交关系状态。,获得可验证的判据，如朋友圈横线、转账或通话提示，或对对方可见性的明确解释，用户即满足。,False,0.02,微信怎么看对方有没有删除你 / 微信拉黑后对方显示什么 / 被对方拉黑了对方头像会显示灰色 / 微信拉黑了怎么办才能联系对方,拉黑和删除微信的区别 → PLATFORM_RULES_VERDICT / 微信好友删除后聊天记录还能找回吗 → RECOVER_LOST_DATA / 微信怎么注册 → COMPLETE_TASK_HOWTO,1
