sid,query,code
d000192,14周岁半的男孩身高应该有多少,EK
d001139,903解放军医院,JY
d001286,DX和CT哪个辐射大,JC
d004499,为什么绝经后宫颈偏硬？,FCK_FK
d004938,乳制品过敏最多能摄入多少乳类,PF
d004970,乳房上面有点痛是什么原因,WK_PW
d005216,乳酸偏高,NK_NF
d005822,人参健脾汤加减气虚,ZY
d006351,他克莫司软膏可以治龟头炎吗,NANKE
d007412,做了胃肠镜息肉切除后如何饮食,NK_XH
d007833,儿童做针管镜如何麻醉,EK
d008064,克霉唑乳膏,YP_GENERIC
d008489,内分泌科属于什么科,JY
d008789,凌晨闻到烟味怎么回事,EB
d009908,北京永林中西医结合医院,JY
d010044,医科大学附属医院昌吉分院,JY
d010162,十二指肠降段息肉体外位置,NK_XH
d010278,半个月的婴儿大便为绿色是怎么回事,EK
d012232,吃地诺出血要查hcg吗,FCK_FK
d012374,吃布洛芬可以喝酒吗,YP_GENERIC
d013316,呋塞米作用机制,YP_GENERIC
d013377,呼吸道感染可以喝阿莫西林克拉维酸钾吗,NK_HX
d013584,咽喉发白,EB
d013786,唇炎怎么治疗最好最快最有效,PF
d016969,头部受过猛烈撞击 后序多年偶发呕吐,WK_SJ
d017707,如何判断牙疼是上火,KQ
d019819,小孩打针的图片 输液,WFPD
d019944,小度小度。早上吃优甲乐3个小时可以吃红薯吗,NK_NF
d020637,尿道内破皮一直不愈合怎么治,WK_MN
d020819,屁股上长疙瘩还痒是怎么回事,PF
d022237,康弘药业,FYL
d023640,怎样使骨髓更健康,NK_XY
d024329,慢性咽炎的中医治疗方法,ZY
d025190,手背出汗吃什么中成药最好,ZY
d025215,手腕上有个凸起的疙瘩怎么回事,WK_GK
d025968,拉肚子拉不出来又想反胃是什么原因,NK_XH
d028331,有盆腔积液腹痛同房会加重吗,FCK_FK
d028948,枸杞发潮还能吃吗,YS
d029804,止血灵胶囊的功效和作用,YP_GENERIC
d029828,正常人会不会偶尔血压高,NK_XX
d030380,氨基葡萄糖吃多久一个疗程,WK_GK
d030455,氨钠片是什么,YP_GENERIC
d030812,沙库巴曲缬沙坦钠片的作用与功效,NK_XX
d032441,灰指甲荧光检测发现少量菌丝,PF
d032806,熟地功效作用与主治,ZY
d033723,玉米须黑木耳山楂一起泡水功效,YS
d035634,痛风的症状,NK_FS
d036244,百合作用与功效,YS
d036971,看妇科挂男医生好还是女的好,JY
d037613,石斛的功效与作用的功能,YS
d037699,"破璧灵芝孢子粉一天吃几次,饭前服用或是饭后服用?",YS
d038115,福韦利得,WFPD
d038795,糖化血红蛋白AIC9.1厉害吗,NK_NF
d040059,维生素b族里有叶黄素吗,YS
d040341,罗红霉素可以跟布洛芬甲硝唑一起吃吗,YP_GENERIC
d040910,"耳朵进水,摇晃有声音",EB
d041778,肝素的作用与功效,NK_XX
d043870,胰腺癌手术切除哪些器官,ZL
d045643,腹膜外剖宫产术与普通剖腹产区别,FCK_CK
d045925,"膝盖伸缩有响声,而且有点疼是啥病",WK_GK
d046064,自闭症儿童的行为特征有哪些,EK
d047394,菊花蒲公英金银花麦冬甘草黄芪煮水喝,YS
d049020,衢州人民医院耳鼻喉科哪个专家好,JY
d049505,西瓜霜润喉片有清热的作用吗,EB
d049575,见红多久能生,FCK_CK
d049834,谷丙转氨酶偏高说明什么原因,NK_XH
d049944,豆芽的功效与作用,YS
d050520,身体私处异昧怎么办,QK
d050811,输液贴的正确贴法视频,JY
d051129,这个处方有副作用吗,WFPD
d051454,邢亚楠医生,WFPD
d052173,铁蛋白高578.74,NK_XY
d052222,银杏仁可以吃吗,YS
d052521,长治妇幼产科一电话,JY
d052786,阴囊湿疹和肛门湿疹是什么原因,PF
d053414,降压片什么时候吃效果最好,NK_XX
d053545,隐翅虫咬后最有效的处理方法,PF
d054392,风寒感冒颗粒的功效与作用,NK_HX
d055047,骨折的人正在恢复期能吃阿胶吗,WK_GK
d056165,黄热疫苗在哪打,JY
