sid,source,多数,answer,form,goal,deepseek
INV0361,2026search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0598,assistant_random,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0148,2025search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0613,assistant_random,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
INV0105,2025search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0013,2025search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0161,2025search_rand,RULE,RULE,RULE,RULE,RULE
INV0666,assistant_voice,RULE,RULE,RULE,RULE,RULE
INV0487,assistant_random,INFO,INFO,INFO,INFO,INFO
INV0010,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0620,assistant_random,APPRAISE,APPRAISE,APPRAISE,APPRAISE,APPRAISE
INV0627,assistant_voice_top,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0646,assistant_voice,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0436,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0258,2026search,INFO,INFO,INFO,INFO,INFO
INV0302,2026search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0014,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0489,assistant_random,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0370,2026search_rand,APPRAISE,APPRAISE,APPRAISE,INFO,INFO
INV0099,2025search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0537,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0034,2025search,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0406,2026search_rand,INFO,INFO,INFO,INFO,INFO
INV0157,2025search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0213,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0423,assistant_top,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0292,2026search_rand,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0426,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0604,assistant_random,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0575,assistant_random,INFO,INFO,INFO,INFO,INFO
INV0045,2025search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
INV0435,assistant_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0145,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0624,assistant_voice_top,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0068,2025search_rand,RULE,RULE,RULE,RULE,RULE
INV0059,2025search_rand,INFO,INFO,INFO,INFO,INFO
INV0614,assistant_random,SELECT,SELECT,SELECT,SELECT,SELECT
INV0679,assistant_voice,APPRAISE,APPRAISE,APPRAISE,APPRAISE,RULE
INV0629,assistant_voice_top,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0215,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0554,assistant_random,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0018,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0510,assistant_random,SELECT,SELECT,SELECT,SELECT,SELECT
INV0337,2026search_rand,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0645,assistant_voice,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0137,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0251,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0022,2025search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0065,2025search_rand,RULE,RULE,RULE,RULE,RULE
INV0637,assistant_voice,UNSURE,UNSURE,UNSURE,UNSURE,UNSURE
INV0109,2025search_rand,SELECT,SELECT,SELECT,SELECT,SELECT
INV0083,2025search_rand,FORECAST,FORECAST,FORECAST,FORECAST,FORECAST
INV0246,2026search,SCREEN,SCREEN,SCREEN,SCREEN,SCREEN
INV0288,2026search_rand,INFO,INFO,INFO,INFO,INFO
INV0412,assistant_top,SELECT,SELECT,SELECT,SELECT,SELECT
INV0006,2025search,DECIDE,DECIDE,DECIDE,DECIDE,DECIDE
