sid,query,kind
n00000,"1个月内,1个月内",new
n00001,"1分钟中医体质自测,看清身体是湿气重、脾虚、还是气血不足",new
n00002,"1分钟体重自测,测测身材是标准、微胖,还是需要减重",new
n00003,"1分钟失眠自测,帮你看清是偶尔难睡,还是严重失眠",new
n00004,"1分钟营养自测,看清身体是不是缺铁、缺钙、缺维生素",new
n00005,"1分钟饮食自测,看清饮食习惯有没有埋下三高、肠道隐患",new
n00006,2.3到5.6（中重度）,new
n00007,24小时动态心电图,new
n00008,24小时尿蛋白定量,new
n00009,50-60岁血糖多少正常,new
n00010,60到70岁正常血糖值表,new
n00011,60至70岁血压一览表,new
n00012,60至70岁血糖一览表,new
n00013,70一80岁最新血糖,new
n00014,9月开学换季适合吃什么,new
n00015,bmi值正常标准是多少,new
n00016,b族维生素片有什么功效,new
n00017,c反应蛋白高说明什么,new
n00018,一上学就头痛恶心，是装病还是真病,new
n00019,一上学就肚子疼，是装病还是真的有病,new
n00020,一上课就犯困是睡眠不足还是厌学,new
n00021,一到换季就拉肚子，饮食上注意什么,new
n00022,三门峡市中心医院 主治医师 赵朵朵医生,new
n00023,上个月1号左右来的,new
n00024,上海交通大学医学院附属第九人民医院 主任医师 林东平医生,new
n00025,上课犯困吃什么提神,new
n00026,两只手、两只脚都麻,new
n00027,中医体质自测（湿气篇）,new
n00028,中国中医科学院广安门医院 主任医师 丁文涛医生,new
n00029,中国中医科学院西苑医院 主任医师 曹文兰医生,new
n00030,中度（影响部分活动）,new
n00031,中度，影响日常活动,new
n00032,中度，影响部分活动,new
n00033,中等量，需压迫止血,new
n00034,中药（黄精）什么功效,new
n00035,中青年得肝病致死率多高,new
n00036,临床显著性前列腺癌定义,new
n00037,丹参片和复方丹参片哪个好,new
n00038,主动脉粥样硬化风险自测,new
n00039,主要是莫名焦虑、心慌，总是担心各种事情,new
n00040,乌鲁木齐华夏医院是国家的还是私人的,new
n00041,了解哪三种人不宜吃,new
n00042,了解哪三种人不宜吃石榴,new
n00043,二甲双胍什么时候吃最好,new
n00044,二甲双胍片正确吃法,new
n00045,产后修复什么时候开始合适,new
n00046,产后修复和盆底肌训练的区别,new
n00047,人体疼痛部位对照表,new
n00048,人促甲状腺素注射液有啥功效,new
n00049,人参果的功效与作用,new
n00050,人参果的功效与作用人参果的营养价值,new
n00051,人工牛黄甲硝唑胶囊,new
n00052,他达拉非片的功效与作用,new
n00053,低密度脂蛋白正常值范围,new
n00054,低密度脂蛋白胆固醇,new
n00055,低密度脂蛋白胆固醇偏高说明什么问题,new
n00056,低血压最快补救方法,new
n00057,体检报告写“建议随访”代表什么,new
n00058,体检报告数值超出参考范围咋办,new
n00059,体检报告转氨酶轻度升高意味着什么,new
n00060,体检数据波动多少范围属于正常,new
n00061,体检空腹有什么讲究,new
n00062,"体重偏重（BMI≥24，身高170cm对应体重约69kg以上）,目前吸烟，或曾累计吸烟超过10年",new
n00063,便秘吃什么好最快排便的方法,new
n00064,做爱什么姿势最舒服,new
n00065,"做过,没做过,没做过",new
n00066,做过B超，结果正常,new
n00067,像洗肉水一样淡红色,new
n00068,儿童（12岁以下）,new
n00069,儿童（14岁以下）,new
n00070,光线稳定、照度合适的台灯,new
n00071,"入睡困难,半夜易醒",new
n00072,入睡困难或多梦易醒,new
n00073,六味地黄丸功效和作用,new
n00074,共同准备新学期用品,new
n00075,其他部位（请说明）,new
n00076,写作业时台灯放左边还是右边,new
n00077,写作业时开大灯还是只开台灯,new
n00078,减肥不吃晚饭行不行,new
n00079,几乎一直有，超3个月,new
n00080,几乎每晚，超3个月,new
n00081,几天可以排除狂犬病,new
n00082,刚开始服用（1周内）,new
n00083,功能性消化不良风险自测,new
n00084,北京中医药大学东方医院 主任医师 孟繁兴医生,new
n00085,北京中医药大学东方医院 主任医师 韩海啸医生,new
n00086,北京中医药大学第三附属医院 主任医师 王济医生,new
n00087,北京中医药大学第三附属医院 副主任医师 王冠医生,new
n00088,北京朝阳门中西医结合医院 主任医师 杜万君医生,new
n00089,医生您好，想了解高血糖的调理方法，以及血糖高的原因和应对措施。,new
n00090,十个信号说明你怀孕了,new
n00091,华中科技大学同济医学院附属协和医院 副主任医师 祝睿锐医生,new
n00092,华中阜外医院 副主任医师 王小虎医生,new
n00093,南方医科大学珠江医院 副主任医师 卢国杰医生,new
n00094,南瓜小米粥的功效与作用,new
n00095,南通文峰中西医结合医院,new
n00096,南阳市中医院 副主任医师 胡延立医生,new
n00097,南阳市中医院 副主任医师 黑秀明医生,new
n00098,厄贝沙坦片正确吃法,new
n00099,及时接回家进行隔离,new
n00100,双相情感障碍风险自测,new
n00101,反复发作超过1个月,new
n00102,反复强调成绩并与其他孩子比较,new
n00103,"反酸烧心,恶心呕吐",new
n00104,"反酸烧心,腹胀嗳气",new
n00105,口干舌燥总想喝凉水,new
