query,bu_leaf,bu_leaf_name,bu_family_final,bu_margin,bu_ambiguous,td_l1,td_confidence,td_margin,td_ambiguous,td_l2
孩子返校后，怎么做好健康防护？,31,查询健康症状处理办法,35,0.0168,True,TREATMENT_SEEKING,0.5158,0.2857,False,TREATMENT_SEEKING__1
新冠又反弹了现在感染症状有变化吗,30,查询疾病症状与诊疗信息,47,0.0971,False,OWN_CASE_VERDICT,0.3987,0.2045,False,OWN_CASE_VERDICT__5
暴雨天出门淋雨后怎么防止感冒,31,查询健康症状处理办法,35,0.0238,False,TREATMENT_SEEKING,0.8585,0.8151,False,TREATMENT_SEEKING__1
怎么判断自己有艾滋病,30,查询疾病症状与诊疗信息,47,0.0793,False,MEDICAL_KNOWLEDGE_LOOKUP,0.4867,0.1977,False,MEDICAL_KNOWLEDGE_LOOKUP__1
检查异常但没明显感觉先怎么办,31,查询健康症状处理办法,35,0.0999,False,TREATMENT_SEEKING,0.732,0.6287,False,TREATMENT_SEEKING__1
DNA的全称是什么,33,症状原因查询,37,0.0065,True,MEDICAL_KNOWLEDGE_LOOKUP,0.9762,0.9642,False,MEDICAL_KNOWLEDGE_LOOKUP__2
老年人食欲差不想吃饭怎么办,31,查询健康症状处理办法,35,0.1006,False,TREATMENT_SEEKING,0.9853,0.9795,False,TREATMENT_SEEKING__2
老人吃饭容易呛咳是什么原因,33,症状原因查询,37,0.101,False,SYMPTOM_CAUSE_LOOKUP,0.993,0.9898,False,SYMPTOM_CAUSE_LOOKUP__4
如何帮父母解读看不懂的体检报告,30,查询疾病症状与诊疗信息,47,0.0279,False,PROVIDER_NAVIGATION_AND_ADMIN,0.7095,0.6434,False,PROVIDER_NAVIGATION_AND_ADMIN__2
慢性肾病几期最严重,30,查询疾病症状与诊疗信息,47,0.0109,True,MEDICAL_KNOWLEDGE_LOOKUP,0.8461,0.7353,False,MEDICAL_KNOWLEDGE_LOOKUP__1
老人洗澡后容易头晕眼黑正常吗,19,判断身体症状或检查结果是否正常,32,0.1467,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.6741,0.4391,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
糖尿病肾病早期有哪些信号,18,血糖与糖尿病管理查询,46,0.0639,False,MEDICAL_KNOWLEDGE_LOOKUP,0.6948,0.5456,False,MEDICAL_KNOWLEDGE_LOOKUP__1
请帮我出几道健康减肥的题目,10,查询食物营养与健康影响,42,0.0461,False,TREATMENT_SEEKING,0.3544,0.1304,False,TREATMENT_SEEKING__2
父母身体健康最需要关注哪些科室,4,医生信息查询,44,0.0044,True,TREATMENT_SEEKING,0.6854,0.5217,False,TREATMENT_SEEKING__1
暑假运动量突然增加后肌肉酸痛怎么办,31,查询健康症状处理办法,35,0.0202,False,TREATMENT_SEEKING,0.9637,0.9445,False,TREATMENT_SEEKING__1
老年人肺炎有哪些症状,30,查询疾病症状与诊疗信息,47,0.0369,False,MEDICAL_KNOWLEDGE_LOOKUP,0.9242,0.8917,False,MEDICAL_KNOWLEDGE_LOOKUP__1
家庭日常消毒应该怎么做才正确,19,判断身体症状或检查结果是否正常,32,0.0098,True,TREATMENT_SEEKING,0.4586,0.0197,True,TREATMENT_SEEKING__1
如何判断体检异常结果是否严重,30,查询疾病症状与诊疗信息,47,0.0209,False,PROVIDER_NAVIGATION_AND_ADMIN,0.3082,0.0381,False,PROVIDER_NAVIGATION_AND_ADMIN__2
老人最近体重掉得快要先查什么,15,解读个人健康指标与用药疑问,29,0.0054,True,TREATMENT_SEEKING,0.4572,0.2848,False,TREATMENT_SEEKING__2
体检报告转氨酶轻度升高意味着什么,16,查询化验检查指标含义与异常原因,30,0.2005,False,OWN_CASE_VERDICT,0.9242,0.8671,False,OWN_CASE_VERDICT__1
成人三级视功能还能恢复吗,36,医疗恢复与检查时间查询,6,0.0326,False,RECOVERY_TIMELINE,0.2433,0.0558,False,RECOVERY_TIMELINE__2
这种情况会自己好吗？,30,查询疾病症状与诊疗信息,47,0.0204,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.5725,0.1953,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
常吃石榴有哪些好处,11,健康利弊查询,24,0.1453,False,PRODUCT_INFO_LOOKUP,0.7263,0.5803,False,PRODUCT_INFO_LOOKUP__2
老年人眼睛看不清是老花还是白内障,30,查询疾病症状与诊疗信息,47,0.0235,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.7854,0.728,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
吃了苦葫芦后头晕恶心严重吗,10,查询食物营养与健康影响,42,0.0114,True,EFFICACY_VERDICT,0.2782,0.0341,False,EFFICACY_VERDICT__1
工作焦虑导致胸闷心慌怎么缓解,17,查询心脑血管疾病诊疗信息,31,0.051,False,TREATMENT_SEEKING,0.9432,0.9164,False,TREATMENT_SEEKING__1
晚上突然不适但还没到急诊程度怎么办,31,查询健康症状处理办法,35,0.1138,False,TREATMENT_SEEKING,0.9296,0.8921,False,TREATMENT_SEEKING__1
下面一阵一阵舒服感怎么办,31,查询健康症状处理办法,35,0.103,False,TREATMENT_SEEKING,0.9937,0.9899,False,TREATMENT_SEEKING__1
儿童换季皮肤干痒如何做好日常护理,34,查询皮肤黏膜异常症状与处理建议,38,0.0769,False,TREATMENT_SEEKING,0.7395,0.551,False,TREATMENT_SEEKING__1
需要去医院做检查吗？,36,医疗恢复与检查时间查询,6,0.0063,True,PROVIDER_NAVIGATION_AND_ADMIN,0.9775,0.9654,False,PROVIDER_NAVIGATION_AND_ADMIN__2
慢性咽炎日常如何减少喉咙不适,35,呼吸道症状与用药建议查询,39,0.1586,False,TREATMENT_SEEKING,0.7955,0.666,False,TREATMENT_SEEKING__2
换眼角膜的费用大概多少,36,医疗恢复与检查时间查询,6,0.0982,False,PROVIDER_NAVIGATION_AND_ADMIN,0.9852,0.9788,False,PROVIDER_NAVIGATION_AND_ADMIN__2
月经总是不规律该看什么方向,29,解答月经避孕怀孕相关疑问,41,0.1222,False,TREATMENT_SEEKING,0.6011,0.4879,False,TREATMENT_SEEKING__2
手麻无力时如何判断是否和颈椎有关,26,查询骨科伤病诊疗与康复信息,43,0.037,False,SYMPTOM_CAUSE_LOOKUP,0.3046,0.0726,False,SYMPTOM_CAUSE_LOOKUP__2
心慌紧张是焦虑症吗,17,查询心脑血管疾病诊疗信息,31,0.0947,False,MEDICAL_KNOWLEDGE_LOOKUP,0.5364,0.1285,False,MEDICAL_KNOWLEDGE_LOOKUP__3
在家锻炼身体的方法,26,查询骨科伤病诊疗与康复信息,43,0.0288,False,TREATMENT_SEEKING,0.9212,0.9002,False,TREATMENT_SEEKING__1
高考视力矫正要提前多久做,36,医疗恢复与检查时间查询,6,0.1276,False,PROVIDER_NAVIGATION_AND_ADMIN,0.3126,0.1195,False,PROVIDER_NAVIGATION_AND_ADMIN__2
敏感肌能不能做光电项目,8,查询食物药物能否食用,16,0.0002,True,PERMISSION_VERDICT,0.9642,0.9525,False,PERMISSION_VERDICT__2
胃癌早期症状,30,查询疾病症状与诊疗信息,47,0.0843,False,MEDICAL_KNOWLEDGE_LOOKUP,0.9327,0.8924,False,MEDICAL_KNOWLEDGE_LOOKUP__1
二硫碘化钾是什么意思,16,查询化验检查指标含义与异常原因,30,0.0351,False,MEDICAL_KNOWLEDGE_LOOKUP,0.9693,0.9454,False,MEDICAL_KNOWLEDGE_LOOKUP__2
hpv疫苗有必要打吗,30,查询疾病症状与诊疗信息,47,0.0526,False,MEDICAL_KNOWLEDGE_LOOKUP,0.7783,0.707,False,MEDICAL_KNOWLEDGE_LOOKUP__1
我想了解对乙酰氨基酚,24,药品用法与相互作用查询,19,0.0067,True,PRODUCT_INFO_LOOKUP,0.4535,0.1965,False,PRODUCT_INFO_LOOKUP__1
体检报告血糖临界值需要复查吗,18,血糖与糖尿病管理查询,46,0.0856,False,OWN_CASE_VERDICT,0.9027,0.8799,False,OWN_CASE_VERDICT__1
睡觉打鼾伴随憋醒怎么办,31,查询健康症状处理办法,35,0.1613,False,TREATMENT_SEEKING,0.894,0.8267,False,TREATMENT_SEEKING__1
服用他达拉非片多久才能起效果?,24,药品用法与相互作用查询,19,0.1382,False,DOSAGE_ADMINISTRATION,0.7825,0.7092,False,DOSAGE_ADMINISTRATION__2
高考视力矫正没到18岁能做吗,15,解读个人健康指标与用药疑问,29,0.0627,False,PERMISSION_VERDICT,0.7684,0.6491,False,PERMISSION_VERDICT__2
夏天学生出门如何选择防晒方式,4,医生信息查询,44,0.0161,True,TREATMENT_SEEKING,0.677,0.5688,False,TREATMENT_SEEKING__1
体检报告提示复查时需要准备哪些资料,36,医疗恢复与检查时间查询,6,0.0557,False,PROVIDER_NAVIGATION_AND_ADMIN,0.7593,0.6544,False,PROVIDER_NAVIGATION_AND_ADMIN__2
我想了解胃食管反流,35,呼吸道症状与用药建议查询,39,0.0703,False,MEDICAL_KNOWLEDGE_LOOKUP,0.3031,0.0386,False,MEDICAL_KNOWLEDGE_LOOKUP__3
每天吃榴莲对身体好吗,10,查询食物营养与健康影响,42,0.072,False,EFFICACY_VERDICT,0.4446,0.3043,False,EFFICACY_VERDICT__1
中青年得肝病致死率多高,16,查询化验检查指标含义与异常原因,30,0.0206,False,MEDICAL_KNOWLEDGE_LOOKUP,0.8231,0.6982,False,MEDICAL_KNOWLEDGE_LOOKUP__1
我想了解莫匹罗星软膏,24,药品用法与相互作用查询,19,0.0965,False,PRODUCT_INFO_LOOKUP,0.7402,0.6527,False,PRODUCT_INFO_LOOKUP__1
暑假带娃出游中暑怎么急救,31,查询健康症状处理办法,35,0.0741,False,TREATMENT_SEEKING,0.8864,0.8503,False,TREATMENT_SEEKING__1
右佐匹克隆片最多能吃几片？,24,药品用法与相互作用查询,19,0.0311,False,DOSAGE_ADMINISTRATION,0.7722,0.7032,False,DOSAGE_ADMINISTRATION__1
中药（黄精）什么功效,20,功效作用与副作用查询,3,0.0495,False,PRODUCT_INFO_LOOKUP,0.9568,0.9266,False,PRODUCT_INFO_LOOKUP__2
产后修复能不能在家做,36,医疗恢复与检查时间查询,6,0.0048,True,RECOVERY_TIMELINE,0.6022,0.4676,False,RECOVERY_TIMELINE__1
体检报告数值超出参考范围咋办,16,查询化验检查指标含义与异常原因,30,0.0279,False,OWN_CASE_VERDICT,0.5066,0.2133,False,OWN_CASE_VERDICT__1
女医生做勃起试验紧张怎么办,31,查询健康症状处理办法,35,0.1354,False,TREATMENT_SEEKING,0.9522,0.9299,False,TREATMENT_SEEKING__1
人参果的功效与作用人参果的营养价值,23,查询物品功效与作用,25,0.1225,False,PRODUCT_INFO_LOOKUP,0.9071,0.8386,False,PRODUCT_INFO_LOOKUP__2
尿酸高的原因,16,查询化验检查指标含义与异常原因,30,0.0372,False,MEDICAL_KNOWLEDGE_LOOKUP,0.5289,0.1484,False,MEDICAL_KNOWLEDGE_LOOKUP__2
谷维素的作用,20,功效作用与副作用查询,3,0.1124,False,PRODUCT_INFO_LOOKUP,0.9734,0.9576,False,PRODUCT_INFO_LOOKUP__2
我想了解肠易激综合征,30,查询疾病症状与诊疗信息,47,0.0073,True,MEDICAL_KNOWLEDGE_LOOKUP,0.2481,0.0331,False,MEDICAL_KNOWLEDGE_LOOKUP__3
这些习惯加速皮肤衰老,34,查询皮肤黏膜异常症状与处理建议,38,0.0117,True,MEDICAL_KNOWLEDGE_LOOKUP,0.8658,0.8033,False,MEDICAL_KNOWLEDGE_LOOKUP__2
美瞳线带尾巴和不带尾巴区别,34,查询皮肤黏膜异常症状与处理建议,38,0.0059,True,ENTITY_COMPARISON,0.7622,0.6977,False,ENTITY_COMPARISON__2
生脉饮有几种,25,中药与中成药信息查询,26,0.0584,False,PRODUCT_INFO_LOOKUP,0.2904,0.0064,True,PRODUCT_INFO_LOOKUP__2
脑鸣耳鸣和脑供血有关吗,17,查询心脑血管疾病诊疗信息,31,0.1119,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.3627,0.0707,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
摘掉角膜塑形镜后会变回原来的状态吗,36,医疗恢复与检查时间查询,6,0.0319,False,RECOVERY_TIMELINE,0.4432,0.2958,False,RECOVERY_TIMELINE__2
老人最近总忘事是正常衰老还是痴呆前兆,19,判断身体症状或检查结果是否正常,32,0.0383,False,DIAGNOSIS_PROGNOSIS_VERDICT,0.71,0.4909,False,DIAGNOSIS_PROGNOSIS_VERDICT__5
