外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
医疗恢复与检查时间查询,传统搜索随机1w,健康管家随机1w,349,517,0.1521,0.1271,True,查询术后、伤后或治疗后的恢复时间线,21.2,查询术后、伤后或治疗后的恢复时间线,25.92,True
查询食物药物能否食用,传统搜索随机1w,健康管家随机1w,215,235,0.089,0.1179,False,判断个人情形下能否做某事或吃某物,67.91,判断个人情形下能否做某事或吃某物,71.49,True
查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,健康管家随机1w,571,612,0.1414,0.0991,True,查询症状或体征的原因,52.36,查询症状或体征的原因,42.32,True
血糖与糖尿病管理查询,传统搜索随机1w,健康管家随机1w,209,196,0.1328,0.1676,False,查询医学名词、检查、疫苗或疾病定义,29.19,判读个人测量值、检查结果或自身发现,23.98,False
查询疾病症状与诊疗信息,传统搜索随机1w,健康管家随机1w,645,731,0.159,0.0851,True,查询医学名词、检查、疫苗或疾病定义,47.13,查询医学名词、检查、疫苗或疾病定义,37.35,True
查询中医机构、医生与术语,传统搜索随机1w,健康管家随机1w,149,31,0.5099,0.2637,True,就医导航、机构核实与医疗行政事务,67.11,寻求症状或疾病的治疗方案与用药推荐,25.81,False
查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,健康管家随机1w,357,410,0.0445,0.1062,False,判断个人情形下能否做某事或吃某物,60.22,判断个人情形下能否做某事或吃某物,60.24,True
药品用法与相互作用查询,传统搜索随机1w,健康管家随机1w,601,745,0.1406,0.095,True,查询药品、药材、保健品或食物的基本信息与功效,35.27,查询具体药物的用法、剂量与疗程,26.17,False
查询食物营养与健康影响,传统搜索随机1w,健康管家随机1w,536,463,0.1735,0.1173,True,查询医学名词、检查、疫苗或疾病定义,25.19,查询医学名词、检查、疫苗或疾病定义,18.14,True
呼吸道症状与用药建议查询,传统搜索随机1w,健康管家随机1w,390,505,0.1242,0.1125,True,查询症状或体征的原因,46.67,查询症状或体征的原因,41.78,True
查询骨科伤病诊疗与康复信息,传统搜索随机1w,健康管家随机1w,443,412,0.276,0.1294,True,查询医学名词、检查、疫苗或疾病定义,26.19,寻求症状或疾病的治疗方案与用药推荐,19.17,False
症状原因查询#33,传统搜索随机1w,健康管家随机1w,283,278,0.0514,0.0622,False,查询症状或体征的原因,84.81,查询症状或体征的原因,87.77,True
中药与中成药信息查询,传统搜索随机1w,健康管家随机1w,500,405,0.1671,0.1116,True,查询药品、药材、保健品或食物的基本信息与功效,34.6,查询药品、药材、保健品或食物的基本信息与功效,27.65,True
血压问题查询,传统搜索随机1w,健康管家随机1w,135,173,0.1764,0.1935,False,判读个人测量值、检查结果或自身发现,34.81,判读个人测量值、检查结果或自身发现,47.4,True
功效作用与副作用查询,传统搜索随机1w,健康管家随机1w,486,479,0.0638,0.0776,False,查询药品、药材、保健品或食物的基本信息与功效,79.63,查询药品、药材、保健品或食物的基本信息与功效,75.37,True
食物药物同食同服查询,传统搜索随机1w,健康管家随机1w,146,101,0.0366,0.0981,False,判断药物、食物、酒类之间的相互作用,86.99,判断药物、食物、酒类之间的相互作用,86.14,True
病症用药饮食查询,传统搜索随机1w,健康管家随机1w,276,301,0.0592,0.0676,False,寻求症状或疾病的治疗方案与用药推荐,86.59,寻求症状或疾病的治疗方案与用药推荐,89.7,True
查询身体不适症状原因,传统搜索随机1w,健康管家随机1w,293,446,0.0658,0.0998,False,查询症状或体征的原因,66.21,查询症状或体征的原因,68.16,True
肢体不适症状查询,传统搜索随机1w,健康管家随机1w,288,322,0.0935,0.1361,False,查询症状或体征的原因,44.44,查询症状或体征的原因,48.45,True
症状原因查询#32,传统搜索随机1w,健康管家随机1w,380,405,0.0166,0.0264,False,查询症状或体征的原因,97.63,查询症状或体征的原因,96.3,True
查询物品功效与作用,传统搜索随机1w,健康管家随机1w,100,110,0.0209,0.04,False,查询药品、药材、保健品或食物的基本信息与功效,97.0,查询药品、药材、保健品或食物的基本信息与功效,99.09,True
医院及医生信息查询,传统搜索随机1w,健康管家随机1w,541,70,0.1138,0.0617,True,就医导航、机构核实与医疗行政事务,97.97,就医导航、机构核实与医疗行政事务,87.14,True
查询心脑血管疾病诊疗信息,传统搜索随机1w,健康管家随机1w,275,317,0.1667,0.1398,True,查询医学名词、检查、疫苗或疾病定义,41.82,查询医学名词、检查、疫苗或疾病定义,35.33,True
健康利弊查询,传统搜索随机1w,健康管家随机1w,98,97,0.0858,0.1729,False,查询药品、药材、保健品或食物的基本信息与功效,58.16,查询药品、药材、保健品或食物的基本信息与功效,55.67,True
解答婴幼儿喂养与奶类营养问题,传统搜索随机1w,健康管家随机1w,103,194,0.1073,0.2133,False,判断个人情形下能否做某事或吃某物,23.3,判断个人情形下能否做某事或吃某物,26.29,True
解答月经避孕怀孕相关疑问,传统搜索随机1w,健康管家随机1w,229,267,0.1314,0.1722,False,查询医学名词、检查、疫苗或疾病定义,16.59,判读个人测量值、检查结果或自身发现,16.1,False
查询健康症状处理办法,传统搜索随机1w,健康管家随机1w,204,308,0.0646,0.0936,False,寻求症状或疾病的治疗方案与用药推荐,82.35,寻求症状或疾病的治疗方案与用药推荐,81.82,True
查询化验检查指标含义与异常原因,传统搜索随机1w,健康管家随机1w,271,322,0.1604,0.1343,True,查询医学名词、检查、疫苗或疾病定义,38.38,判读个人测量值、检查结果或自身发现,48.76,False
