key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
HOME_DEVICE_SELFTEST__1,HOME_DEVICE_SELFTEST__1,15,12,0.4207,8.33,16.67,3,0.401,0.0,0.0,,,0.4167
PROCEDURE_EXPERIENCE__1,PROCEDURE_EXPERIENCE__1,58,31,0.4467,3.23,22.58,27,0.3858,11.11,18.52,健康管家随机1w,0.0609,0.4184
CONTEXT_DEPENDENT_FOLLOW_UP__1,CONTEXT_DEPENDENT_FOLLOW_UP__1,28,14,0.4724,0.0,14.29,14,0.4741,14.29,7.14,,,0.4732
CONTEXT_DEPENDENT_FOLLOW_UP__2,CONTEXT_DEPENDENT_FOLLOW_UP__2,127,30,0.4735,3.33,20.0,97,0.5081,7.22,27.84,传统搜索随机1w,0.0346,0.4999
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,197,76,0.4776,6.58,22.37,121,0.5251,4.13,11.57,传统搜索随机1w,0.0475,0.5068
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,103,57,0.5101,3.51,19.3,46,0.5304,6.52,30.43,传统搜索随机1w,0.0203,0.5192
CONTEXT_DEPENDENT_FOLLOW_UP__3,CONTEXT_DEPENDENT_FOLLOW_UP__3,166,83,0.5101,4.82,34.94,83,0.5477,2.41,33.73,传统搜索随机1w,0.0376,0.5289
ACUTE_EMERGENCY_TRIAGE__1,ACUTE_EMERGENCY_TRIAGE__1,125,59,0.5422,6.78,23.73,66,0.5459,3.03,27.27,传统搜索随机1w,0.0037,0.5442
DIAGNOSIS_PROGNOSIS_VERDICT__3,DIAGNOSIS_PROGNOSIS_VERDICT__3,147,49,0.5121,0.0,28.57,98,0.5619,4.08,25.51,传统搜索随机1w,0.0498,0.5453
REPRODUCTIVE_TIMELINE__1,REPRODUCTIVE_TIMELINE__1,89,38,0.5447,2.63,5.26,51,0.5505,3.92,13.73,传统搜索随机1w,0.0058,0.548
DIAGNOSIS_PROGNOSIS_VERDICT__4,DIAGNOSIS_PROGNOSIS_VERDICT__4,243,116,0.5423,3.45,27.59,127,0.5576,4.72,24.41,传统搜索随机1w,0.0153,0.5503
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,93,36,0.5954,2.78,16.67,57,0.5224,1.75,17.54,健康管家随机1w,0.073,0.5506
EFFICACY_VERDICT__1,EFFICACY_VERDICT__1,383,194,0.5658,4.12,16.49,189,0.5592,5.82,23.28,健康管家随机1w,0.0066,0.5625
RECOVERY_TIMELINE__1,RECOVERY_TIMELINE__1,197,70,0.5963,2.86,17.14,127,0.5476,3.15,11.81,健康管家随机1w,0.0487,0.5649
MEDICAL_KNOWLEDGE_LOOKUP__3,MEDICAL_KNOWLEDGE_LOOKUP__3,1176,662,0.5681,3.17,30.36,514,0.5726,2.92,26.85,传统搜索随机1w,0.0045,0.5701
INTERACTION_VERDICT__1,INTERACTION_VERDICT__1,71,41,0.612,9.76,9.76,30,0.5276,3.33,30.0,健康管家随机1w,0.0844,0.5764
EFFICACY_VERDICT__2,EFFICACY_VERDICT__2,435,220,0.5892,2.27,28.18,215,0.5693,3.72,30.7,健康管家随机1w,0.0199,0.5794
MEDICAL_KNOWLEDGE_LOOKUP__2,MEDICAL_KNOWLEDGE_LOOKUP__2,902,497,0.5797,2.41,20.12,405,0.585,4.94,17.78,传统搜索随机1w,0.0053,0.5821
OWN_CASE_VERDICT__4,OWN_CASE_VERDICT__4,364,126,0.5802,2.38,30.95,238,0.5849,7.14,27.73,传统搜索随机1w,0.0047,0.5833
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,158,60,0.5903,3.33,16.67,98,0.592,2.04,20.41,传统搜索随机1w,0.0017,0.5913
HEALTH_VALUE_CALCULATION__1,HEALTH_VALUE_CALCULATION__1,99,49,0.6109,2.04,14.29,50,0.5907,8.0,10.0,健康管家随机1w,0.0202,0.6007
ENTITY_COMPARISON__2,ENTITY_COMPARISON__2,124,69,0.6329,4.35,37.68,55,0.5705,7.27,25.45,健康管家随机1w,0.0624,0.6052
DIAGNOSIS_PROGNOSIS_VERDICT__5,DIAGNOSIS_PROGNOSIS_VERDICT__5,294,115,0.6156,5.22,21.74,179,0.6043,2.79,20.11,健康管家随机1w,0.0113,0.6087
DIAGRAM_MEDIA_LOOKUP__1,DIAGRAM_MEDIA_LOOKUP__1,297,178,0.6006,3.93,20.22,119,0.6394,2.52,25.21,传统搜索随机1w,0.0388,0.6162
RECOVERY_TIMELINE__2,RECOVERY_TIMELINE__2,154,63,0.5762,3.17,25.4,91,0.6571,2.2,18.68,传统搜索随机1w,0.0809,0.624
DIAGNOSIS_PROGNOSIS_VERDICT__6,DIAGNOSIS_PROGNOSIS_VERDICT__6,178,81,0.6255,1.23,24.69,97,0.6377,0.0,29.9,传统搜索随机1w,0.0122,0.6321
DIAGNOSIS_PROGNOSIS_VERDICT__1,DIAGNOSIS_PROGNOSIS_VERDICT__1,220,83,0.623,4.82,32.53,137,0.654,4.38,26.28,传统搜索随机1w,0.031,0.6423
ENTITY_COMPARISON__3,ENTITY_COMPARISON__3,127,72,0.6562,6.94,15.28,55,0.6302,0.0,20.0,健康管家随机1w,0.026,0.6449
ENTITY_COMPARISON__1,ENTITY_COMPARISON__1,190,76,0.655,3.95,11.84,114,0.6466,3.51,22.81,健康管家随机1w,0.0084,0.6499
INTERACTION_VERDICT__3,INTERACTION_VERDICT__3,217,124,0.6668,3.23,8.87,93,0.6394,3.23,11.83,健康管家随机1w,0.0274,0.6551
PERMISSION_VERDICT__2,PERMISSION_VERDICT__2,564,254,0.6468,2.76,20.47,310,0.664,1.29,24.52,传统搜索随机1w,0.0172,0.6562
OWN_CASE_VERDICT__5,OWN_CASE_VERDICT__5,466,142,0.6063,6.34,19.72,324,0.6839,3.09,24.07,传统搜索随机1w,0.0776,0.6603
MEDICAL_KNOWLEDGE_LOOKUP__1,MEDICAL_KNOWLEDGE_LOOKUP__1,626,322,0.6639,3.42,31.99,304,0.6887,2.96,22.37,传统搜索随机1w,0.0248,0.676
PRODUCT_INFO_LOOKUP__1,PRODUCT_INFO_LOOKUP__1,983,513,0.687,2.34,19.3,470,0.6659,2.55,21.06,健康管家随机1w,0.0211,0.6769
DIAGNOSIS_PROGNOSIS_VERDICT__2,DIAGNOSIS_PROGNOSIS_VERDICT__2,187,55,0.6617,1.82,23.64,132,0.6987,2.27,21.97,传统搜索随机1w,0.037,0.6878
INTERACTION_VERDICT__2,INTERACTION_VERDICT__2,270,125,0.7329,3.2,16.8,145,0.6528,2.07,15.86,健康管家随机1w,0.0801,0.6899
OWN_CASE_VERDICT__3,OWN_CASE_VERDICT__3,253,109,0.6996,1.83,14.68,144,0.6868,3.47,15.28,健康管家随机1w,0.0128,0.6923
OWN_CASE_VERDICT__2,OWN_CASE_VERDICT__2,228,94,0.7304,1.06,15.96,134,0.6842,3.73,14.93,健康管家随机1w,0.0462,0.7033
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,1113,487,0.7241,3.29,22.18,626,0.7188,2.24,20.29,健康管家随机1w,0.0053,0.7211
PROVIDER_NAVIGATION_AND_ADMIN__2,PROVIDER_NAVIGATION_AND_ADMIN__2,540,344,0.7535,2.03,27.62,196,0.7248,2.55,24.49,健康管家随机1w,0.0287,0.7431
PERMISSION_VERDICT__1,PERMISSION_VERDICT__1,872,396,0.7435,2.02,12.12,476,0.7511,2.31,9.45,传统搜索随机1w,0.0076,0.7477
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,1256,551,0.7491,2.54,16.33,705,0.7542,1.56,18.01,传统搜索随机1w,0.0051,0.752
PRODUCT_INFO_LOOKUP__2,PRODUCT_INFO_LOOKUP__2,1176,647,0.769,1.7,10.66,529,0.7815,1.7,9.26,传统搜索随机1w,0.0125,0.7746
SYMPTOM_CAUSE_LOOKUP__3,SYMPTOM_CAUSE_LOOKUP__3,635,289,0.7912,1.04,14.53,346,0.7646,2.6,19.94,健康管家随机1w,0.0266,0.7767
SYMPTOM_CAUSE_LOOKUP__5,SYMPTOM_CAUSE_LOOKUP__5,588,290,0.7904,1.72,16.9,298,0.773,0.67,17.45,健康管家随机1w,0.0174,0.7816
SYMPTOM_CAUSE_LOOKUP__1,SYMPTOM_CAUSE_LOOKUP__1,742,359,0.7857,1.39,16.16,383,0.782,1.04,14.88,健康管家随机1w,0.0037,0.7838
SYMPTOM_CAUSE_LOOKUP__4,SYMPTOM_CAUSE_LOOKUP__4,738,345,0.7932,2.32,15.65,393,0.7824,0.51,15.27,健康管家随机1w,0.0108,0.7874
OWN_CASE_VERDICT__6,OWN_CASE_VERDICT__6,182,74,0.817,0.0,10.81,108,0.7849,1.85,3.7,健康管家随机1w,0.0321,0.798
SYMPTOM_CAUSE_LOOKUP__2,SYMPTOM_CAUSE_LOOKUP__2,756,331,0.8096,2.42,13.9,425,0.7971,0.71,13.41,健康管家随机1w,0.0125,0.8026
OWN_CASE_VERDICT__1,OWN_CASE_VERDICT__1,367,143,0.8045,0.7,11.19,224,0.8204,1.79,14.73,传统搜索随机1w,0.0159,0.8142
PROVIDER_NAVIGATION_AND_ADMIN__1,PROVIDER_NAVIGATION_AND_ADMIN__1,797,749,0.9166,0.4,9.35,48,0.9132,0.0,12.5,健康管家随机1w,0.0034,0.9164
