key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
29,解答月经避孕怀孕相关疑问,496,229,0.5177,6.11,11.35,267,0.5401,2.25,11.99,传统搜索随机1w,0.0224,0.5297
10,查询食物营养与健康影响,999,536,0.5294,5.6,23.13,463,0.5315,4.97,23.33,传统搜索随机1w,0.0021,0.5304
36,医疗恢复与检查时间查询,866,349,0.5888,5.44,19.2,517,0.5726,3.68,16.44,健康管家随机1w,0.0162,0.5791
26,查询骨科伤病诊疗与康复信息,855,443,0.5679,5.64,26.41,412,0.6035,4.13,23.54,传统搜索随机1w,0.0356,0.5851
7,解答婴幼儿喂养与奶类营养问题,297,103,0.6002,1.94,19.42,194,0.5816,5.67,12.89,健康管家随机1w,0.0186,0.588
24,药品用法与相互作用查询,1346,601,0.6171,2.66,23.13,745,0.5826,3.36,22.55,健康管家随机1w,0.0345,0.598
13,特定场景饮品饮用适宜性查询,513,260,0.6059,3.46,11.54,253,0.5973,3.16,19.76,健康管家随机1w,0.0086,0.6016
25,中药与中成药信息查询,905,500,0.6113,2.8,25.0,405,0.5996,2.96,27.9,健康管家随机1w,0.0117,0.606
11,健康利弊查询,195,98,0.613,3.06,1.02,97,0.6035,1.03,5.15,健康管家随机1w,0.0095,0.6083
34,查询皮肤黏膜异常症状与处理建议,1183,571,0.6395,2.8,28.2,612,0.6146,2.29,26.14,健康管家随机1w,0.0249,0.6266
17,查询心脑血管疾病诊疗信息,592,275,0.6182,1.82,19.64,317,0.65,4.42,18.61,传统搜索随机1w,0.0318,0.6353
27,肢体不适症状查询,610,288,0.6335,3.47,20.83,322,0.6541,2.17,26.09,传统搜索随机1w,0.0206,0.6444
15,解读个人健康指标与用药疑问,526,226,0.6218,3.54,19.91,300,0.6908,4.0,23.67,传统搜索随机1w,0.069,0.6611
18,血糖与糖尿病管理查询,405,209,0.6668,3.83,9.57,196,0.6647,4.08,9.18,健康管家随机1w,0.0021,0.6658
9,查询特定健康或用药情形下能否吃某物或做某事,767,357,0.665,1.68,11.76,410,0.6683,3.9,13.66,传统搜索随机1w,0.0033,0.6668
30,查询疾病症状与诊疗信息,1376,645,0.6679,3.26,37.67,731,0.6937,1.78,30.51,传统搜索随机1w,0.0258,0.6816
35,呼吸道症状与用药建议查询,895,390,0.6851,2.05,26.15,505,0.7056,1.58,27.52,传统搜索随机1w,0.0205,0.6967
14,血压问题查询,308,135,0.7076,2.96,4.44,173,0.6918,4.62,8.09,健康管家随机1w,0.0158,0.6987
16,查询化验检查指标含义与异常原因,593,271,0.698,1.11,23.62,322,0.7221,2.17,18.32,传统搜索随机1w,0.0241,0.7111
8,查询食物药物能否食用,450,215,0.7112,0.47,16.74,235,0.7114,3.4,13.62,传统搜索随机1w,0.0002,0.7113
28,查询身体不适症状原因,739,293,0.7177,1.37,23.21,446,0.7189,2.47,21.97,传统搜索随机1w,0.0012,0.7184
6,食物药物同食同服查询,247,146,0.7523,4.11,4.79,101,0.7617,1.98,5.94,传统搜索随机1w,0.0094,0.7562
4,医生信息查询,236,184,0.7764,1.63,18.48,52,0.7104,1.92,28.85,健康管家随机1w,0.066,0.7619
3,查询中医机构、医生与术语,180,149,0.7806,1.34,12.08,31,0.6876,6.45,9.68,健康管家随机1w,0.093,0.7646
19,判断身体症状或检查结果是否正常,435,182,0.8168,1.65,7.69,253,0.7758,1.98,9.09,健康管家随机1w,0.041,0.7929
31,查询健康症状处理办法,512,204,0.8198,0.0,11.76,308,0.7991,0.65,10.39,健康管家随机1w,0.0207,0.8073
20,功效作用与副作用查询,965,486,0.8259,1.65,20.78,479,0.8187,1.46,20.67,健康管家随机1w,0.0072,0.8224
12,病症用药饮食查询,577,276,0.8369,1.09,13.41,301,0.8443,0.33,11.63,传统搜索随机1w,0.0074,0.8408
33,症状原因查询#33,561,283,0.913,0.0,7.77,278,0.8985,1.08,8.27,健康管家随机1w,0.0145,0.9058
0,查询医疗机构联系电话,81,75,0.9234,0.0,0.0,6,0.8182,0.0,0.0,传统搜索随机1w,,0.9156
23,查询物品功效与作用,210,100,0.9253,0.0,1.0,110,0.9354,0.0,0.91,传统搜索随机1w,0.0101,0.9306
1,医院及医生信息查询,611,541,0.9483,0.37,10.54,70,0.8683,0.0,18.57,健康管家随机1w,0.08,0.9392
32,症状原因查询#32,785,380,0.9509,0.0,6.58,405,0.9322,0.49,6.91,健康管家随机1w,0.0187,0.9412
