key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
30,查询疾病症状与诊疗信息,用户提出关于某个疾病、症状或检查结果的查询后，得到针对该问题的症状表现、病因、诊断、分期、治疗方案或预后说明即满足。,1376,6.773,645,6.45,5.985,6.948,7.861,731,7.086,6.607,7.597,7.524,47.65,0.9523,0.953,52.35,1.0462,1.047,2,,,健康管家随机1w,传统搜索随机1w,0.636,1.1,1,2,查询医学名词、检查、疫苗或疾病定义,41.9,4.0,True,用户提出关于某个疾病、症状或检查结果的查询后，得到针对该问题的症状表现、病因、诊断、分期、治疗方案或预后说明即满足。
24,药品用法与相互作用查询,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。,1346,6.625,601,6.01,5.561,6.493,4.724,745,7.222,6.738,7.737,6.819,45.42,0.9071,0.9084,54.58,1.09,1.0916,2,,,健康管家随机1w,传统搜索随机1w,1.212,1.2,2,1,查询药品、药材、保健品或食物的基本信息与功效,29.6,4.0,True,用户获得所问药品或保健品的服用方法、能否同服、服用间隔、副作用、起效时间、剂型或品牌选择等具体说明后即满足。
34,查询皮肤黏膜异常症状与处理建议,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。,1183,5.823,571,5.71,5.272,6.182,8.597,612,5.933,5.493,6.405,7.603,49.04,0.9806,0.9809,50.96,1.0188,1.0191,2,,,健康管家随机1w,传统搜索随机1w,0.223,1.04,3,3,查询症状或体征的原因,47.2,4.0,True,用户描述身体部位（皮肤、私处、黏膜）出现的疙瘩、红点、水疱、瘙痒、出血等症状后，获得针对该症状的可能原因、是否传染、是否需要用药及具体护理或就医建议即满足。
10,查询食物营养与健康影响,用户提交有关食物、保健补充剂或饮食方式的问题后，获得其对体重、胃肠、维生素补充或睡眠的具体影响以及摄入或服用建议后满意。,999,4.917,536,5.36,4.935,5.819,4.301,463,4.488,4.105,4.905,4.122,54.43,1.09,1.0885,45.57,0.9127,0.9115,2,,,传统搜索随机1w,健康管家随机1w,0.872,1.19,5,7,查询医学名词、检查、疫苗或疾病定义,21.9,4.0,True,用户提交有关食物、保健补充剂或饮食方式的问题后，获得其对体重、胃肠、维生素补充或睡眠的具体影响以及摄入或服用建议后满意。
20,功效作用与副作用查询,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。,965,4.75,486,4.86,4.456,5.299,8.084,479,4.643,4.254,5.066,8.257,51.14,1.0232,1.0228,48.86,0.9775,0.9772,2,,,传统搜索随机1w,健康管家随机1w,0.217,1.05,7,6,查询药品、药材、保健品或食物的基本信息与功效,77.5,4.0,,用户想了解某个具体事物（药物、食物、植物、身体部位等）的功效、作用、用途、副作用或危害，得到针对该对象的清晰说明后即满足。
25,中药与中成药信息查询,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。,905,4.455,500,5.0,4.59,5.445,6.898,405,3.926,3.568,4.318,3.901,56.02,1.1224,1.1203,43.98,0.8813,0.8797,2,,,传统搜索随机1w,健康管家随机1w,1.074,1.27,6,11,查询药品、药材、保健品或食物的基本信息与功效,31.5,4.0,True,用户查询某种中药或中成药，获得该药的成分、配方、配伍、功效、剂型、价格或购买渠道等明确信息后即满足。
35,呼吸道症状与用药建议查询,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。,895,4.405,390,3.9,3.538,4.297,3.449,505,4.895,4.495,5.329,4.157,44.34,0.8853,0.8868,55.66,1.1112,1.1132,2,,,健康管家随机1w,传统搜索随机1w,0.995,1.26,9,5,查询症状或体征的原因,43.9,2.0,True,用户描述咳嗽、喉咙痛、鼻塞、流鼻涕、有痰等呼吸道症状后，获得可能的病因判断（如是否感冒、鼻炎）以及对应的用药或护理建议，即得到满足。
36,医疗恢复与检查时间查询,用户提出具体医疗或健康问题后，获得该问题对应的恢复时间、检查频率、概率或护理要求等明确答案即满足。,866,4.263,349,3.49,3.148,3.868,3.667,517,5.012,4.607,5.45,4.663,41.05,0.8187,0.821,58.95,1.1757,1.179,2,,,健康管家随机1w,传统搜索随机1w,1.522,1.44,12,4,查询术后、伤后或治疗后的恢复时间线,24.0,3.0,True,用户提出具体医疗或健康问题后，获得该问题对应的恢复时间、检查频率、概率或护理要求等明确答案即满足。
26,查询骨科伤病诊疗与康复信息,用户输入骨折、脊柱、椎间盘或骨关节损伤相关的位置、治疗、康复训练、药物或图示问题后，获得针对该具体问题的医学说明即满足。,855,4.209,443,4.43,4.044,4.851,4.861,412,3.994,3.633,4.389,3.666,52.59,1.0526,1.0518,47.41,0.949,0.9482,2,,,传统搜索随机1w,健康管家随机1w,0.436,1.11,8,9,查询医学名词、检查、疫苗或疾病定义,19.8,2.0,True,用户输入骨折、脊柱、椎间盘或骨关节损伤相关的位置、治疗、康复训练、药物或图示问题后，获得针对该具体问题的医学说明即满足。
32,症状原因查询#32,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。,785,3.864,380,3.8,3.443,4.193,2.854,405,3.926,3.568,4.318,3.445,49.18,0.9834,0.9837,50.82,1.016,1.0163,2,,,健康管家随机1w,传统搜索随机1w,0.126,1.03,10,11,查询症状或体征的原因,96.9,4.0,True,在描述某个身体或心理异常表现后，用户希望获得可能导致该表现的医学原因或机制解释。
