key,类目,全语料条数,传统搜索随机1w_n,传统搜索随机1w_置信度均值,传统搜索随机1w_意图歧义%,传统搜索随机1w_聚类歧义%,健康管家随机1w_n,健康管家随机1w_置信度均值,健康管家随机1w_意图歧义%,健康管家随机1w_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,15,12,0.4207,8.33,16.67,3,0.401,0.0,0.0,,,0.4167
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,58,31,0.4467,3.23,22.58,27,0.3858,11.11,18.52,健康管家随机1w,0.0609,0.4184
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,321,127,0.4973,3.94,29.13,194,0.5226,5.67,28.87,传统搜索随机1w,0.0253,0.5126
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,551,229,0.5337,4.37,19.21,322,0.5457,3.42,18.01,传统搜索随机1w,0.012,0.5407
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,125,59,0.5422,6.78,23.73,66,0.5459,3.03,27.27,传统搜索随机1w,0.0037,0.5442
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,89,38,0.5447,2.63,5.26,51,0.5505,3.92,13.73,传统搜索随机1w,0.0058,0.548
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,818,414,0.5782,3.14,22.71,404,0.5646,4.7,27.23,健康管家随机1w,0.0136,0.5715
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,351,133,0.5868,3.01,21.05,218,0.5933,2.75,14.68,传统搜索随机1w,0.0065,0.5908
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,2704,1481,0.5928,2.97,27.28,1223,0.6056,3.6,22.73,传统搜索随机1w,0.0128,0.5986
HEALTH_VALUE_CALCULATION,计算健康相关数值,99,49,0.6109,2.04,14.29,50,0.5907,8.0,10.0,健康管家随机1w,0.0202,0.6007
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,1269,499,0.5963,3.21,26.25,770,0.6204,3.12,24.16,传统搜索随机1w,0.0241,0.6109
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,297,178,0.6006,3.93,20.22,119,0.6394,2.52,25.21,传统搜索随机1w,0.0388,0.6162
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,441,217,0.6484,5.07,21.2,224,0.6239,3.57,22.77,健康管家随机1w,0.0245,0.6359
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,558,290,0.6876,4.14,12.41,268,0.6342,2.61,16.04,健康管家随机1w,0.0534,0.6619
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,1860,688,0.6971,2.33,17.73,1172,0.6996,3.67,19.03,传统搜索随机1w,0.0025,0.6987
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,1436,650,0.7057,2.31,15.38,786,0.7167,1.91,15.39,传统搜索随机1w,0.011,0.7118
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,2159,1160,0.7327,1.98,14.48,999,0.7271,2.1,14.81,健康管家随机1w,0.0056,0.7301
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,2369,1038,0.7374,2.89,19.08,1331,0.7375,1.88,19.08,传统搜索随机1w,0.0001,0.7375
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,3459,1614,0.794,1.8,15.43,1845,0.7809,1.08,15.99,健康管家随机1w,0.0131,0.787
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,1337,1093,0.8653,0.91,15.1,244,0.7619,2.05,22.13,健康管家随机1w,0.1034,0.8464
