层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,传统搜索随机1w,1,SYMPTOM_CAUSE_LOOKUP,1614,16.14,11.502909962341663
自上而下 L1 意图,传统搜索随机1w,2,MEDICAL_KNOWLEDGE_LOOKUP,1481,14.81,17.104587470044503
自上而下 L1 意图,传统搜索随机1w,3,PRODUCT_INFO_LOOKUP,1160,11.6,18.392673741869224
自上而下 L1 意图,传统搜索随机1w,4,PROVIDER_NAVIGATION_AND_ADMIN,1093,10.93,10.578568983224923
自上而下 L1 意图,传统搜索随机1w,5,TREATMENT_SEEKING,1038,10.38,12.602704553235194
自上而下 L1 意图,传统搜索随机1w,6,OWN_CASE_VERDICT,688,6.88,4.6858952413557
自上而下 L1 意图,传统搜索随机1w,7,PERMISSION_VERDICT,650,6.5,4.129578911331736
自上而下 L1 意图,传统搜索随机1w,8,DIAGNOSIS_PROGNOSIS_VERDICT,499,4.99,3.43204382060938
自上而下 L1 意图,传统搜索随机1w,9,EFFICACY_VERDICT,414,4.14,3.025504964053406
自上而下 L1 意图,传统搜索随机1w,10,INTERACTION_VERDICT,290,2.9,1.6775077028414926
自上而下 L1 意图,健康管家随机1w,1,SYMPTOM_CAUSE_LOOKUP,1845,17.884839084916635,15.945330296127562
自上而下 L1 意图,健康管家随机1w,2,TREATMENT_SEEKING,1331,12.902287708414114,13.041002277904328
自上而下 L1 意图,健康管家随机1w,3,MEDICAL_KNOWLEDGE_LOOKUP,1223,11.855370298565335,12.492881548974943
自上而下 L1 意图,健康管家随机1w,4,OWN_CASE_VERDICT,1172,11.360992632803413,9.830580865603645
自上而下 L1 意图,健康管家随机1w,5,PRODUCT_INFO_LOOKUP,999,9.683986041101202,14.0375854214123
自上而下 L1 意图,健康管家随机1w,6,PERMISSION_VERDICT,786,7.619232260566111,6.855068337129841
自上而下 L1 意图,健康管家随机1w,7,DIAGNOSIS_PROGNOSIS_VERDICT,770,7.464133385032959,8.542141230068337
自上而下 L1 意图,健康管家随机1w,8,EFFICACY_VERDICT,404,3.9162466072120976,3.8154897494305238
自上而下 L1 意图,健康管家随机1w,9,DOSAGE_ADMINISTRATION,322,3.1213648701046917,3.1890660592255125
自上而下 L1 意图,健康管家随机1w,10,INTERACTION_VERDICT,268,2.5979061651803024,2.2067198177676537
自上而下 L2 子意图,传统搜索随机1w,1,PROVIDER_NAVIGATION_AND_ADMIN__1,749,7.49,6.906881205066757
自上而下 L2 子意图,传统搜索随机1w,2,MEDICAL_KNOWLEDGE_LOOKUP__3,662,6.62,5.45190003423485
自上而下 L2 子意图,传统搜索随机1w,3,PRODUCT_INFO_LOOKUP__2,647,6.47,11.943683669976032
自上而下 L2 子意图,传统搜索随机1w,4,TREATMENT_SEEKING__2,551,5.51,7.959602875727489
自上而下 L2 子意图,传统搜索随机1w,5,PRODUCT_INFO_LOOKUP__1,513,5.13,6.448990071893186
自上而下 L2 子意图,传统搜索随机1w,6,MEDICAL_KNOWLEDGE_LOOKUP__2,497,4.97,4.925539198904484
自上而下 L2 子意图,传统搜索随机1w,7,TREATMENT_SEEKING__1,487,4.87,4.643101677507702
自上而下 L2 子意图,传统搜索随机1w,8,PERMISSION_VERDICT__1,396,3.96,2.6489216021910296
自上而下 L2 子意图,传统搜索随机1w,9,SYMPTOM_CAUSE_LOOKUP__1,359,3.59,2.5761725436494345
自上而下 L2 子意图,传统搜索随机1w,10,SYMPTOM_CAUSE_LOOKUP__4,345,3.45,2.6617596713454286
自上而下 L2 子意图,健康管家随机1w,1,TREATMENT_SEEKING__2,705,6.834044203179527,6.869305239179955
自上而下 L2 子意图,健康管家随机1w,2,TREATMENT_SEEKING__1,626,6.068243505234587,6.171697038724374
自上而下 L2 子意图,健康管家随机1w,3,PRODUCT_INFO_LOOKUP__2,529,5.127956572314851,7.6167425968109335
自上而下 L2 子意图,健康管家随机1w,4,MEDICAL_KNOWLEDGE_LOOKUP__3,514,4.982551376502521,5.189350797266514
自上而下 L2 子意图,健康管家随机1w,5,PERMISSION_VERDICT__1,476,4.614191547111283,4.050398633257403
自上而下 L2 子意图,健康管家随机1w,6,PRODUCT_INFO_LOOKUP__1,470,4.556029468786352,6.420842824601367
自上而下 L2 子意图,健康管家随机1w,7,SYMPTOM_CAUSE_LOOKUP__2,425,4.11981388134936,3.6304100227790435
自上而下 L2 子意图,健康管家随机1w,8,MEDICAL_KNOWLEDGE_LOOKUP__2,405,3.92594028693292,4.093109339407745
自上而下 L2 子意图,健康管家随机1w,9,SYMPTOM_CAUSE_LOOKUP__4,393,3.8096161302830556,3.181947608200456
自上而下 L2 子意图,健康管家随机1w,10,SYMPTOM_CAUSE_LOOKUP__1,383,3.7126793330748353,3.438211845102506
自下而上 家族,传统搜索随机1w,1,47,645,6.45,7.861177678877096
自下而上 家族,传统搜索随机1w,2,19,601,6.01,4.724409448818897
自下而上 家族,传统搜索随机1w,3,38,571,5.71,8.59722697706265
自下而上 家族,传统搜索随机1w,4,20,541,5.41,5.439061965080451
自下而上 家族,传统搜索随机1w,5,42,536,5.36,4.300753166723724
自下而上 家族,传统搜索随机1w,6,26,500,5.0,6.898322492297158
自下而上 家族,传统搜索随机1w,7,3,486,4.86,8.083704210886681
自下而上 家族,传统搜索随机1w,8,43,443,4.43,4.861348853132488
自下而上 家族,传统搜索随机1w,9,39,390,3.9,3.449161246148579
自下而上 家族,传统搜索随机1w,10,36,380,3.8,2.8543307086614176
自下而上 家族,健康管家随机1w,1,19,745,7.221791392012408,6.819476082004556
