key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
36,医疗恢复与检查时间查询,传统搜索随机1w,显著低于其余全部,349,10000,3.49,5.012,-0.968,1
36,医疗恢复与检查时间查询,健康管家随机1w,显著高于其余全部,517,10316,5.012,3.49,0.968,1
3,查询中医机构、医生与术语,传统搜索随机1w,显著高于其余全部,149,10000,1.49,0.301,0.937,1
3,查询中医机构、医生与术语,健康管家随机1w,显著低于其余全部,31,10316,0.301,1.49,-0.937,1
24,药品用法与相互作用查询,传统搜索随机1w,显著低于其余全部,601,10000,6.01,7.222,-0.528,1
24,药品用法与相互作用查询,健康管家随机1w,显著高于其余全部,745,10316,7.222,6.01,0.528,1
10,查询食物营养与健康影响,传统搜索随机1w,显著高于其余全部,536,10000,5.36,4.488,0.277,1
10,查询食物营养与健康影响,健康管家随机1w,显著低于其余全部,463,10316,4.488,5.36,-0.277,1
35,呼吸道症状与用药建议查询,传统搜索随机1w,显著低于其余全部,390,10000,3.9,4.895,-0.432,1
35,呼吸道症状与用药建议查询,健康管家随机1w,显著高于其余全部,505,10316,4.895,3.9,0.432,1
25,中药与中成药信息查询,传统搜索随机1w,显著高于其余全部,500,10000,5.0,3.926,0.507,1
25,中药与中成药信息查询,健康管家随机1w,显著低于其余全部,405,10316,3.926,5.0,-0.507,1
6,食物药物同食同服查询,传统搜索随机1w,显著高于其余全部,146,10000,1.46,0.979,0.179,1
6,食物药物同食同服查询,健康管家随机1w,显著低于其余全部,101,10316,0.979,1.46,-0.179,1
28,查询身体不适症状原因,传统搜索随机1w,显著低于其余全部,293,10000,2.93,4.323,-0.881,1
28,查询身体不适症状原因,健康管家随机1w,显著高于其余全部,446,10316,4.323,2.93,0.881,1
1,医院及医生信息查询,传统搜索随机1w,显著高于其余全部,541,10000,5.41,0.679,4.269,1
1,医院及医生信息查询,健康管家随机1w,显著低于其余全部,70,10316,0.679,5.41,-4.269,1
7,解答婴幼儿喂养与奶类营养问题,传统搜索随机1w,显著低于其余全部,103,10000,1.03,1.881,-0.523,1
7,解答婴幼儿喂养与奶类营养问题,健康管家随机1w,显著高于其余全部,194,10316,1.881,1.03,0.523,1
31,查询健康症状处理办法,传统搜索随机1w,显著低于其余全部,204,10000,2.04,2.986,-0.516,1
31,查询健康症状处理办法,健康管家随机1w,显著高于其余全部,308,10316,2.986,2.04,0.516,1
4,医生信息查询,传统搜索随机1w,显著高于其余全部,184,10000,1.84,0.504,1.045,1
4,医生信息查询,健康管家随机1w,显著低于其余全部,52,10316,0.504,1.84,-1.045,1
19,判断身体症状或检查结果是否正常,传统搜索随机1w,显著低于其余全部,182,10000,1.82,2.453,-0.235,1
19,判断身体症状或检查结果是否正常,健康管家随机1w,显著高于其余全部,253,10316,2.453,1.82,0.235,1
15,解读个人健康指标与用药疑问,传统搜索随机1w,显著低于其余全部,226,10000,2.26,2.908,-0.212,1
15,解读个人健康指标与用药疑问,健康管家随机1w,显著高于其余全部,300,10316,2.908,2.26,0.212,1
0,查询医疗机构联系电话,传统搜索随机1w,显著高于其余全部,75,10000,0.75,0.058,0.526,1
0,查询医疗机构联系电话,健康管家随机1w,显著低于其余全部,6,10316,0.058,0.75,-0.526,1
