key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,,1256,6.182,551,5.51,5.08,5.975,7.96,705,6.834,6.363,7.337,6.869,44.64,0.8913,0.8927,55.36,1.1054,1.1073,2,,,健康管家随机1w,传统搜索随机1w,1.324,1.24,4,1,病症用药饮食查询,35.2,如何每天保持好心情 / 泌尿感染吃什么药 / 食管炎反流吃什么药？
MEDICAL_KNOWLEDGE_LOOKUP__3,MEDICAL_KNOWLEDGE_LOOKUP__3,,1176,5.789,662,6.62,6.149,7.124,5.452,514,4.983,4.579,5.419,5.189,57.06,1.1436,1.1411,42.94,0.8608,0.8589,2,,,传统搜索随机1w,健康管家随机1w,1.637,1.33,2,4,查询疾病症状与诊疗信息,16.3,女性到达顶峰什么症状 / 每天走路最先瘦哪里 / 强直性脊柱炎并发症
PRODUCT_INFO_LOOKUP__2,PRODUCT_INFO_LOOKUP__2,,1176,5.789,647,6.47,6.004,6.969,11.944,529,5.128,4.719,5.571,7.617,55.79,1.1177,1.1157,44.21,0.8859,0.8843,2,,,传统搜索随机1w,健康管家随机1w,1.342,1.26,3,3,功效作用与副作用查询,41.3,木姜子 / 合香珠的功效 / 金匮肾气丸功效
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,,1113,5.478,487,4.87,4.465,5.309,4.643,626,6.068,5.624,6.546,6.172,44.52,0.8889,0.8905,55.48,1.1077,1.1095,2,,,健康管家随机1w,传统搜索随机1w,1.198,1.25,7,2,查询健康症状处理办法,26.5,类风湿手指肿胀如何消除 / 霉菌阴道炎阴道炎外阴炎 / 眼结石怎么消除
PRODUCT_INFO_LOOKUP__1,PRODUCT_INFO_LOOKUP__1,,983,4.839,513,5.13,4.715,5.58,6.449,470,4.556,4.17,4.976,6.421,52.96,1.0602,1.0593,47.04,0.9416,0.9407,2,,,传统搜索随机1w,健康管家随机1w,0.574,1.13,5,6,药品用法与相互作用查询,40.3,红曲米有什么副作用吗 / 幽门螺杆菌囗腔抑菌膏 / 非诺贝特胶囊的功效
MEDICAL_KNOWLEDGE_LOOKUP__2,MEDICAL_KNOWLEDGE_LOOKUP__2,,902,4.44,497,4.97,4.561,5.414,4.926,405,3.926,3.568,4.318,4.093,55.87,1.1194,1.1174,44.13,0.8843,0.8826,2,,,传统搜索随机1w,健康管家随机1w,1.044,1.27,6,8,查询食物营养与健康影响,21.2,阴虚是什么意思 / 心肌缺血什么症状 / 吃黄精对身体有什么好处
PERMISSION_VERDICT__1,PERMISSION_VERDICT__1,,872,4.292,396,3.96,3.595,4.36,2.649,476,4.614,4.226,5.036,4.05,46.19,0.9226,0.9237,53.81,1.075,1.0763,2,,,健康管家随机1w,传统搜索随机1w,0.654,1.17,8,5,查询特定健康或用药情形下能否吃某物或做某事,28.1,糖尿病人能吃南瓜吗 / 长芽的土豆能不能吃 / 燕窝能不能每天吃？
PROVIDER_NAVIGATION_AND_ADMIN__1,PROVIDER_NAVIGATION_AND_ADMIN__1,,797,3.923,749,7.49,6.99,8.022,6.907,48,0.465,0.351,0.616,0.392,94.15,1.9092,1.883,5.85,0.1186,0.117,2,,,传统搜索随机1w,健康管家随机1w,7.025,16.1,1,46,医院及医生信息查询,58.3,南京市第一医院 / 北京宣武预约挂号 / 上海第二人民医院
SYMPTOM_CAUSE_LOOKUP__2,SYMPTOM_CAUSE_LOOKUP__2,,756,3.721,331,3.31,2.977,3.679,2.174,425,4.12,3.753,4.521,3.63,44.55,0.8895,0.891,55.45,1.1071,1.109,2,,,健康管家随机1w,传统搜索随机1w,0.81,1.24,12,7,查询身体不适症状原因,33.3,"左腿酸痛 / 腰身一挺,缓缓律动,疼是怎么回事 / 手指关节疼怎么回事"
SYMPTOM_CAUSE_LOOKUP__1,SYMPTOM_CAUSE_LOOKUP__1,,742,3.652,359,3.59,3.243,3.973,2.576,383,3.713,3.365,4.095,3.438,49.16,0.9829,0.9832,50.84,1.0165,1.0168,2,,,健康管家随机1w,传统搜索随机1w,0.123,1.03,9,10,查询皮肤黏膜异常症状与处理建议,44.2,淋巴结肿大的原因 / 眼睛干涩痒什么原因 / 女性玫瑰糠疹要警惕
SYMPTOM_CAUSE_LOOKUP__4,SYMPTOM_CAUSE_LOOKUP__4,,738,3.633,345,3.45,3.11,3.826,2.662,393,3.81,3.457,4.197,3.182,47.52,0.9497,0.9505,52.48,1.0487,1.0495,2,,,健康管家随机1w,传统搜索随机1w,0.36,1.1,10,9,呼吸道症状与用药建议查询,43.9,呛水 / 嗓子痒痒老想咳嗽怎么回事 / 孩子隔三差五说肚子疼
SYMPTOM_CAUSE_LOOKUP__3,SYMPTOM_CAUSE_LOOKUP__3,,635,3.126,289,2.89,2.579,3.237,2.033,346,3.354,3.024,3.719,3.274,46.28,0.9246,0.9257,53.72,1.0731,1.0743,2,,,健康管家随机1w,传统搜索随机1w,0.464,1.16,15,11,症状原因查询,44.9,胆红素高的原因 / 成绩好的学生就不会有开学焦虑？ / 头发掉得很严重是什么原因
MEDICAL_KNOWLEDGE_LOOKUP__1,MEDICAL_KNOWLEDGE_LOOKUP__1,,626,3.081,322,3.22,2.892,3.584,6.727,304,2.947,2.638,3.291,3.21,52.21,1.045,1.0443,47.79,0.9564,0.9557,2,,,传统搜索随机1w,健康管家随机1w,0.273,1.09,13,14,查询疾病症状与诊疗信息,58.9,胰腺癌怎么引起的 / 乙肝五项哪几个阳性属于正常 / 胰腺炎是大病还是小病
SYMPTOM_CAUSE_LOOKUP__5,SYMPTOM_CAUSE_LOOKUP__5,,588,2.894,290,2.9,2.589,3.247,2.058,298,2.889,2.583,3.23,2.42,50.1,1.002,1.0019,49.9,0.9981,0.9981,2,,,传统搜索随机1w,健康管家随机1w,0.011,1.0,14,15,症状原因查询,41.2,粉色分泌物怎么回事 / 放屁很臭 / 有屎拉不出来
PERMISSION_VERDICT__2,PERMISSION_VERDICT__2,,564,2.776,254,2.54,2.249,2.867,1.481,310,3.005,2.693,3.352,2.805,45.81,0.9149,0.9161,54.19,1.0825,1.0839,2,,,健康管家随机1w,传统搜索随机1w,0.465,1.18,16,13,查询特定健康或用药情形下能否吃某物或做某事,38.5,性精子可以口吃吗 / 尿路感染可以吃阿莫西林吗 / 用保妇康栓可以同房吗
PROVIDER_NAVIGATION_AND_ADMIN__2,PROVIDER_NAVIGATION_AND_ADMIN__2,,540,2.658,344,3.44,3.1,3.815,3.672,196,1.9,1.654,2.182,1.651,64.42,1.2942,1.2884,35.58,0.7148,0.7116,2,,,传统搜索随机1w,健康管家随机1w,1.54,1.81,11,19,医院及医生信息查询,23.3,印堂在什么位置 / 查骨龄挂什么科 / 直肠癌手术费用大约多少钱
OWN_CASE_VERDICT__5,OWN_CASE_VERDICT__5,,466,2.294,142,1.42,1.206,1.671,0.959,324,3.141,2.821,3.495,2.911,31.14,0.6191,0.6227,68.86,1.3693,1.3773,2,,,健康管家随机1w,传统搜索随机1w,1.721,2.21,21,12,查询疾病症状与诊疗信息,20.4,"胆结石多少mm以上建议手术 / 升主动脉增宽45mm用不用治疗 / l4、5,l5、s1椎间盘突出"
EFFICACY_VERDICT__2,EFFICACY_VERDICT__2,,435,2.141,220,2.2,1.93,2.506,1.665,215,2.084,1.826,2.378,2.086,51.35,1.0275,1.027,48.65,0.9734,0.973,2,,,传统搜索随机1w,健康管家随机1w,0.116,1.06,17,18,中药与中成药信息查询,26.2,独活寄生丸对腰间盘突出有效吗 / 开学前熬夜补作业能顺便调整作息吗 / 黛力新副作用真的那么可怕吗
EFFICACY_VERDICT__1,EFFICACY_VERDICT__1,,383,1.885,194,1.94,1.688,2.229,1.361,189,1.832,1.591,2.109,1.73,51.43,1.0291,1.0286,48.57,0.9718,0.9714,2,,,传统搜索随机1w,健康管家随机1w,0.108,1.06,18,20,查询食物营养与健康影响,34.5,喝绿茶能降血压吗 / 晚上穿袜子睡觉的好处 / 饿了吃黄瓜能减肥吗
OWN_CASE_VERDICT__1,OWN_CASE_VERDICT__1,,367,1.806,143,1.43,1.215,1.682,0.954,224,2.171,1.907,2.471,1.922,39.71,0.7916,0.7941,60.29,1.202,1.2059,2,,,健康管家随机1w,传统搜索随机1w,0.741,1.52,20,17,查询化验检查指标含义与异常原因,54.8,载脂蛋白b偏高 / 宇头升血糖吗 / 癌抗原724
OWN_CASE_VERDICT__4,OWN_CASE_VERDICT__4,,364,1.792,126,1.26,1.059,1.498,0.706,238,2.307,2.035,2.615,1.829,35.32,0.7032,0.7065,64.68,1.2877,1.2935,2,,,健康管家随机1w,传统搜索随机1w,1.047,1.83,22,16,解读个人健康指标与用药疑问,25.3,"八十八岁老年痴呆卧床吞咽困难,已十六天没怎么吃东 / 缺维生素d3 / 游离前列腺特异性抗原测定作为普通人群入院常规检查"
DIAGRAM_MEDIA_LOOKUP__1,DIAGRAM_MEDIA_LOOKUP__1,,297,1.462,178,1.78,1.539,2.058,2.212,119,1.154,0.965,1.379,1.054,60.68,1.2176,1.2135,39.32,0.7891,0.7865,2,,,传统搜索随机1w,健康管家随机1w,0.626,1.54,19,30,查询骨科伤病诊疗与康复信息,51.5,闭口性粉刺图片 / 腿部穴位图片大全 / 阴虱虫子图片症状
DIAGNOSIS_PROGNOSIS_VERDICT__5,DIAGNOSIS_PROGNOSIS_VERDICT__5,,294,1.447,115,1.15,0.959,1.379,0.8,179,1.735,1.501,2.006,1.481,39.86,0.7947,0.7972,60.14,1.199,1.2028,2,,,健康管家随机1w,传统搜索随机1w,0.585,1.51,26,21,查询心脑血管疾病诊疗信息,32.3,甲状腺功能减退有什么后果 / 不算很严重的肝肾阴虚得治疗多久不算很严重的肝肾阴 / 发烧不退什么病症
INTERACTION_VERDICT__2,INTERACTION_VERDICT__2,,270,1.329,125,1.25,1.05,1.487,0.693,145,1.406,1.196,1.652,1.167,47.07,0.9406,0.9414,52.93,1.0576,1.0586,2,,,健康管家随机1w,传统搜索随机1w,0.156,1.12,23,22,药品用法与相互作用查询,42.6,"这几天刚吃的阿司匹林肠溶片就肚子疼,给吃阿司匹林 / 鲨鱼软骨素钙片还需要单独吃钙片 / 吃了西地那非没有过性生活对身体有害吗"
