层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9988,9995,0.9774,5,True,0.0918,0.0788,0.1062,0.04,True,0.1108
自上而下 L1 意图,2025搜索,助手头部1k,9988,850,0.1445,3,False,0.7066,0.6822,0.7309,0.0918,True,0.6063
自上而下 L1 意图,2025搜索,助手随机1k,9988,953,-0.1094,2,False,0.6277,0.6037,0.6569,0.1134,True,0.6472
自上而下 L1 意图,2026搜索,助手头部1k,9995,850,0.1862,3,False,0.7278,0.7035,0.7522,0.0966,True,0.6138
自上而下 L1 意图,2026搜索,助手随机1k,9995,953,-0.1086,2,False,0.6509,0.6279,0.678,0.1134,True,0.6429
自上而下 L1 意图,助手头部1k,助手随机1k,850,953,0.6245,3,True,0.41,0.3777,0.4499,0.1106,True,0.4822
自上而下 L2 子意图,2025搜索,2026搜索,9988,9995,0.9297,3,False,0.1014,0.096,0.1224,0.0628,True,0.1267
自上而下 L2 子意图,2025搜索,助手头部1k,9988,850,0.2479,0,False,0.7226,0.6988,0.7492,0.1412,True,0.6344
自上而下 L2 子意图,2025搜索,助手随机1k,9988,953,0.3,0,False,0.6517,0.633,0.6812,0.1471,True,0.6791
自上而下 L2 子意图,2026搜索,助手头部1k,9995,850,0.1967,0,False,0.7445,0.7261,0.7704,0.1435,True,0.6502
自上而下 L2 子意图,2026搜索,助手随机1k,9995,953,0.2642,0,False,0.6771,0.6565,0.7081,0.1534,True,0.6712
自上而下 L2 子意图,助手头部1k,助手随机1k,850,953,0.5399,2,False,0.5673,0.5355,0.6116,0.1553,True,0.6353
自下而上 家族,2025搜索,2026搜索,9988,9995,0.936,5,True,0.084,0.0779,0.1015,0.0423,True,0.1034
自下而上 家族,2025搜索,助手头部1k,9988,850,0.3843,4,False,0.4566,0.4306,0.4854,0.0989,True,0.3123
自下而上 家族,2025搜索,助手随机1k,9988,953,0.338,4,False,0.6025,0.5721,0.6351,0.0861,True,0.733
自下而上 家族,2026搜索,助手头部1k,9995,850,0.3379,4,False,0.507,0.4809,0.5341,0.1059,True,0.3297
自下而上 家族,2026搜索,助手随机1k,9995,953,0.3509,4,False,0.6029,0.5814,0.6377,0.0841,True,0.7185
自下而上 家族,助手头部1k,助手随机1k,850,953,0.8355,5,False,0.5456,0.519,0.5881,0.1013,True,0.5927
自下而上 叶,2025搜索,2026搜索,9988,9995,0.9197,4,True,0.0877,0.082,0.1059,0.0484,True,0.1119
自下而上 叶,2025搜索,助手头部1k,9988,850,0.0548,2,False,0.6036,0.5766,0.6332,0.1247,True,0.5755
自下而上 叶,2025搜索,助手随机1k,9988,953,0.2329,3,False,0.6591,0.6323,0.6856,0.0946,True,0.7428
自下而上 叶,2026搜索,助手头部1k,9995,850,-0.0854,2,False,0.6263,0.6054,0.6555,0.1176,True,0.5863
自下而上 叶,2026搜索,助手随机1k,9995,953,0.1384,3,False,0.671,0.6475,0.7,0.0987,True,0.7298
自下而上 叶,助手头部1k,助手随机1k,850,953,0.7564,4,False,0.5622,0.5332,0.6018,0.1271,True,0.6184
