key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,4764,19983,23.84,103,1803,5.713,-18.128,-19.275,-16.821,True,两界面都有,,,,2.12
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,2784,19983,13.932,16,1803,0.887,-13.044,-13.639,-12.319,True,两界面都有,,,,0.57
LOOK_UP_DEFINITION,查询词语或概念的含义,2608,19983,13.051,72,1803,3.993,-9.058,-9.997,-7.952,True,两界面都有,,,,2.69
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,1298,19983,6.496,18,1803,0.998,-5.497,-6.004,-4.833,True,两界面都有,,,,1.37
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,1012,19983,5.064,13,1803,0.721,-4.343,-4.776,-3.755,True,两界面都有,,,,1.27
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,803,19983,4.018,7,1803,0.388,-3.63,-3.975,-3.142,True,两界面都有,,,,0.86
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,811,19983,4.058,13,1803,0.721,-3.337,-3.749,-2.764,True,两界面都有,,,,1.58
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,701,19983,3.508,7,1803,0.388,-3.12,-3.451,-2.641,True,两界面都有,,,,0.99
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,541,19983,2.707,9,1803,0.499,-2.208,-2.541,-1.712,True,两界面都有,,,,1.64
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,386,19983,1.932,6,1803,0.333,-1.599,-1.868,-1.167,True,两界面都有,,,,1.53
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,447,19983,2.237,15,1803,0.832,-1.405,-1.796,-0.834,True,两界面都有,,,,3.25
LEARN_HOW_TO_WRITE,学习某类文字怎么写,443,19983,2.217,19,1803,1.054,-1.163,-1.597,-0.545,True,两界面都有,,,,4.11
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,320,19983,1.601,16,1803,0.887,-0.714,-1.101,-0.14,True,两界面都有,,,,4.76
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,106,19983,0.53,5,1803,0.277,-0.253,-0.447,0.128,False,两界面都有,,,,4.5
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,188,19983,0.941,52,1803,2.884,1.943,1.25,2.83,True,两界面都有,,,,21.67
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,152,19983,0.761,93,1803,5.158,4.397,3.459,5.523,True,两界面都有,,,,37.96
GENERATE_OR_EDIT_IMAGE,生成或修改图片,8,19983,0.04,82,1803,4.548,4.508,3.638,5.57,True,两界面都有,,,,91.11
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,2182,19983,10.919,405,1803,22.463,11.543,9.625,13.572,True,两界面都有,,,,15.66
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,44,19983,0.22,230,1803,12.757,12.536,11.073,14.157,True,两界面都有,,,,83.94
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,385,19983,1.927,622,1803,34.498,32.571,30.403,34.804,True,两界面都有,,,,61.77
