key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
NAVIGATE_TO_SITE__4,NAVIGATE_TO_SITE__4,助手头部1k,850,218,20936,1.041,8.85,0.0001,0.433,2026搜索,1.271,真缺席
NAVIGATE_TO_SITE__4,NAVIGATE_TO_SITE__4,助手随机1k,953,218,20833,1.046,9.97,0.0,0.386,2026搜索,1.271,真缺席
OBTAIN_OCCASION_GREETING_IMAGE__2,OBTAIN_OCCASION_GREETING_IMAGE__2,助手头部1k,850,326,20936,1.557,13.24,0.0,0.433,2026搜索,1.881,真缺席
NAVIGATE_TO_SITE__2,NAVIGATE_TO_SITE__2,助手头部1k,850,370,20936,1.767,15.02,0.0,0.433,2026搜索,1.941,真缺席
OBTAIN_READY_TO_POST_COPY__2,OBTAIN_READY_TO_POST_COPY__2,助手随机1k,953,256,20833,1.229,11.71,0.0,0.386,2025搜索,1.352,真缺席
OBTAIN_PERSONAL_DECOR_IMAGE__2,OBTAIN_PERSONAL_DECOR_IMAGE__2,助手随机1k,953,150,20833,0.72,6.86,0.001,0.386,2026搜索,0.78,真缺席
OBTAIN_PERSONAL_DECOR_IMAGE__4,OBTAIN_PERSONAL_DECOR_IMAGE__4,助手头部1k,850,204,20936,0.974,8.28,0.0002,0.433,2026搜索,1.061,真缺席
OBTAIN_PERSONAL_DECOR_IMAGE__4,OBTAIN_PERSONAL_DECOR_IMAGE__4,助手随机1k,953,204,20833,0.979,9.33,0.0001,0.386,2026搜索,1.061,真缺席
OBTAIN_READABLE_MANGA__2,OBTAIN_READABLE_MANGA__2,助手随机1k,953,1520,20833,7.296,69.53,0.0,0.386,2026搜索,8.844,真缺席
OBTAIN_OCCASION_GREETING_IMAGE__1,OBTAIN_OCCASION_GREETING_IMAGE__1,助手头部1k,850,171,20936,0.817,6.94,0.0009,0.433,2026搜索,0.94,真缺席
OBTAIN_PERSONAL_DECOR_IMAGE__3,OBTAIN_PERSONAL_DECOR_IMAGE__3,助手头部1k,850,148,20936,0.707,6.01,0.0024,0.433,2026搜索,0.81,真缺席
OBTAIN_PERSONAL_DECOR_IMAGE__3,OBTAIN_PERSONAL_DECOR_IMAGE__3,助手随机1k,953,148,20833,0.71,6.77,0.0011,0.386,2026搜索,0.81,真缺席
NAVIGATE_TO_SITE__3,NAVIGATE_TO_SITE__3,助手随机1k,953,101,20833,0.485,4.62,0.0097,0.386,2025搜索,0.521,偏少但证据弱
OBTAIN_DOCUMENT_TEMPLATE__3,OBTAIN_DOCUMENT_TEMPLATE__3,助手头部1k,850,250,20936,1.194,10.15,0.0,0.433,2025搜索,1.442,真缺席
OBTAIN_DOCUMENT_TEMPLATE__2,OBTAIN_DOCUMENT_TEMPLATE__2,助手头部1k,850,323,20936,1.543,13.11,0.0,0.433,2025搜索,1.712,真缺席
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__4,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__4,助手头部1k,850,204,20936,0.974,8.28,0.0002,0.433,2025搜索,1.211,真缺席
OBTAIN_REFERENCE_IMAGE__2,OBTAIN_REFERENCE_IMAGE__2,助手头部1k,850,1124,20936,5.369,45.63,0.0,0.433,2026搜索,5.973,真缺席
OBTAIN_ASSIGNED_WRITING_MATERIALS__1,OBTAIN_ASSIGNED_WRITING_MATERIALS__1,助手头部1k,850,87,20936,0.416,3.53,0.029,0.433,2025搜索,0.471,偏少但证据弱
OBTAIN_ASSIGNED_WRITING_MATERIALS__1,OBTAIN_ASSIGNED_WRITING_MATERIALS__1,助手随机1k,953,87,20833,0.418,3.98,0.0185,0.386,2025搜索,0.471,偏少但证据弱
OBTAIN_PERSONAL_DECOR_IMAGE__1,OBTAIN_PERSONAL_DECOR_IMAGE__1,助手头部1k,850,95,20936,0.454,3.86,0.0209,0.433,2025搜索,0.471,偏少但证据弱
LEARN_HOW_TO_WRITE__4,LEARN_HOW_TO_WRITE__4,助手随机1k,953,67,20833,0.322,3.06,0.0464,0.386,2025搜索,0.35,偏少但证据弱
OBTAIN_STORY_TEXT__1,OBTAIN_STORY_TEXT__1,助手头部1k,850,290,20936,1.385,11.77,0.0,0.433,2026搜索,1.601,真缺席
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__3,LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__3,助手头部1k,850,171,20936,0.817,6.94,0.0009,0.433,2025搜索,0.961,真缺席
