key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,245,72,0.5194,5.56,13.89,80,0.4882,8.75,23.75,6,0.3963,33.33,0.0,87,0.5142,6.9,14.94,2026搜索,0.0312,0.5044
GENERATE_OR_EDIT_IMAGE,生成或修改图片,90,3,0.3861,0.0,66.67,5,0.3467,0.0,60.0,47,0.5499,2.13,14.89,35,0.4952,8.57,48.57,助手随机1k,0.0547,0.5119
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,111,52,0.5132,9.62,26.92,54,0.5349,3.7,20.37,0,,,,5,0.3521,0.0,40.0,2025搜索,0.0217,0.5165
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,274,19,0.372,10.53,47.37,25,0.3786,4.0,36.0,6,0.465,0.0,0.0,224,0.5881,2.68,0.89,2026搜索,0.2095,0.5513
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,240,93,0.5671,3.23,20.43,95,0.5799,5.26,14.74,32,0.6059,3.12,31.25,20,0.5654,10.0,10.0,助手随机1k,0.0405,0.5772
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,1007,193,0.5118,4.15,34.2,192,0.4888,4.69,30.21,377,0.8004,1.06,19.89,245,0.5776,2.86,22.86,2026搜索,0.3116,0.6315
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,550,312,0.643,3.85,24.68,229,0.6381,3.93,23.58,0,,,,9,0.4593,11.11,22.22,2026搜索,0.0049,0.638
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,462,273,0.6466,3.3,13.92,174,0.6501,3.45,14.94,1,0.6997,0.0,0.0,14,0.3946,14.29,21.43,2025搜索,0.0035,0.6404
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,336,191,0.6653,3.66,34.03,129,0.6685,2.33,31.78,1,0.5148,0.0,0.0,15,0.4122,20.0,6.67,2025搜索,0.0032,0.6548
LOOK_UP_DEFINITION,查询词语或概念的含义,2680,1411,0.687,2.34,24.45,1197,0.6814,1.75,22.89,32,0.7002,0.0,12.5,40,0.5451,0.0,32.5,助手随机1k,0.1551,0.6825
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,708,323,0.7015,1.55,19.5,378,0.7181,1.85,20.63,1,0.8834,0.0,0.0,6,0.375,16.67,33.33,2025搜索,0.0166,0.7079
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,824,389,0.7249,1.29,13.37,422,0.705,2.37,12.09,1,0.3513,0.0,0.0,12,0.4499,0.0,33.33,2026搜索,0.0199,0.7103
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,1025,571,0.7905,1.58,13.84,441,0.8005,1.13,12.47,5,0.4807,20.0,40.0,8,0.4897,12.5,37.5,2025搜索,0.01,0.7909
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,392,211,0.8265,0.95,6.16,175,0.793,2.29,6.86,0,,,,6,0.4908,0.0,50.0,2026搜索,0.0335,0.8064
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,4867,2317,0.8131,1.12,14.07,2447,0.8217,0.98,13.08,42,0.5688,0.0,21.43,61,0.5736,1.64,31.15,助手头部1k,0.2529,0.8123
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,2587,1201,0.8132,1.17,18.4,981,0.8107,0.71,18.86,267,0.8874,0.0,12.36,138,0.8136,0.0,23.91,2026搜索,0.0767,0.8199
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,810,334,0.8637,0.3,4.79,469,0.8542,0.85,3.84,2,0.6276,0.0,0.0,5,0.5212,0.0,20.0,2026搜索,0.0095,0.8555
LEARN_HOW_TO_WRITE,学习某类文字怎么写,462,256,0.8772,1.17,2.73,187,0.8572,2.14,2.14,13,0.9148,0.0,0.0,6,0.6278,16.67,33.33,2026搜索,0.02,0.8669
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,1316,630,0.9238,0.32,8.41,668,0.9217,0.45,10.48,13,0.9274,0.0,15.38,5,0.9326,0.0,0.0,2026搜索,0.0021,0.9228
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,2800,1137,0.9415,0.26,4.75,1647,0.9468,0.18,6.13,4,0.8392,0.0,0.0,12,0.4396,8.33,16.67,2025搜索,0.0053,0.9423
