key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
COMPOSE_OR_REVISE_TEXT_ON_DEMAND__1,COMPOSE_OR_REVISE_TEXT_ON_DEMAND__1,245,72,0.5194,5.56,13.89,80,0.4882,8.75,23.75,6,0.3963,33.33,0.0,87,0.5142,6.9,14.94,2026搜索,0.0312,0.5044
OBTAIN_ASSIGNED_WRITING_MATERIALS__2,OBTAIN_ASSIGNED_WRITING_MATERIALS__2,146,70,0.508,8.57,15.71,67,0.5235,8.96,20.9,0,,,,9,0.3705,11.11,22.22,2025搜索,0.0155,0.5066
GENERATE_OR_EDIT_IMAGE__1,GENERATE_OR_EDIT_IMAGE__1,90,3,0.3861,0.0,66.67,5,0.3467,0.0,60.0,47,0.5499,2.13,14.89,35,0.4952,8.57,48.57,助手随机1k,0.0547,0.5119
NAVIGATE_TO_SITE__1,NAVIGATE_TO_SITE__1,19,10,0.5192,0.0,50.0,9,0.5046,0.0,66.67,0,,,,0,,,,,,0.5123
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT__1,REQUEST_RESTRICTED_OR_HARMFUL_CONTENT__1,111,52,0.5132,9.62,26.92,54,0.5349,3.7,20.37,0,,,,5,0.3521,0.0,40.0,2025搜索,0.0217,0.5165
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__1,CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__1,444,66,0.4141,3.03,48.48,80,0.3827,3.75,45.0,88,0.6637,3.41,34.09,210,0.5549,3.33,20.48,2026搜索,0.281,0.5245
VENT_SEEK_EMPATHY__1,VENT_SEEK_EMPATHY__1,274,19,0.372,10.53,47.37,25,0.3786,4.0,36.0,6,0.465,0.0,0.0,224,0.5881,2.68,0.89,2026搜索,0.2095,0.5513
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__2,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__2,107,65,0.5447,9.23,6.15,42,0.5755,11.9,9.52,0,,,,0,,,,2025搜索,0.0308,0.5568
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__4,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__4,204,121,0.5751,3.31,43.8,76,0.5534,3.95,42.11,0,,,,7,0.3821,14.29,28.57,2026搜索,0.0217,0.5604
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__1,LOOK_UP_NUMERIC_OR_OFFICIAL_FACT__1,126,65,0.6109,3.08,20.0,55,0.534,7.27,21.82,0,,,,6,0.4908,0.0,50.0,2026搜索,0.0769,0.5716
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT__1,REQUEST_EXPLICIT_OR_SEXUAL_CONTENT__1,240,93,0.5671,3.23,20.43,95,0.5799,5.26,14.74,32,0.6059,3.12,31.25,20,0.5654,10.0,10.0,助手随机1k,0.0405,0.5772
LOOK_UP_DEFINITION__2,LOOK_UP_DEFINITION__2,1718,893,0.5892,3.36,35.27,775,0.5807,2.58,32.65,15,0.5949,0.0,26.67,35,0.5165,0.0,34.29,助手随机1k,0.0727,0.5839
NAVIGATE_TO_SITE__2,NAVIGATE_TO_SITE__2,370,170,0.5927,2.94,25.29,194,0.5848,3.61,29.38,0,,,,6,0.375,16.67,33.33,2026搜索,0.0079,0.5851
OBTAIN_STORY_TEXT__2,OBTAIN_STORY_TEXT__2,230,100,0.6235,1.0,23.0,121,0.5951,4.13,23.97,0,,,,9,0.4278,0.0,33.33,2026搜索,0.0284,0.6009
OBTAIN_DOCUMENT_TEMPLATE__4,OBTAIN_DOCUMENT_TEMPLATE__4,296,172,0.642,4.07,30.23,116,0.6309,4.31,28.45,5,0.4807,20.0,40.0,3,0.5503,0.0,66.67,2026搜索,0.0111,0.634
COMPLETE_OR_INTERPRET_QUOTE__1,COMPLETE_OR_INTERPRET_QUOTE__1,201,119,0.6745,2.52,28.57,70,0.6581,2.86,22.86,1,0.5148,0.0,0.0,11,0.3443,27.27,9.09,2026搜索,0.0164,0.6499
COMPLETE_OR_INTERPRET_QUOTE__2,COMPLETE_OR_INTERPRET_QUOTE__2,135,72,0.6502,5.56,43.06,59,0.6808,1.69,42.37,0,,,,4,0.5989,0.0,0.0,2025搜索,0.0306,0.6621
OBTAIN_ASSIGNED_WRITING_MATERIALS__3,OBTAIN_ASSIGNED_WRITING_MATERIALS__3,229,156,0.6717,1.92,16.03,67,0.6894,0.0,16.42,1,0.6997,0.0,0.0,5,0.4381,20.0,20.0,2025搜索,0.0177,0.6719
OBTAIN_READY_TO_POST_COPY__5,OBTAIN_READY_TO_POST_COPY__5,825,416,0.661,2.4,25.48,313,0.6592,1.6,28.12,45,0.8315,0.0,26.67,51,0.782,0.0,29.41,2026搜索,0.1723,0.6771
OBTAIN_OCCASION_GREETING_IMAGE__1,OBTAIN_OCCASION_GREETING_IMAGE__1,171,74,0.6966,1.35,17.57,94,0.6769,3.19,17.02,0,,,,3,0.3882,0.0,33.33,2026搜索,0.0197,0.6804
OBTAIN_PERSONAL_DECOR_IMAGE__3,OBTAIN_PERSONAL_DECOR_IMAGE__3,148,67,0.6827,2.99,29.85,81,0.7125,2.47,29.63,0,,,,0,,,,2025搜索,0.0298,0.699
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__3,CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__3,473,122,0.5598,4.92,26.23,108,0.561,5.56,19.44,212,0.8586,0.0,17.45,31,0.7282,0.0,35.48,2025搜索,0.2988,0.705
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__1,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__1,63,24,0.7734,0.0,45.83,38,0.6847,0.0,21.05,0,,,,1,0.6479,0.0,0.0,2026搜索,0.0887,0.7179
OBTAIN_STORY_TEXT__1,OBTAIN_STORY_TEXT__1,290,128,0.7238,1.56,14.06,160,0.7203,0.62,8.75,0,,,,2,0.5983,0.0,0.0,2026搜索,0.0035,0.721
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__5,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__5,105,57,0.7574,1.75,5.26,47,0.7181,2.13,14.89,0,,,,1,0.811,0.0,0.0,2026搜索,0.0393,0.7403
OBTAIN_REFERENCE_IMAGE__1,OBTAIN_REFERENCE_IMAGE__1,1559,744,0.7568,1.48,16.8,756,0.7634,1.46,17.2,34,0.6233,0.0,14.71,25,0.551,4.0,12.0,助手随机1k,0.2124,0.7538
LEARN_HOW_TO_WRITE__4,LEARN_HOW_TO_WRITE__4,67,35,0.7696,0.0,14.29,31,0.7527,0.0,9.68,1,0.6838,0.0,0.0,0,,,,2026搜索,0.0169,0.7605
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__3,LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT__3,71,45,0.7533,2.22,13.33,26,0.7739,0.0,11.54,0,,,,0,,,,2025搜索,0.0206,0.7608
NAVIGATE_TO_SITE__3,NAVIGATE_TO_SITE__3,101,52,0.7371,0.0,28.85,48,0.807,0.0,31.25,1,0.8834,0.0,0.0,0,,,,2025搜索,0.0699,0.7718
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__2,CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__2,90,5,0.6324,0.0,40.0,4,0.6618,0.0,25.0,77,0.7963,1.3,10.39,4,0.6054,0.0,50.0,助手头部1k,,0.7727
OBTAIN_DOCUMENT_TEMPLATE__3,OBTAIN_DOCUMENT_TEMPLATE__3,250,144,0.7824,0.69,9.03,105,0.7753,0.0,11.43,0,,,,1,0.1901,0.0,100.0,2026搜索,0.0071,0.7771
OBTAIN_ASSIGNED_WRITING_MATERIALS__1,OBTAIN_ASSIGNED_WRITING_MATERIALS__1,87,47,0.7699,0.0,4.26,40,0.7962,0.0,2.5,0,,,,0,,,,2025搜索,0.0263,0.782
OBTAIN_STORY_TEXT__3,OBTAIN_STORY_TEXT__3,304,161,0.7888,1.24,6.83,141,0.7821,2.84,5.67,1,0.3513,0.0,0.0,1,0.3518,0.0,100.0,2026搜索,0.0067,0.7828
OBTAIN_REFERENCE_IMAGE__3,OBTAIN_REFERENCE_IMAGE__3,1140,526,0.7878,1.33,17.87,588,0.7939,0.68,16.5,7,0.354,0.0,42.86,19,0.4985,0.0,47.37,2025搜索,0.0061,0.7834
