key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
4,文案短句查询,2026搜索,显著低于其余全部,979,9995,9.795,12.298,-0.382,3
4,文案短句查询,助手头部1k,显著高于其余全部,218,850,25.647,10.561,8.24,3
24,报刊电子版查询,2026搜索,显著高于其余全部,129,9995,1.291,0.814,0.036,3
32,七月及七一图片与祝福语查询,2026搜索,显著高于其余全部,261,9995,2.611,1.688,0.214,3
13,漫画App官方下载入口查询,2026搜索,显著高于其余全部,192,9995,1.921,1.289,0.038,3
15,图片搜索,助手随机1k,显著低于其余全部,21,953,2.204,12.183,-0.928,3
11,查找漫画资源,2026搜索,显著高于其余全部,631,9995,6.313,3.647,1.47,3
3,查询感谢老师话语模板,助手随机1k,显著低于其余全部,2,953,0.21,1.445,-0.385,3
22,安全标志与安全生产信息查询,2025搜索,显著高于其余全部,250,9988,2.503,1.661,0.143,3
0,术语定义查询,2025搜索,显著高于其余全部,311,9988,3.114,2.424,0.081,3
27,情侣头像查询,助手头部1k,显著高于其余全部,11,850,1.294,0.287,0.147,3
16,早安问候图片查询,2026搜索,显著高于其余全部,219,9995,2.191,1.306,0.348,3
5,家长寄语评语写法查询,助手头部1k,显著高于其余全部,43,850,5.059,1.457,2.067,3
34,思想汇报与心得体会范文查询,2025搜索,显著高于其余全部,702,9988,7.028,4.416,1.358,3
2,术语含义查询,2025搜索,显著高于其余全部,299,9988,2.994,2.17,0.039,3
2,术语含义查询,助手随机1k,显著低于其余全部,0,953,0.0,2.664,-0.152,3
12,查询免费漫画在线观看入口,2026搜索,显著高于其余全部,805,9995,8.054,4.766,1.739,3
33,调整生成结果,助手头部1k,显著高于其余全部,285,850,33.529,0.798,26.465,3
20,办公文档与演示文稿模板查询,2025搜索,显著高于其余全部,539,9988,5.396,3.89,0.355,3
17,按关键词查找图片,助手头部1k,显著低于其余全部,0,850,0.0,2.46,-0.147,3
14,查询事物图片,2026搜索,显著高于其余全部,631,9995,6.313,4.546,0.43,3
14,查询事物图片,助手头部1k,显著低于其余全部,2,850,0.235,5.565,-0.118,3
18,人口统计数据查询,2025搜索,显著高于其余全部,221,9988,2.213,1.534,0.043,3
23,生成角色扮演对话,2025搜索,显著低于其余全部,54,9988,0.541,6.187,-0.033,3
23,生成角色扮演对话,助手随机1k,显著高于其余全部,579,953,60.756,0.984,48.653,3
