key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
LOOK_UP_DEFINITION__2,LOOK_UP_DEFINITION__2,,1718,7.886,893,8.941,8.397,9.516,7.209,775,7.754,7.246,8.295,7.175,15,1.765,1.072,2.891,1.58,35,3.673,2.652,5.065,3.604,40.4,1.1338,1.6159,35.03,0.9833,1.4014,7.97,0.2238,0.3189,16.59,0.4657,0.6638,4,,,2025搜索,助手头部1k,7.176,5.07,1,2,12,7,再生成与调整回答,46.0,更现代一点 / 是情头吗 / 永久免费
OBTAIN_REFERENCE_IMAGE__1,OBTAIN_REFERENCE_IMAGE__1,,1559,7.156,744,7.449,6.95,7.98,6.718,756,7.564,7.062,8.099,6.84,34,4.0,2.876,5.538,4.06,25,2.623,1.783,3.844,2.598,34.43,1.0409,1.3771,34.96,1.057,1.3984,18.49,0.559,0.7395,12.12,0.3666,0.485,4,,,2026搜索,助手随机1k,4.94,2.88,2,4,9,10,图片搜索,71.6,图片配文 / tk图片 / 图片
OBTAIN_READABLE_MANGA__2,OBTAIN_READABLE_MANGA__2,,1520,6.977,635,6.358,5.896,6.853,6.26,884,8.844,8.303,9.417,8.516,1,0.118,0.021,0.663,0.053,0,0.0,0.0,0.401,0.0,41.5,0.9112,1.66,57.73,1.2677,2.3093,0.77,0.0169,0.0307,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,8.844,inf,3,1,24,46,查询免费漫画在线观看入口,85.7,乐可金银花露漫画完整版免费观看下拉快看最新 / 韩漫网站 / 韩漫网站
OBTAIN_READABLE_MANGA__1,OBTAIN_READABLE_MANGA__1,,1280,5.875,502,5.026,4.615,5.472,6.809,763,7.634,7.129,8.171,9.223,3,0.353,0.12,1.033,0.159,12,1.259,0.722,2.188,1.257,35.22,0.8554,1.4086,53.49,1.2993,2.1395,2.47,0.0601,0.0989,8.82,0.2143,0.3529,4,,,2026搜索,助手头部1k,7.281,21.63,8,3,20,13,查找漫画资源,79.5,漫画 / 漫画 / 韩漫
OBTAIN_REFERENCE_IMAGE__3,OBTAIN_REFERENCE_IMAGE__3,,1140,5.233,526,5.266,4.845,5.722,3.942,588,5.883,5.438,6.361,3.652,7,0.824,0.399,1.69,0.623,19,1.994,1.28,3.093,1.928,37.71,1.0064,1.5083,42.12,1.1243,1.6849,5.9,0.1574,0.2359,14.27,0.381,0.571,4,,,2026搜索,助手头部1k,5.059,7.14,5,6,16,12,图片搜索,46.2,去掉布料 / 监控下的爆笑瞬间 / 这是游戏里的吗
OBTAIN_REFERENCE_IMAGE__2,OBTAIN_REFERENCE_IMAGE__2,,1124,5.159,516,5.166,4.749,5.618,3.201,597,5.973,5.525,6.455,3.974,0,0.0,0.0,0.45,0.0,11,1.154,0.646,2.055,1.09,42.02,1.0013,1.681,48.59,1.1577,1.9435,0.0,0.0,0.0,9.39,0.2237,0.3756,3,助手头部1k,,2026搜索,助手头部1k,5.973,inf,7,5,34,14,查询事物图片,85.7,美乐蒂的拼豆图案 / 掰饼前纪念主祷词 / 胡桃图片素材
OBTAIN_REFERENCE_IMAGE__4,OBTAIN_REFERENCE_IMAGE__4,,1044,4.792,531,5.316,4.893,5.774,4.139,506,5.063,4.65,5.51,3.971,1,0.118,0.021,0.663,0.44,6,0.63,0.289,1.367,0.503,47.78,1.1094,1.9113,45.5,1.0564,1.82,1.06,0.0246,0.0423,5.66,0.1314,0.2263,4,,,2025搜索,助手头部1k,5.199,45.19,4,7,24,20,图片搜索,59.9,赛博高考许愿 / 党徽 / 党徽
LOOK_UP_DEFINITION__1,LOOK_UP_DEFINITION__1,,962,4.416,518,5.186,4.768,5.639,3.935,422,4.222,3.845,4.634,3.166,17,2.0,1.252,3.18,2.153,5,0.525,0.224,1.222,0.419,43.46,1.1745,1.7384,35.38,0.9562,1.4153,16.76,0.4529,0.6704,4.4,0.1188,0.1759,4,,,2025搜索,助手随机1k,4.662,9.88,6,8,11,23,术语含义查询,54.4,这是什么意思 / 3c标识是什么 / 什么意思？
OBTAIN_READY_TO_POST_COPY__5,OBTAIN_READY_TO_POST_COPY__5,,825,3.787,416,4.165,3.79,4.575,3.651,313,3.132,2.808,3.491,2.529,45,5.294,3.98,7.011,3.44,51,5.352,4.094,6.968,5.532,23.21,1.0999,0.9285,17.45,0.827,0.6981,29.51,1.398,1.1803,29.83,1.4132,1.1931,4,,,助手随机1k,2026搜索,2.22,1.71,9,9,7,4,文案短句查询,37.6,离开工作岗位感言 / 表扬榜样最短精辟句子 / 脑筋急转弯大全6-12岁
OBTAIN_READY_TO_POST_COPY__4,OBTAIN_READY_TO_POST_COPY__4,,704,3.231,300,3.004,2.687,3.357,2.989,278,2.781,2.477,3.122,2.719,89,10.471,8.587,12.71,7.735,37,3.882,2.83,5.306,4.275,14.92,0.9295,0.5966,13.81,0.8607,0.5525,51.99,3.2402,2.0798,19.28,1.2015,0.7712,4,,,助手头部1k,2026搜索,7.689,3.76,10,10,2,6,文案短句查询,93.3,儿子请客的暖心句子 / 释放自己心情的句子 / 早安暖心句
