快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9988,20,11.72,2.4612,0.1159,获取说明性/参考图片,23.2,49.35,67.04,86.35,88.9,0.0,88.9,88.9,765.8
2026搜索,自上而下 L1 意图,9995,20,11.11,2.4074,0.1251,获取说明性/参考图片,24.48,52.94,69.43,88.83,89.77,0.0,89.77,89.77,862.9
助手头部1k,自上而下 L1 意图,850,17,4.85,1.5792,0.3044,依赖前文的修改或追问,44.35,81.29,90.0,98.24,98.96,0.0,98.96,98.96,292.2
助手随机1k,自上而下 L1 意图,953,20,9.02,2.1994,0.1594,依赖前文的修改或追问,25.71,63.69,79.22,92.24,93.13,0.0,93.13,93.13,254.6
2025搜索,自上而下 L2 子意图,9988,59,36.4,3.5945,0.0389,LOOK_UP_DEFINITION__2,8.94,22.75,33.33,55.88,48.85,0.0,48.85,48.85,765.8
2026搜索,自上而下 L2 子意图,9995,59,33.87,3.5224,0.0432,OBTAIN_READABLE_MANGA__2,8.84,24.23,37.77,58.85,51.77,0.0,51.77,51.77,862.9
助手头部1k,自上而下 L2 子意图,850,33,12.89,2.5567,0.1139,CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP__3,24.94,45.76,64.59,87.76,89.26,0.0,89.26,89.26,292.2
助手随机1k,自上而下 L2 子意图,953,45,14.34,2.6632,0.1247,VENT_SEEK_EMPATHY__1,23.5,54.67,64.32,81.43,81.06,0.0,81.06,81.06,254.6
2025搜索,自下而上 家族,9988,21,13.44,2.5985,0.0987,文字素材查询,18.69,45.26,63.88,82.33,78.94,0.0,78.94,78.94,765.8
2026搜索,自下而上 家族,9995,21,13.78,2.6233,0.0922,文字素材查询,16.17,40.04,60.98,83.07,79.72,0.0,79.72,79.72,862.9
助手头部1k,自下而上 家族,850,17,5.7,1.7405,0.2578,实用文书模板与心得体会范文查询,35.06,78.0,89.65,96.82,96.61,0.0,96.61,96.61,292.2
助手随机1k,自下而上 家族,953,18,4.16,1.4264,0.4049,角色扮演对话生成,60.76,83.32,91.5,97.48,97.82,0.0,97.82,97.82,254.6
2025搜索,自下而上 叶,9988,30,21.31,3.0593,0.0613,图片搜索,12.45,33.4,46.05,67.01,61.03,0.0,61.03,61.03,765.8
2026搜索,自下而上 叶,9995,30,21.14,3.0512,0.0615,图片搜索,12.54,32.16,46.52,67.77,60.69,0.0,60.69,60.69,862.9
助手头部1k,自下而上 叶,850,24,8.23,2.1076,0.1968,调整生成结果,33.53,67.53,79.41,91.65,92.14,0.0,92.14,92.14,292.2
助手随机1k,自下而上 叶,953,26,4.94,1.5976,0.3949,生成角色扮演对话,60.76,80.59,86.46,92.86,92.79,0.5,92.79,93.29,254.6
