key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
1,文字素材查询,用户需要获取可参考、引用或直接使用的中文文字素材，如感谢话语、短句文案、家长寄语、故事内容或经典语录。,3934,18.057,1867,18.692,17.94,19.469,18.61,1616,16.168,15.459,16.903,14.035,294,34.588,31.466,37.849,27.78,157,16.474,14.255,18.963,22.297,21.75,1.0352,0.8702,18.82,0.8954,0.7527,40.25,1.9155,1.6102,19.17,0.9123,0.7669,4,,,助手头部1k,2026搜索,18.42,2.14,1,1,2,2,获取现成可直接发布文案,54.7,是,
4,实用文书模板与心得体会范文查询,用户希望获取某类实用文书或心得体会的通用模板、范文或写作素材，以便直接套用或参考撰写。,2898,13.302,1410,14.117,13.448,14.814,13.746,1133,11.336,10.729,11.972,12.606,298,35.059,31.925,38.327,46.186,57,5.981,4.645,7.671,6.37,21.23,1.0613,0.8492,17.05,0.8522,0.6819,52.73,2.6356,2.109,9.0,0.4496,0.3598,4,,,助手头部1k,助手随机1k,29.078,5.86,2,3,1,4,获取可套用文书模板或范文,29.9,否,不连贯：'报刊电子版查询'是获取数字报阅读入口及版面内容，不属于模板或范文查询；'调整生成结果'是用户对已调整生成结果的满意，亦不属于文书或心得体会模板范文查询。
24,图片搜索,用户输入主题或仅输入“图片”后，希望获得相关的图片、照片或壁纸结果。,2559,11.746,1244,12.455,11.822,13.117,10.235,1253,12.536,11.901,13.2,9.2,41,4.824,3.575,6.478,5.941,21,2.204,1.446,3.345,2.431,38.9,1.0603,1.556,39.15,1.0673,1.5661,15.06,0.4107,0.6026,6.88,0.1876,0.2753,4,,,2026搜索,助手随机1k,10.333,5.69,3,2,5,5,获取说明性/参考图片,88.9,是,
20,再生成与调整回答,用户发出“再来一些”“简短的”“解读一下”“概括”等后续指令后，希望系统按指令对已有回答进行续写、简化、解读或概括。,2089,9.589,991,9.922,9.351,10.524,10.341,982,9.825,9.257,10.424,11.653,58,6.824,5.315,8.72,5.099,58,6.086,4.737,7.787,6.957,30.38,1.0347,1.2153,30.09,1.0246,1.2034,20.89,0.7116,0.8358,18.64,0.6347,0.7455,4,,,2025搜索,助手随机1k,3.836,1.63,4,5,4,3,查询词语或概念的含义,38.2,是,
3,查询特定主题图片,用户为某个具体事物、问候场景或纪念日查找相关图片，部分需求还涉及配套祝福文案。,2000,9.18,868,8.69,8.154,9.259,9.407,1111,11.116,10.514,11.747,12.387,7,0.824,0.399,1.69,0.392,14,1.469,0.877,2.451,1.341,39.33,0.9466,1.573,50.3,1.2108,2.012,3.73,0.0897,0.1491,6.65,0.16,0.2659,4,,,2026搜索,助手头部1k,10.292,13.5,5,4,10,6,获取说明性/参考图片,57.5,是,
18,查询免费漫画在线观看入口,用户希望获得可免费在线观看或阅读漫画（含韩漫、下拉式、全集、无删减等）的网站入口、软件推荐或资源链接。,1367,6.275,561,5.617,5.182,6.086,4.879,805,8.054,7.537,8.604,7.379,1,0.118,0.021,0.663,0.053,0,0.0,0.0,0.401,0.0,40.74,0.8951,1.6294,58.41,1.2836,2.3365,0.85,0.0187,0.0341,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,8.054,inf,6,6,17,19,获取漫画免费阅读或下载入口,99.3,是,
17,查找漫画资源,用户输入漫画名称、漫画平台或漫画题材后，获取对应漫画的可阅读链接、网站或相关漫画推荐列表。,1061,4.87,422,4.225,3.848,4.637,5.072,631,6.313,5.853,6.807,6.855,5,0.588,0.252,1.37,0.598,3,0.315,0.107,0.921,0.335,36.93,0.8676,1.4771,55.18,1.2963,2.2072,5.14,0.1208,0.2057,2.75,0.0646,0.1101,4,,,2026搜索,助手随机1k,5.998,20.05,7,7,13,13,获取漫画免费阅读或下载入口,96.8,是,
21,角色扮演对话生成,用户提供原创角色设定、人设规则和对话要求后，让模型始终以该角色口吻直接对话并遵守设定。,784,3.599,54,0.541,0.415,0.705,0.378,80,0.8,0.644,0.995,0.726,71,8.353,6.675,10.406,5.296,579,60.756,57.618,63.807,54.401,0.77,0.1502,0.0307,1.14,0.2224,0.0454,11.86,2.3211,0.4743,86.24,16.8829,3.4496,4,,,助手随机1k,2025搜索,60.215,112.38,20,20,3,1,依赖前文的修改或追问,31.6,是,
0,术语定义查询,用户输入某个概念、术语或固定表述，获取其定义、含义或具体所指。,597,2.74,311,3.114,2.791,3.473,2.466,257,2.571,2.279,2.9,2.044,15,1.765,1.072,2.891,1.779,14,1.469,0.877,2.451,1.174,34.91,1.1363,1.3965,28.83,0.9383,1.1532,19.79,0.644,0.7915,16.47,0.5361,0.6589,4,,,2025搜索,助手随机1k,1.645,2.12,8,9,6,6,查询词语或概念的含义,68.3,是,
11,术语含义查询,用户想知道某个词、短语、编号、数字或概念的具体含义，获得针对该对象的准确解释即可满足。,555,2.548,299,2.994,2.677,3.346,1.944,250,2.501,2.213,2.826,1.73,6,0.706,0.324,1.531,0.899,0,0.0,0.0,0.401,0.0,48.28,1.1751,1.9311,40.34,0.9818,1.6135,11.38,0.2771,0.4554,0.0,0.0,0.0,3,助手随机1k,,2025搜索,助手随机1k,2.994,inf,9,10,11,19,查询词语或概念的含义,94.4,是,
13,按关键词查找图片,用户输入某个事物、情绪或状态关键词后，获得与该关键词直接相关的图片。,515,2.364,243,2.433,2.149,2.754,1.773,265,2.651,2.354,2.985,1.836,0,0.0,0.0,0.45,0.0,7,0.735,0.356,1.508,0.587,41.81,1.0292,1.6725,45.57,1.1216,1.8226,0.0,0.0,0.0,12.62,0.3107,0.5049,3,助手头部1k,,2026搜索,助手头部1k,2.651,inf,11,8,18,11,获取说明性/参考图片,98.1,是,
