外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
文案短句查询,2025搜索,2026搜索,1101,979,0.0701,0.0701,True,获取现成可直接发布文案,59.95,获取现成可直接发布文案,58.32,True
文案短句查询,2025搜索,助手头部1k,1101,218,0.3549,0.1141,True,获取现成可直接发布文案,59.95,获取现成可直接发布文案,89.91,True
文案短句查询,2025搜索,助手随机1k,1101,131,0.3053,0.1351,True,获取现成可直接发布文案,59.95,获取现成可直接发布文案,78.63,True
文案短句查询,2026搜索,助手头部1k,979,218,0.3642,0.1137,True,获取现成可直接发布文案,58.32,获取现成可直接发布文案,89.91,True
文案短句查询,2026搜索,助手随机1k,979,131,0.3051,0.139,True,获取现成可直接发布文案,58.32,获取现成可直接发布文案,78.63,True
文案短句查询,助手头部1k,助手随机1k,218,131,0.148,0.1087,True,获取现成可直接发布文案,89.91,获取现成可直接发布文案,78.63,True
报刊电子版查询,2025搜索,2026搜索,96,129,0.0312,0.0312,False,进入指定网站或电子报刊页面,96.88,进入指定网站或电子报刊页面,99.22,True
头像图片查询,2025搜索,2026搜索,235,226,0.0043,0.0267,False,获取个人装饰用图（头像/壁纸）,97.87,获取个人装饰用图（头像/壁纸）,98.23,True
七月及七一图片与祝福语查询,2025搜索,2026搜索,198,261,0.0596,0.1062,False,获取应景问候图片,68.18,获取应景问候图片,71.26,True
漫画App官方下载入口查询,2025搜索,2026搜索,152,192,0.0101,0.064,False,获取漫画免费阅读或下载入口,90.13,获取漫画免费阅读或下载入口,90.62,True
图片搜索,2025搜索,2026搜索,1244,1253,0.014,0.0302,False,获取说明性/参考图片,90.03,获取说明性/参考图片,89.47,True
图片搜索,2025搜索,助手头部1k,1244,41,0.4854,0.1261,True,获取说明性/参考图片,90.03,获取说明性/参考图片,51.22,True
图片搜索,2026搜索,助手头部1k,1253,41,0.4838,0.1213,True,获取说明性/参考图片,89.47,获取说明性/参考图片,51.22,True
查找漫画资源,2025搜索,2026搜索,422,631,0.0071,0.0229,False,获取漫画免费阅读或下载入口,96.92,获取漫画免费阅读或下载入口,97.31,True
再生成与调整回答,2025搜索,2026搜索,991,982,0.0464,0.0785,False,查询词语或概念的含义,39.86,查询词语或概念的含义,39.21,True
再生成与调整回答,2025搜索,助手头部1k,991,58,0.5805,0.2328,True,查询词语或概念的含义,39.86,依赖前文的修改或追问,34.48,False
再生成与调整回答,2025搜索,助手随机1k,991,58,0.3807,0.2361,True,查询词语或概念的含义,39.86,依赖前文的修改或追问,25.86,False
再生成与调整回答,2026搜索,助手头部1k,982,58,0.5851,0.2435,True,查询词语或概念的含义,39.21,依赖前文的修改或追问,34.48,False
再生成与调整回答,2026搜索,助手随机1k,982,58,0.4077,0.2443,True,查询词语或概念的含义,39.21,依赖前文的修改或追问,25.86,False
再生成与调整回答,助手头部1k,助手随机1k,58,58,0.431,0.3276,True,依赖前文的修改或追问,34.48,依赖前文的修改或追问,25.86,True
微信头像图片查询,2025搜索,2026搜索,199,228,0.0309,0.0978,False,获取个人装饰用图（头像/壁纸）,71.86,获取个人装饰用图（头像/壁纸）,73.25,True
查询感谢老师话语模板,2025搜索,2026搜索,158,131,0.0628,0.1082,False,获取现成可直接发布文案,86.08,获取现成可直接发布文案,81.68,True
安全标志与安全生产信息查询,2025搜索,2026搜索,250,195,0.0642,0.1411,False,获取说明性/参考图片,42.0,获取说明性/参考图片,46.15,True
获取爆笑笑话与脑筋急转弯合集,2025搜索,2026搜索,91,81,0.1572,0.2081,False,获取现成可直接发布文案,58.24,获取现成可直接发布文案,44.44,True
男生头像查询,2025搜索,2026搜索,103,120,0.0265,0.1095,False,获取个人装饰用图（头像/壁纸）,87.38,获取个人装饰用图（头像/壁纸）,85.0,True
术语定义查询,2025搜索,2026搜索,311,257,0.0726,0.1067,False,查询词语或概念的含义,69.77,查询词语或概念的含义,67.7,True
早安问候图片查询,2025搜索,2026搜索,147,219,0.0383,0.054,False,获取应景问候图片,90.48,获取应景问候图片,93.61,True
家长寄语评语写法查询,2025搜索,2026搜索,168,127,0.0681,0.1754,False,获取现成可直接发布文案,41.07,获取现成可直接发布文案,38.58,True
家长寄语评语写法查询,2025搜索,助手头部1k,168,43,0.4032,0.2383,True,获取现成可直接发布文案,41.07,获取现成可直接发布文案,81.4,True
家长寄语评语写法查询,2026搜索,助手头部1k,127,43,0.4281,0.2739,True,获取现成可直接发布文案,38.58,获取现成可直接发布文案,81.4,True
思想汇报与心得体会范文查询,2025搜索,2026搜索,702,501,0.0634,0.0966,False,查询词语或概念的含义,36.04,查询词语或概念的含义,36.93,True
文书写法与模板查询,2025搜索,2026搜索,243,165,0.0179,0.0904,False,学习某类文字怎么写,83.54,学习某类文字怎么写,83.03,True
女生头像图片查询,2025搜索,2026搜索,196,198,0.0704,0.1309,False,获取个人装饰用图（头像/壁纸）,51.53,获取个人装饰用图（头像/壁纸）,54.55,True
术语含义查询,2025搜索,2026搜索,299,250,0.0162,0.0422,False,查询词语或概念的含义,93.65,查询词语或概念的含义,95.2,True
查询免费漫画在线观看入口,2025搜索,2026搜索,561,805,0.0052,0.0099,False,获取漫画免费阅读或下载入口,99.11,获取漫画免费阅读或下载入口,99.5,True
调整生成结果,2025搜索,2026搜索,73,59,0.0627,0.2598,False,获取说明性/参考图片,26.03,获取说明性/参考图片,28.81,True
调整生成结果,2025搜索,助手头部1k,73,285,0.7457,0.1418,True,获取说明性/参考图片,26.03,依赖前文的修改或追问,88.42,False
调整生成结果,2025搜索,助手随机1k,73,35,0.6254,0.3104,True,获取说明性/参考图片,26.03,依赖前文的修改或追问,80.0,False
调整生成结果,2026搜索,助手头部1k,59,285,0.7276,0.148,True,获取说明性/参考图片,28.81,依赖前文的修改或追问,88.42,False
调整生成结果,2026搜索,助手随机1k,59,35,0.6378,0.3198,True,获取说明性/参考图片,28.81,依赖前文的修改或追问,80.0,False
